year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1692,1017.22,1007.29,1012.44,1015.95,NA,1012.18,NA,NA,NA,NA,1016.22,1015.68
1693,1018.65,1019.34,1007.49,1006.13,1017.24,1022.05,1020.49,1015.65,1010.01,1015.75,NA,NA
1694,1022.63,1027.02,1023.55,1020.87,NA,NA,NA,1012.8,NA,NA,1008.97,NA
1695,1006.87,NA,1011.16,1012.27,1010.88,NA,NA,NA,NA,NA,NA,1013.66
1696,NA,NA,1009.54,1014.25,NA,NA,NA,NA,NA,NA,NA,1007.58
1697,1017.96,1012.33,1012.78,1018.48,NA,1014.53,1014.85,1011.2,1013.6,1015.42,1018.38,1010.76
1698,1012.13,1008.88,1019.48,1017.09,1014.13,1017.84,1012.35,1014.37,1009.47,1006.74,1008.2,1015.68
1699,1010.1,1019.61,1021.7,1009.55,1018.79,NA,1017.77,1009.3,1018.35,1016.94,1017.06,1019.81
1700,1025.55,1008.99,1022.51,1009.2,1013.23,1014.68,1010.65,1018.68,1020.37,1014.4,1012.32,1020.42
1701,1006.16,1012.62,1010.57,1019.2,1012.87,1014.21,1018.01,1013.46,1022.09,1018.85,1013.17,1019.01
1702,1002.82,1013.1,1024.25,1017.35,1020.66,1017.58,1013.95,1015.21,1017.83,1012.68,1014.06,1009.56
1703,1008.81,1006.99,1018.01,1013.01,1016.51,1010.07,1014.66,1017.66,1013.11,1009.81,1010.69,1022.26
1704,1014.39,1015.13,1005.65,1009.59,1016.94,1013.99,1013.89,1016.6,1010.88,1021.77,1006.85,1019.9
1705,1019.34,1019.57,1009.2,1009.33,1017.61,1018.47,1017.14,1012.63,1018.44,1009.44,1016.5,999.02
1706,1017.3,1015.02,1017.5,1017.02,1013.36,NA,1014.17,1017.51,1010.97,1012.85,1000.1,1010.07
1707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1708,NA,1006.53,1003.2,1005.45,NA,1010.64,1013.76,1012.87,1007.16,NA,NA,NA
1709,NA,1021.47,1015.44,1017.98,1019.87,1020.98,1018.63,1026.42,1022.99,1021.46,1028.74,1016.06
1710,1014.24,1018.28,1012.77,1014.26,1019.61,1016.93,1015.86,1014.85,1020.04,1017.91,NA,NA
1711,NA,1009.13,1011.69,1009.74,1013.26,1018.85,1018.35,1016.64,1014.73,1016.03,1007.23,NA
1712,1012.66,1021.21,1016.51,1012.1,1015.49,1017.09,1016.52,1017.49,1013.38,1009.5,NA,NA
1713,1011.22,1005.05,1020.33,1012.56,1018.26,1017.59,1013.38,1014.82,1017.25,1013.39,1019.26,1016.87
1714,NA,1019.79,1018.87,1018.4,1015.79,1014.95,1020.31,1013.82,1017.21,1019.1,NA,NA
1715,NA,1012.39,1011.22,1013.54,1014.64,1014.5,1014.31,1013.32,1015.7,NA,NA,NA
1716,NA,NA,1021.28,1020.97,1015.33,1016.76,1016.01,1019.05,1011.66,1013.38,1016.18,1014.68
1717,1015.54,1015.22,1004.4,1014.29,1012.65,1014.83,1015.11,1015.35,1016.18,1014.87,1008.21,1010.87
1718,1014.59,1018.33,1023.15,1006.66,1020.06,1017.27,1019.65,1014.77,1021.66,1012.33,1016.27,1010.91
