year,Annual,DJFM,DJF,MAM,JJA,SON,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1748,-0.265,NA,NA,-0.46,-0.28,-0.045,-0.684,-0.472,-0.57,-0.144,-0.666,-0.447,-0.7,0.307,0.094,0.035,-0.264,0.326
1749,-0.254,0.035,0.169,-0.442,-0.262,-0.272,0.029,0.152,-0.368,-0.222,-0.736,-0.389,0.126,-0.524,-0.526,-0.046,-0.245,-0.301
1750,-0.123,0.198,0.253,-0.282,NA,-0.43,0.285,0.777,0.031,0.087,-0.964,NA,-0.493,0.19,-0.27,-0.646,-0.373,0.029
1751,-0.068,0.1,-0.091,0.167,-0.227,-0.031,-0.205,-0.097,0.674,-0.355,0.183,-0.415,-0.276,0.011,0.143,-0.39,0.155,-0.246
1752,0.03,-0.22,-0.253,-0.034,0.189,0.189,-0.292,-0.222,-0.119,-0.365,0.382,0.368,0.256,-0.058,0.674,-0.192,0.084,-0.159
1753,-0.014,-0.075,-0.055,-0.072,-0.027,0.098,0.011,-0.016,-0.136,-0.135,0.054,-0.551,-0.816,1.286,-0.016,0.041,0.27,-0.158
1754,0.473,-0.024,0.105,0.066,1.068,0.424,0.328,0.144,-0.409,0.345,0.263,0.999,1.684,0.522,0.287,0.708,0.279,0.53
1755,-0.198,-0.09,-0.069,-0.001,-0.517,-0.155,-0.252,-0.484,-0.155,0.495,-0.344,-0.768,-0.521,-0.262,-0.417,-0.289,0.24,0.377
1756,-0.052,0.302,0.366,-0.009,-0.208,-0.186,0.204,0.517,0.113,0.219,-0.36,0.224,-1.008,0.16,-0.8,0.243,-0.001,-0.136
1757,-0.086,-0.051,-0.134,0.21,-0.278,-0.062,-0.475,0.209,0.196,0.437,-0.003,-0.828,-0.18,0.174,-0.217,-0.113,0.145,-0.381
1758,-0.156,-0.279,-0.215,-0.547,0.114,-0.024,-0.398,0.135,-0.47,-0.512,-0.658,0.176,-0.213,0.379,0.034,-0.043,-0.063,-0.235
1759,0.053,-0.09,-0.137,-0.054,0.338,0.144,0.116,-0.291,0.049,-0.098,-0.114,0.646,-0.031,0.4,0.032,0.288,0.113,-0.474
1760,0.165,-0.014,0.037,0.172,0.089,0.124,0.213,0.373,-0.167,0.362,0.321,0.171,-0.117,0.213,0.167,-0.058,0.263,0.241
1761,0.108,0.156,0.304,-0.029,0.407,-0.034,0.037,0.634,-0.286,0.286,-0.088,-0.277,0.812,0.686,0.133,-0.096,-0.14,-0.407
1762,-0.392,-0.235,-0.266,-0.21,-0.827,-0.319,-0.206,-0.186,-0.142,0.27,-0.759,-0.806,0.039,-1.713,-0.387,-0.191,-0.38,-0.238
1763,0.236,-0.029,-0.109,0.144,0.602,0.12,-0.362,0.274,0.209,0.239,-0.016,-0.1,0.935,0.971,-0.027,0.058,0.328,0.329
1764,0.132,0.237,0.364,0.173,0.447,-0.317,0.392,0.372,-0.143,0.055,0.608,0.505,0.387,0.448,-0.965,-0.013,0.027,-0.087
1765,-0.547,-0.213,-0.435,-0.341,-1.313,NA,-0.497,-0.72,0.453,0.288,-1.766,-1.62,-1.627,-0.692,NA,-0.055,0.346,-0.131
1766,NA,NA,NA,-0.185,0.487,NA,0.568,NA,-0.428,0.085,-0.211,0.632,0.358,0.472,0.52,NA,0.068,-0.136
1767,0.16,0.01,0.001,0.216,0.133,0.297,-0.167,0.306,0.037,0.029,0.583,0.051,0.768,-0.418,0.148,0.254,0.488,-0.163
1768,-0.108,-0.052,-0.041,-0.121,-0.078,-0.328,-0.374,0.415,-0.084,0.255,-0.534,0.032,-0.072,-0.192,-0.08,-1.07,0.166,0.236
1769,0.273,0.061,0.11,-0.14,0.766,0.282,0.002,0.094,-0.088,-0.191,-0.14,1.024,0.538,0.735,0.629,-0.476,0.694,0.456
1770,0.416,0.257,0.378,0.092,0.868,0.297,0.314,0.364,-0.106,0.187,0.195,0.972,1.086,0.546,0.525,0.078,0.289,0.544
1771,0.206,0.087,0.204,0.17,0.652,0.028,-0.157,0.224,-0.264,-0.133,0.906,0.178,0.738,1.041,-0.314,0.195,0.204,-0.144
1772,-0.381,-0.375,-0.329,-0.462,-0.534,-0.258,-0.581,-0.263,-0.512,-0.42,-0.455,0.148,-0.897,-0.854,-0.862,0.033,0.054,0.04
1773,-0.145,0.017,0.102,-0.106,-0.265,-0.092,-0.114,0.38,-0.24,0.163,-0.24,-0.578,0.567,-0.785,0.633,-0.351,-0.557,-0.612
1774,-0.462,-0.346,-0.227,-0.596,-0.345,-0.737,-0.243,0.174,-0.703,-0.301,-0.784,-0.374,0.001,-0.663,-0.709,-0.787,-0.716,-0.44
1775,-0.117,0.086,0.077,0.038,-0.436,-0.218,0.183,0.487,0.115,0.176,-0.176,-0.958,-0.267,-0.084,-0.5,-0.003,-0.151,-0.23
1776,-0.056,-0.193,-0.131,-0.325,0.243,-0.073,-0.702,0.538,-0.378,-0.3,-0.297,-0.096,0.344,0.48,-0.03,-0.283,0.095,-0.042
