year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1748,1023.38,1017.82,1011.94,1012.34,1012.74,1017.75,1015.38,1019.5,1022.38,1018.98,1018.77,1018.98
1749,1005.74,1013.68,1016.32,1010.33,1014.52,1011.55,1018.59,1015.57,1015.02,1025.23,1020.47,1022.29
1750,1028.57,1020.33,1025.98,1011.08,1015.91,1018.22,1015.93,1015.5,1018.56,1017.15,1011.18,1015.76
1751,1010.7,1016.01,1009.59,1009.29,1011.06,1018.25,1014.67,1014.27,1017.64,1017.48,1019.41,1017.79
1752,1012.87,1015.76,1020.69,1015.87,1015.76,1016.07,1014.62,1015.08,1019.5,1025.55,1024.6,1017.77
1753,1020.14,1014.13,1018.69,1010.39,1019.85,1017.01,1015.95,1016.18,1020.44,1018.01,1016.16,1017.3
1754,1018.01,1022.18,1018.58,1016.91,1015.24,1016.98,1019.07,1018.2,1025.44,1017.86,1013.48,1021.67
1755,1025.18,1009.53,1010.41,1015.94,1018.26,1015.07,1014.39,1015.96,1013.62,1017.5,1006.63,1016.14
1756,1020.76,1024.84,1015.39,1012.62,1014.02,1013.41,1013.96,1015.86,1015.8,1015.04,1018.85,1022.25
1757,1006.23,1023.88,1017.68,1013.51,1016.43,1017.81,1016.73,1012.77,1022.16,1022,1011.47,1012.37
1758,1017.96,1013.27,1008.64,1011.38,1019.28,1018.64,1010.89,1016.66,1020.17,1015.95,1015.62,1016.77
1759,1024.47,1022.74,1014.78,1015.98,1017.27,1016.22,1020.43,1018.2,1019.68,1017.88,1019.06,1008.81
1760,1017.42,1017.82,1021.33,1022.15,1015.71,1013.51,1019.78,1015.48,1015.97,1011.41,1017.09,1019.23
1761,1031.96,1023.92,1018.01,1017.99,1015.13,1014.64,1019.62,1018.86,1016.21,1011.7,1010.78,1012.45
1762,1018.13,1016.1,1013.61,1018.41,1016.66,1018.34,1018.89,1010.98,1015.16,1008.92,1017.85,1027.71
1763,1019.57,1007.82,1020.43,1018.98,1014.82,1015.5,1014.37,1017.3,1016.6,1018.39,1020.31,1010.19
1764,1013.08,1018.86,1021.04,1012.26,1020.29,1018.72,1017.67,1016.97,1018.94,1018.79,1016.45,1011.88
1765,1012.54,1016.33,1006.87,1018.04,1016.84,1018.17,1019.28,1016.06,1022.76,1013.52,1021.05,1020.7
1766,1033.59,1020.5,1013.95,1014.53,1014.53,1017.33,1016.37,1021.48,1021.97,1017.18,1020.98,1020.6
1767,1014.46,1013.15,1015.43,1019.59,1016.34,1018.39,1014.57,1015.99,1018.94,1018.42,1020.61,1018.06
1768,1012.16,1019.53,1024.52,1016.22,1015.65,1014.15,1015.05,1015.64,1012.7,1010.5,1013.19,1021.24
1769,1017.57,1011.55,1020.12,1013.28,1015.97,1017.49,1019.65,1016.89,1016.42,1019.73,1017.03,1023.23
1770,1024,1022.3,1010.87,1011.68,1012.74,1015.74,1018.56,1019.01,1015.58,1012.31,1010.86,1017.23
1771,1012.73,1020.48,1012.74,1017.92,1016.32,1017.98,1019.62,1016.63,1017.43,1018.3,1025.47,1011.05
1772,1008.38,1005.41,1005.37,1013.08,1016.24,1019.11,1016.89,1015.31,1012.48,1017.33,1012.85,1019.89
1773,1016.48,1018.69,1020.86,1015.82,1012.34,1013.48,1018.5,1016.43,1015.49,1016.5,1010.46,1009.73
1774,1008.8,1016.89,1012.2,1012.02,1012.92,1014.85,1018.5,1016.13,1012.31,1021.69,1012.73,1023.3
1775,1018.85,1017.3,1015.8,1020.39,1021.5,1014.09,1015.18,1015.19,1012.1,1017.29,1014.18,1023.33
1776,1010.44,1007.3,1017.24,1018.89,1018.13,1014.65,1016.96,1016.41,1015.41,1019.82,1018.43,1018.73
1777,1015.17,1010.27,1011.62,1018.82,1012.54,1017.98,1016.27,1020.67,1021.57,1014.43,1021.6,1013.98
1778,1013.23,1015.05,1012.72,1012.1,1018.33,1020.53,1017.95,1022.86,1019.81,1009.34,1015.79,1020.99
1779,1030.54,1032.67,1025.9,1021.86,1017.52,1016.16,1016.13,1019.19,1019.07,1020.68,1010.1,1013.58
1780,1013.88,1020.35,1021.76,1011.48,1019.71,1020.13,1021,1017.19,1015.69,1013.39,1017.02,1031.14
1781,1019.42,1016.89,1023.76,1014.88,1016.15,1012.78,1020.91,1016.48,1016.33,1023.63,1014.08,1016.21
1782,1017.83,1019.33,1012.92,1006.16,1011.24,1022.19,1020.67,1014.69,1019.53,1018.13,1020.36,1026.93
1783,1014.21,1021,1012.28,1022.87,1012.68,1015.57,1017.45,1018.37,1015.97,1019.08,1018.21,1017.5
1784,1014.33,1011.46,1008.34,1012.92,1023.38,1018.45,1018.86,1017.77,1017.79,1017.78,1017.12,1009.33
1785,1012.34,1008.65,1015.91,1021.73,1016.68,1018.67,1014.5,1013.14,1013.89,1020.15,1016.5,1014.98
1786,1015.13,1020.89,1010.01,1013.2,1017.4,1016.09,1019.69,1016.18,1015.72,1020.09,1011.72,1012.59
1787,1027.29,1019.07,1015.91,1016.95,1015.35,1014.7,1014.32,1019.32,1015.8,1013.08,1015.89,1013.72
1788,1022.62,1007.35,1008.31,1023.04,1018.22,1013.88,1020.08,1017.59,1015.44,1023.69,1024.98,1014.54
1789,1013.66,1014,1007.72,1011.63,1015.36,1014.02,1014.77,1017.15,1015.69,1009.6,1011.26,1020.52
1790,1024.21,1031.59,1027.41,1012.92,1015.37,1020.92,1015.69,1019.76,1020.05,1015.98,1013.5,1019.67
1791,1012.03,1019.88,1028.33,1012.54,1019.52,1015.47,1017.35,1020.62,1020.59,1011.1,1012.24,1010.75
1792,1010.72,1020.94,1015.91,1017.86,1018.59,1016.1,1014.78,1015.16,1014,1012.86,1021.88,1018.41
1793,1022.3,1017.34,1014.23,1015.01,1018.94,1018.42,1019.24,1018.62,1019.03,1020.69,1013.63,1013.19
1794,1021.52,1020.2,1021,1018.62,1017.48,1017.58,1018.42,1016.21,1014,1014.6,1013.81,1018.23
1795,1018.88,1008.42,1013.22,1013.07,1022.73,1013.18,1017.26,1017.26,1019.68,1011.95,1016.31,1021.92
1796,1016.99,1012.91,1018.29,1017.76,1010.52,1017.51,1013.58,1017.29,1016.5,1017,1013.02,1014.12
1797,1025.8,1030.91,1015.42,1010.46,1015.37,1013.72,1018.48,1016.34,1012.88,1013.66,1018.15,1018.26
1798,1019.96,1025.85,1016.43,1018.18,1018.13,1020.45,1015.17,1020.97,1014.06,1018.06,1009.17,1015.85
1799,1021.44,1012.84,1012.23,1007.2,1014.07,1019.2,1014.38,1014.9,1014.3,1014.56,1017.85,1013.96
1800,1006.16,1013.93,1013.47,1011.99,1013.55,1017.31,1023.08,1020,NA,NA,1010.84,1009
1801,1017.61,1011.78,1017.84,1018.05,1012.89,1019.85,1011.94,1018.56,1016.05,1015.07,1010.86,1007.27
1802,1021.89,NA,1020.54,1021.29,1017.78,1016.94,1016.53,1020.78,1020.05,1014.36,1006.55,1012.74
1803,1005.37,1017.16,1020.23,1018.09,1018.57,1021.43,1021.88,1021.01,1022.96,1022.03,1006.89,1011.84
1804,1012.47,1021.91,1008.65,1010.87,1018.78,1024.18,1013.04,1017.9,1023.89,1012.79,1015.78,1012.93
1805,1007.79,1016.42,1018.83,1013.85,1015.8,1020.03,1017.39,1018.35,1020.61,1014.29,1027.71,1013.94
1806,1009.91,1018.13,1010.52,1017.58,1013.99,1022.79,1014.03,1015.64,1020.02,1015.4,1015.71,1012.58
1807,1022.58,1014.57,1015.4,1016.14,1013.95,1019.8,1016.73,1017.13,1014.52,1017.49,1007.1,1020.87
1808,1018.27,1024,1020.11,1017.79,1018.24,1018.38,1018.1,1015.02,1012.63,1013.27,1014.35,1013.34
1809,1006.71,1016.62,1019.96,1012.36,1017.33,1018.01,1014.46,1015.17,1013.71,1024.47,1017.6,1011.33
1810,1025.54,1018.64,1010.87,1013.41,1013.28,1021.06,1015,1017.74,1019.23,1017.26,1004.89,1015.66
1811,1017.26,1009.4,1024.06,1012,1014.08,1016.4,1019,1018.13,1016.73,1011.71,1020.8,1014.63
1812,1016.8,1012.55,1010.64,1015.95,1014.96,1018.6,1018.61,1017.48,1021.37,1006.61,1015.67,1018.11
1813,1023.93,1021.59,1026.19,1016.81,1014.2,1017.97,1015.18,1021.44,1019.22,1010.01,1015.08,1014.01
1814,1004.49,1023.29,1011.09,1015.83,1016.12,1018.87,1018.08,1019.35,1020.78,1013.94,1013.7,1014.11
1815,1014.88,1018.9,1017.7,1014.33,1017.63,1014.75,1019.85,1018.29,1019.2,1015.28,1020.37,1018.28
1816,1012.22,1017.74,1013.66,1008.64,1013.8,1015.86,1010.68,1017.73,1017.5,1014.44,1014.19,1016.4
1817,1019.02,1022.7,1017.85,1025.19,1011.03,1016.56,1016.34,1014.38,1017.1,1017.02,1023.19,1009.2
1818,1019.78,1014.42,1013.08,1009.51,1013.18,1020.38,1020.28,1019.29,1014.66,1017.34,1016.73,1023.5
1819,1017.98,1012.54,1017.34,1013.05,1014.9,1017.75,1017.71,1017.68,1019.21,1014.4,1011.35,1013.1
1820,1018.41,1019.31,1016.16,1016.98,1015.76,1018.85,1017.36,1016.91,1020.36,1009.48,1014.96,1019.24
1821,1017.83,1028.6,1010.96,1009.85,1016.7,1019.09,1018.3,1017.35,1017.71,1019.16,1018.61,1008.99
1822,1024.66,1026.75,1024.37,1016.75,1015.48,1019.34,1013.76,1016.71,1016.79,1011.5,1016.55,1021.79
1823,1009.93,1005.9,1014.89,1014.44,1018.31,1015.69,1016.49,1018.61,1019.61,1011.46,1024.42,1016.22
1824,1023.66,1014.7,1014.21,1015.85,1016.84,1014.67,1019.81,1018.04,1016.95,1011.09,1013.36,1019.55
1825,1028.76,1026.32,1021.8,1019.2,1017.3,1017.96,1019.44,1016.65,1015.61,1019.93,1012.95,1007.54
1826,1020.82,1023.19,1018.26,1019.77,1015.88,1023.2,1016.95,1017.4,1015.73,1017.41,1013.04,1017.49
1827,1016.36,1019.18,1013.42,1017.45,1011.56,1016.62,1021.47,1017.56,1017.91,1011.59,1019.75,1018.92
1828,1020.73,1013.72,1016.69,1013.37,1013.55,1018.71,1010.77,1015.32,1017.02,1022.1,1017.54,1023.4
1829,1010.92,1021.86,1011.38,1005.89,1017.25,1017.95,1013.88,1016.29,1012.63,1019.8,1018.56,1022.71
1830,1017.81,1017.73,1023.83,1013.34,1014.13,1013.22,1017.82,1015.95,1013.19,1026.82,1016.73,1007.17
1831,1014.31,1017.6,1016.26,1007.88,1013.31,1017.44,1017.39,1015.73,1016.3,1018.44,1018.88,1015.96
1832,1019.86,1021.82,1017.33,1017.13,1016.75,1014.88,1020.5,1016.29,1023.1,1023.3,1015.51,1021.5
1833,1026.2,1009.13,1012.28,1011.98,1020.86,1014.73,1018.05,1016.65,1014.51,1013.38,1020.08,1016.4
1834,1016.22,1026.72,1027.09,1021.66,1017.78,1018.25,1015.84,1014.15,1020.54,1020.87,1016.63,1030.14
1835,1023.68,1018.57,1017.83,1021.9,1014.83,1018.94,1018.81,1016.04,1011.37,1013.49,1018.24,1025.29
1836,1021.66,1013.86,1008.53,1014.24,1019.41,1017.16,1019.17,1017.81,1015.12,1014.81,1010.59,1014.89
1837,1018.65,1021.31,1015.87,1011.06,1015.54,1017.55,1016.64,1017,1014.18,1024.44,1016.86,1020.22
1838,1015.27,1005.83,1013.8,1011.85,1012.93,1015.29,1018.85,1017.42,1017.1,1019.26,1004.58,1023.37
1839,1018.55,1021.37,1013.49,1019.41,1014.49,1015.6,1017.47,1018.68,1010.44,1017.64,1009.55,1012.16
1840,1017.62,1017.7,1023.68,1017.43,1014.65,1018.6,1016.41,1015.87,1013.79,1016.97,1010.07,1022.15
1841,1013.83,1011.35,1018.65,1013.57,1015.03,1016.87,1014.61,1017.72,1012.98,1007.24,1014.7,1012.34
1842,1020.09,1021.6,1017.73,1015.41,1016.14,1018.33,1016.87,1017.96,1012.89,1018.3,1011.6,1026.5
1843,1015.26,1003.07,1014.61,1014.53,1012.09,1012.74,1018.2,1017.92,1022.28,1013.41,1015.94,1033.46
1844,1020.15,1008.46,1013.79,1022.04,1016.29,1017.03,1015.95,1014.41,1017.73,1011.05,1013.32,1017.49
1845,1015.05,1016.64,1017.07,1011.56,1012.64,1016.26,1016.42,1015.27,1015.8,1020.51,1012.32,1016.67
1846,1016.61,1020.35,1014.78,1009.71,1015.69,1017.65,1017.04,1015.45,1015.91,1009.79,1018.55,1012.96
1847,1015.51,1017.19,1018.42,1011.67,1016.09,1016.75,1018.61,1017.15,1018.6,1017.62,1020.72,1016
1848,1016.04,1011.94,1007.31,1009.39,1018.84,1013.67,1019.13,1016.41,1017.47,1013.47,1018.02,1020.06
1849,1018.67,1030.38,1020.45,1007.36,1015.27,1017.15,1017.11,1018.6,1015.15,1015.48,1016.34,1016.96
1850,1018.71,1022.37,1023.49,1011.38,1013.37,1019.15,1016.77,1017.91,1020.9,1013.49,1017.96,1023.49
1851,1017.08,1020.21,1013.12,1013.25,1018.58,1021.42,1014.44,1019.58,1022.12,1016.79,1014.87,1029.42
1852,1016.26,1019.91,1021.06,1018.68,1015.56,1011.53,1016.74,1013.41,1015.59,1014.8,1008.22,1015.19
1853,1012.12,1005.34,1015.37,1014.95,1012.3,1014.44,1017.6,1016.67,1017.89,1011.14,1021.25,1014.31
1854,1014.25,1026.47,1029.66,1020.85,1013.43,1015.05,1017,1020.44,1024.17,1015.55,1012.44,1019.02
1855,1022.95,1007.56,1008.06,1019.99,1011.56,1018.78,1016.14,1019.97,1020.28,1009.95,1017.74,1016.85
1856,1006.71,1021.11,1020.33,1010.09,1011.62,1019.98,1019.23,1014.98,1013.67,1023.31,1019.89,1014.77
1857,1012.26,1023.96,1015.45,1011.82,1014.65,1018.36,1019.77,1017.27,1017.38,1015.05,1020.76,1032.49
1858,1031.22,1016.92,1015.44,1015.73,1016.96,1019.76,1016.72,1017.49,1019.91,1018.57,1013.62,1018.74
1859,1027.74,1020.62,1020.1,1011.02,1012.17,1014.37,1020.2,1016.86,1015.33,1008.53,1018.67,1012.91
1860,1010.29,1018.21,1014.55,1014.31,1014.86,1012.64,1017.29,1011.91,1014.82,1020.81,1012.14,1005.98
1861,1024.1,1014.62,1013.52,1020.04,1018.19,1014.71,1012.57,1020.01,1015.7,1017.53,1012.1,1022.21
1862,1015.97,1019.55,1006.9,1018.65,1014.32,1015.04,1017.15,1015.62,1016.93,1016.92,1014.27,1021.52
1863,1014.83,1029.26,1014.22,1017.28,1016.29,1015.09,1020.25,1015.94,1015.59,1013.36,1021.1,1024.52
1864,1025.84,1015.53,1006.91,1018.83,1016.04,1017.38,1017.84,1019.38,1017.41,1011.21,1012.27,1018.71
1865,1006.23,1015.83,1013.26,1019.5,1015.85,1022.02,1016.64,1014.76,1023.86,1006.94,1015.52,1027.36
1866,1018.55,1012.54,1006.68,1014.02,1015.39,1015.71,1015.44,1013.49,1013.03,1020.02,1019.29,1020.27
1867,1008.86,1023.61,1008.87,1014.51,1013.79,1020.19,1015.38,1017.44,1020.92,1017.38,1025.92,1019.34
1868,1017.09,1024.9,1019.17,1016.66,1017.07,1021.46,1017.16,1015.81,1012.26,1017.44,1017.99,1008.99
1869,1022.65,1021.71,1007.92,1016.33,1010.47,1019.68,1019.73,1021.49,1014.41,1019.37,1017.69,1012.27
1870,1020.12,1011.9,1016.78,1022.06,1020.41,1020.27,1016.73,1014.74,NA,NA,1013.27,1013.5
1871,1012.67,1021.78,1019.82,1013.27,1017.81,1014.35,1014.77,1017.87,1012.92,1017.03,1015.28,1022.56
