SEF	1.0.0
ID	10
Name	Royal Society - Crane Court
Lat	51.515
Lon	-0.109
Alt	23.7
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1774	1	1	8	0	0	1006.5	orig=29.57inHg|ATB=2.2C|PTC=Y|PGC=Y|temp_cor=-0.41hPa|grav_cor=0.54hPa|slp_cor=3.01hPa|drybulb_temp=-3.3C|capa_cor=-0.0015inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.72hPa
1774	1	1	14	0	0	1005.7	orig=29.55inHg|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.46hPa|grav_cor=0.54hPa|slp_cor=2.98hPa|drybulb_temp=-0.3C|capa_cor=-0.0017inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.69hPa
1774	1	2	8	0	0	1002.2	orig=29.44inHg|ATB=1.4C|PTC=Y|PGC=Y|temp_cor=-0.25hPa|grav_cor=0.54hPa|slp_cor=2.97hPa|drybulb_temp=-0.7C|capa_cor=-0.0026inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.75hPa
1774	1	3	8	0	0	1013.5	orig=29.765inHg|ATB=0.3C|PTC=Y|PGC=Y|temp_cor=-0.05hPa|grav_cor=0.55hPa|slp_cor=3.03hPa|drybulb_temp=-3.3C|capa_cor=1e-04inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.68hPa
1774	1	3	14	0	0	1017.7	orig=29.89inHg|ATB=0.6C|PTC=Y|PGC=Y|temp_cor=-0.1hPa|grav_cor=0.55hPa|slp_cor=3.01hPa|drybulb_temp=0.3C|capa_cor=0.0012inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.69hPa
1774	1	4	8	0	0	1022.3	orig=30.015inHg|ATB=-0.6C|PTC=Y|PGC=Y|temp_cor=0.1hPa|grav_cor=0.55hPa|slp_cor=3.07hPa|drybulb_temp=-4.4C|capa_cor=0.0022inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.75hPa
1774	1	4	14	0	0	1021.4	orig=29.995inHg|ATB=0C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.02hPa|drybulb_temp=0C|capa_cor=0.002inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.69hPa
1774	1	5	8	0	0	1026.3	orig=30.135inHg|ATB=0C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.07hPa|drybulb_temp=-3.4C|capa_cor=0.0032inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.75hPa
1774	1	5	16	0	0	1027.6	orig=30.175inHg|ATB=0C|PGC=Y|grav_cor=0.56hPa|slp_cor=3.05hPa|drybulb_temp=-1.1C|capa_cor=0.0035inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.71hPa
1774	1	6	8	0	0	1020.6	orig=29.975inHg|ATB=0.6C|PTC=Y|PGC=Y|temp_cor=-0.1hPa|grav_cor=0.55hPa|slp_cor=3hPa|drybulb_temp=1.5C|capa_cor=0.0019inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.69hPa
1774	1	6	14	0	0	1018.6	orig=29.925inHg|ATB=1.9C|PTC=Y|PGC=Y|temp_cor=-0.36hPa|grav_cor=0.55hPa|slp_cor=2.96hPa|drybulb_temp=5C|capa_cor=0.0015inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.7hPa
1774	1	7	8	0	0	1006.9	orig=29.585inHg|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.46hPa|grav_cor=0.54hPa|slp_cor=2.96hPa|drybulb_temp=2.1C|capa_cor=-0.0014inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.71hPa
1774	1	7	14	0	0	1009.6	orig=29.67inHg|ATB=3.6C|PTC=Y|PGC=Y|temp_cor=-0.66hPa|grav_cor=0.55hPa|slp_cor=2.94hPa|drybulb_temp=3.9C|capa_cor=-7e-04inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.73hPa
1774	1	8	8	0	0	1018.8	orig=29.93inHg|ATB=2.2C|PTC=Y|PGC=Y|temp_cor=-0.41hPa|grav_cor=0.55hPa|slp_cor=3.04hPa|drybulb_temp=-2.2C|capa_cor=0.0015inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.7hPa
1774	1	8	15	0	0	1015.6	orig=29.84inHg|ATB=2.8C|PTC=Y|PGC=Y|temp_cor=-0.51hPa|grav_cor=0.55hPa|slp_cor=2.98hPa|drybulb_temp=2.2C|capa_cor=8e-04inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.73hPa
1774	1	9	8	0	0	1003	orig=29.475inHg|ATB=3.3C|PTC=Y|PGC=Y|temp_cor=-0.61hPa|grav_cor=0.54hPa|slp_cor=2.93hPa|drybulb_temp=3.1C|capa_cor=-0.0023inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.74hPa
1774	1	9	14	0	0	1007.7	orig=29.615inHg|ATB=3.6C|PTC=Y|PGC=Y|temp_cor=-0.66hPa|grav_cor=0.54hPa|slp_cor=2.97hPa|drybulb_temp=0.6C|capa_cor=-0.0011inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.67hPa
1774	1	10	8	0	0	1014.8	orig=29.815inHg|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.46hPa|grav_cor=0.55hPa|slp_cor=3.01hPa|drybulb_temp=-0.8C|capa_cor=5e-04inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.71hPa
1774	1	10	14	0	0	1015.5	orig=29.835inHg|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.46hPa|grav_cor=0.55hPa|slp_cor=3.01hPa|drybulb_temp=-0.6C|capa_cor=7e-04inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.72hPa
1774	1	11	8	0	0	1012.4	orig=29.735inHg|ATB=0.8C|PTC=Y|PGC=Y|temp_cor=-0.15hPa|grav_cor=0.55hPa|slp_cor=3.02hPa|drybulb_temp=-2.8C|capa_cor=-1e-04inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.72hPa
1774	1	11	15	0	0	1011.1	orig=29.7inHg|ATB=1.1C|PTC=Y|PGC=Y|temp_cor=-0.2hPa|grav_cor=0.55hPa|slp_cor=2.99hPa|drybulb_temp=0C|capa_cor=-4e-04inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.7hPa
1774	1	12	8	0	0	1010.3	orig=29.67inHg|ATB=0C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.01hPa|drybulb_temp=-2.2C|capa_cor=-7e-04inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.7hPa
1774	1	12	14	0	0	1009.1	orig=29.64inHg|ATB=0.8C|PTC=Y|PGC=Y|temp_cor=-0.15hPa|grav_cor=0.55hPa|slp_cor=2.98hPa|drybulb_temp=0.3C|capa_cor=-9e-04inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.71hPa
1774	1	13	8	0	0	1002.4	orig=29.44inHg|ATB=0C|PGC=Y|grav_cor=0.54hPa|slp_cor=2.98hPa|drybulb_temp=-1.1C|capa_cor=-0.0026inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.69hPa
1774	1	13	14	0	0	998.3	orig=29.325inHg|ATB=1.1C|PTC=Y|PGC=Y|temp_cor=-0.2hPa|grav_cor=0.54hPa|slp_cor=2.94hPa|drybulb_temp=1.1C|capa_cor=-0.0035inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.76hPa
1774	1	14	8	0	0	979.5	orig=28.79inHg|ATB=3.3C|PTC=Y|PGC=Y|temp_cor=-0.59hPa|grav_cor=0.53hPa|slp_cor=2.84hPa|drybulb_temp=5.6C|capa_cor=-0.008inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.73hPa
1774	1	14	14	0	0	981.1	orig=28.845inHg|ATB=4.7C|PTC=Y|PGC=Y|temp_cor=-0.84hPa|grav_cor=0.53hPa|slp_cor=2.82hPa|drybulb_temp=7.8C|capa_cor=-0.0075inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.71hPa
1774	1	15	8	0	0	993.2	orig=29.2inHg|ATB=5.3C|PTC=Y|PGC=Y|temp_cor=-0.95hPa|grav_cor=0.54hPa|slp_cor=2.88hPa|drybulb_temp=5.3C|capa_cor=-0.0046inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.74hPa
1774	1	15	14	0	0	997.5	orig=29.33inHg|ATB=6.1C|PTC=Y|PGC=Y|temp_cor=-1.11hPa|grav_cor=0.54hPa|slp_cor=2.88hPa|drybulb_temp=7.1C|capa_cor=-0.0035inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.76hPa
1774	1	16	8	0	0	995.1	orig=29.265inHg|ATB=6.7C|PTC=Y|PGC=Y|temp_cor=-1.2hPa|grav_cor=0.54hPa|slp_cor=2.86hPa|drybulb_temp=7.5C|capa_cor=-0.004inHg|capil_cor=0.04inHg|qc=0|Adjusted=Y|Correction=+0.69hPa
