SEF	1.0.0
ID	12
Name	Royal Society - Somerset House (Late)
Lat	51.511
Lon	-0.117
Alt	29.6
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1823	1	1	9	0	0	1012.5	orig=29.768inHg|ATB=1C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.74hPa|drybulb_temp=0C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	1	15	0	0	1012.4	orig=29.763inHg|ATB=1.4C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.73hPa|drybulb_temp=0.6C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	2	9	0	0	1010.9	orig=29.721inHg|ATB=2.8C|PGC=Y|grav_cor=0.54hPa|slp_cor=3.68hPa|drybulb_temp=3.9C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	2	15	0	0	1012.6	orig=29.771inHg|ATB=4.7C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.66hPa|drybulb_temp=6.1C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	3	9	0	0	1014.2	orig=29.819inHg|ATB=5.7C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.68hPa|drybulb_temp=5C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	3	15	0	0	1013.8	orig=29.806inHg|ATB=6.7C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.66hPa|drybulb_temp=6.7C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	4	9	0	0	1012	orig=29.754inHg|ATB=6.8C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.67hPa|drybulb_temp=5C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	4	15	0	0	1010.9	orig=29.721inHg|ATB=6.7C|PGC=Y|grav_cor=0.54hPa|slp_cor=3.67hPa|drybulb_temp=5C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	5	9	0	0	1011.7	orig=29.745inHg|ATB=6.5C|PGC=Y|grav_cor=0.54hPa|slp_cor=3.67hPa|drybulb_temp=5C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	5	15	0	0	1010.7	orig=29.715inHg|ATB=6.2C|PGC=Y|grav_cor=0.54hPa|slp_cor=3.67hPa|drybulb_temp=4.4C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	6	9	0	0	1017.1	orig=29.904inHg|ATB=6.6C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.68hPa|drybulb_temp=6.1C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	6	15	0	0	1019.8	orig=29.985inHg|ATB=7.1C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.68hPa|drybulb_temp=6.7C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	7	9	0	0	1025.1	orig=30.138inHg|ATB=7C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.72hPa|drybulb_temp=5C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	7	15	0	0	1024.9	orig=30.132inHg|ATB=6.8C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.72hPa|drybulb_temp=5C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	8	9	0	0	1026.6	orig=30.181inHg|ATB=5.8C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.75hPa|drybulb_temp=2.8C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	8	15	0	0	1025.7	orig=30.157inHg|ATB=5.2C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.74hPa|drybulb_temp=3.3C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	9	9	0	0	1021.2	orig=30.021inHg|ATB=3.8C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.77hPa|drybulb_temp=0C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	9	15	0	0	1011.3	orig=29.732inHg|ATB=3.3C|PGC=Y|grav_cor=0.54hPa|slp_cor=3.71hPa|drybulb_temp=1.7C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	10	9	0	0	1016.4	orig=29.881inHg|ATB=2.9C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.74hPa|drybulb_temp=1.1C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	10	15	0	0	1015.9	orig=29.866inHg|ATB=2.9C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.73hPa|drybulb_temp=1.7C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	11	9	0	0	1018.1	orig=29.932inHg|ATB=2C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.78hPa|drybulb_temp=-1.1C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	11	15	0	0	1018.1	orig=29.931inHg|ATB=2.2C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.74hPa|drybulb_temp=1.7C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	12	9	0	0	1016.7	orig=29.889inHg|ATB=1.1C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.79hPa|drybulb_temp=-2.8C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	12	15	0	0	1015.4	orig=29.851inHg|ATB=0.6C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.77hPa|drybulb_temp=-1.1C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	13	9	0	0	1013.3	orig=29.788inHg|ATB=0.2C|PGC=Y|grav_cor=0.55hPa|slp_cor=3.77hPa|drybulb_temp=-1.7C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	13	15	0	0	1008	orig=29.635inHg|ATB=0.2C|PGC=Y|grav_cor=0.54hPa|slp_cor=3.74hPa|drybulb_temp=-1.1C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	14	9	0	0	1006.5	orig=29.59inHg|ATB=-0.3C|PGC=Y|grav_cor=0.54hPa|slp_cor=3.76hPa|drybulb_temp=-2.8C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	14	15	0	0	1005.9	orig=29.573inHg|ATB=0C|PGC=Y|grav_cor=0.54hPa|slp_cor=3.72hPa|drybulb_temp=-0.6C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	15	9	0	0	995.3	orig=29.26inHg|ATB=-0.7C|PGC=Y|grav_cor=0.54hPa|slp_cor=3.73hPa|drybulb_temp=-3.9C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	15	15	0	0	995.9	orig=29.278inHg|ATB=-0.3C|PGC=Y|grav_cor=0.54hPa|slp_cor=3.69hPa|drybulb_temp=-0.6C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	16	9	0	0	999.4	orig=29.382inHg|ATB=0.2C|PGC=Y|grav_cor=0.54hPa|slp_cor=3.7hPa|drybulb_temp=-0.6C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	16	15	0	0	999	orig=29.369inHg|ATB=0.5C|PGC=Y|grav_cor=0.54hPa|slp_cor=3.7hPa|drybulb_temp=-0.6C|capil_cor=0.006inHg|qc=0|Adjusted=N
1823	1	17	9	0	0	1000.4	orig=29.41inHg|ATB=1.3C|PGC=Y|grav_cor=0.54hPa|slp_cor=3.68hPa|drybulb_temp=1.1C|capil_cor=0.006inHg|qc=0|Adjusted=N
