SEF	1.0.0
ID	13
Name	The Gentleman's Magazine
Lat	51.51
Lon	-0.11
Alt	15
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1782	4	21	9	0	0	1009.4	orig=29.7inHg|ATB=8.9C|PTC=Y|PGC=Y|temp_cor=-1.63hPa|grav_cor=0.55hPa|slp_cor=1.83hPa|drybulb_temp=8.9C|qc=0|Adjusted=Y|Correction=+2.92hPa
1782	4	22	9	0	0	1012.5	orig=29.8inHg|ATB=8.9C|PTC=Y|PGC=Y|temp_cor=-1.63hPa|grav_cor=0.55hPa|slp_cor=1.83hPa|drybulb_temp=8.9C|qc=0|Adjusted=Y|Correction=+2.64hPa
1782	4	23	9	0	0	1009.8	orig=29.7inHg|ATB=6.7C|PTC=Y|PGC=Y|temp_cor=-1.22hPa|grav_cor=0.55hPa|slp_cor=1.84hPa|drybulb_temp=6.7C|qc=0|Adjusted=Y|Correction=+2.9hPa
1782	4	24	9	0	0	1005.8	orig=29.6inHg|ATB=11.1C|PTC=Y|PGC=Y|temp_cor=-2.03hPa|grav_cor=0.55hPa|slp_cor=1.81hPa|drybulb_temp=11.1C|qc=0|Adjusted=Y|Correction=+3.13hPa
1782	4	25	9	0	0	999.7	orig=29.4inHg|ATB=10C|PTC=Y|PGC=Y|temp_cor=-1.81hPa|grav_cor=0.54hPa|slp_cor=1.8hPa|drybulb_temp=10C|qc=0|Adjusted=Y|Correction=+3.6hPa
1782	4	26	9	0	0	1006.4	orig=29.6inHg|ATB=7.8C|PTC=Y|PGC=Y|temp_cor=-1.42hPa|grav_cor=0.55hPa|slp_cor=1.83hPa|drybulb_temp=7.8C|qc=0|Adjusted=Y|Correction=+3.1hPa
1782	4	27	9	0	0	1013.3	orig=29.8inHg|ATB=4.4C|PTC=Y|PGC=Y|temp_cor=-0.82hPa|grav_cor=0.55hPa|slp_cor=1.86hPa|drybulb_temp=4.4C|qc=0|Adjusted=Y|Correction=+2.59hPa
1782	4	28	9	0	0	1018.1	orig=29.95inHg|ATB=4.4C|PTC=Y|PGC=Y|temp_cor=-0.82hPa|grav_cor=0.55hPa|slp_cor=1.87hPa|drybulb_temp=4.4C|qc=0|Adjusted=Y|Correction=+2.3hPa
1782	4	29	9	0	0	1018.1	orig=29.95inHg|ATB=4.4C|PTC=Y|PGC=Y|temp_cor=-0.82hPa|grav_cor=0.55hPa|slp_cor=1.87hPa|drybulb_temp=4.4C|qc=0|Adjusted=Y|Correction=+2.3hPa
1782	4	30	9	0	0	1022.8	orig=30.1inHg|ATB=4.4C|PTC=Y|PGC=Y|temp_cor=-0.82hPa|grav_cor=0.56hPa|slp_cor=1.88hPa|drybulb_temp=4.4C|qc=0|Adjusted=Y|Correction=+1.91hPa
1782	5	1	9	0	0	1022.9	orig=30.1inHg|ATB=3.9C|PTC=Y|PGC=Y|temp_cor=-0.72hPa|grav_cor=0.56hPa|slp_cor=1.89hPa|drybulb_temp=3.9C|qc=0|Adjusted=Y|Correction=+1.91hPa
1782	5	2	9	0	0	1019.5	orig=30inHg|ATB=5.6C|PTC=Y|PGC=Y|temp_cor=-1.03hPa|grav_cor=0.55hPa|slp_cor=1.87hPa|drybulb_temp=5.6C|qc=0|Adjusted=Y|Correction=+2.22hPa
1782	5	3	9	0	0	1016.5	orig=29.9inHg|ATB=5C|PTC=Y|PGC=Y|temp_cor=-0.92hPa|grav_cor=0.55hPa|slp_cor=1.87hPa|drybulb_temp=5C|qc=0|Adjusted=Y|Correction=+2.5hPa
1782	5	4	9	0	0	1010.3	orig=29.7inHg|ATB=4.4C|PTC=Y|PGC=Y|temp_cor=-0.81hPa|grav_cor=0.55hPa|slp_cor=1.86hPa|drybulb_temp=4.4C|qc=0|Adjusted=Y|Correction=+2.98hPa
1782	5	5	9	0	0	1010	orig=29.7inHg|ATB=6.1C|PTC=Y|PGC=Y|temp_cor=-1.12hPa|grav_cor=0.55hPa|slp_cor=1.85hPa|drybulb_temp=6.1C|qc=0|Adjusted=Y|Correction=+3hPa
1782	5	6	9	0	0	1010.4	orig=29.7inHg|ATB=3.9C|PTC=Y|PGC=Y|temp_cor=-0.71hPa|grav_cor=0.55hPa|slp_cor=1.86hPa|drybulb_temp=3.9C|qc=0|Adjusted=Y|Correction=+2.97hPa
1782	5	7	9	0	0	1016.3	orig=29.9inHg|ATB=6.1C|PTC=Y|PGC=Y|temp_cor=-1.13hPa|grav_cor=0.55hPa|slp_cor=1.86hPa|drybulb_temp=6.1C|qc=0|Adjusted=Y|Correction=+2.52hPa
1782	5	8	9	0	0	1019.6	orig=30inHg|ATB=5.6C|PTC=Y|PGC=Y|temp_cor=-1.03hPa|grav_cor=0.55hPa|slp_cor=1.87hPa|drybulb_temp=5.6C|qc=0|Adjusted=Y|Correction=+2.32hPa
1782	5	9	9	0	0	1007.5	orig=29.65inHg|ATB=11.7C|PTC=Y|PGC=Y|temp_cor=-2.13hPa|grav_cor=0.55hPa|slp_cor=1.81hPa|drybulb_temp=11.7C|qc=0|Adjusted=Y|Correction=+3.25hPa
1782	5	10	9	0	0	1008	orig=29.65inHg|ATB=8.9C|PTC=Y|PGC=Y|temp_cor=-1.62hPa|grav_cor=0.55hPa|slp_cor=1.82hPa|drybulb_temp=8.9C|qc=0|Adjusted=Y|Correction=+3.22hPa
1782	5	11	9	0	0	998.1	orig=29.35inHg|ATB=11.1C|PTC=Y|PGC=Y|temp_cor=-2.01hPa|grav_cor=0.54hPa|slp_cor=1.79hPa|drybulb_temp=11.1C|qc=0|Adjusted=Y|Correction=+3.9hPa
1782	5	12	9	0	0	1004.4	orig=29.55inHg|ATB=11.1C|PTC=Y|PGC=Y|temp_cor=-2.02hPa|grav_cor=0.54hPa|slp_cor=1.8hPa|drybulb_temp=11.1C|qc=0|Adjusted=Y|Correction=+3.43hPa
1782	5	13	9	0	0	1009	orig=29.7inHg|ATB=12.2C|PTC=Y|PGC=Y|temp_cor=-2.24hPa|grav_cor=0.55hPa|slp_cor=1.8hPa|drybulb_temp=12.2C|qc=0|Adjusted=Y|Correction=+3.16hPa
1782	5	14	9	0	0	1005.9	orig=29.6inHg|ATB=11.7C|PTC=Y|PGC=Y|temp_cor=-2.13hPa|grav_cor=0.55hPa|slp_cor=1.8hPa|drybulb_temp=11.7C|qc=0|Adjusted=Y|Correction=+3.34hPa
1782	5	15	9	0	0	1004.2	orig=29.55inHg|ATB=12.8C|PTC=Y|PGC=Y|temp_cor=-2.33hPa|grav_cor=0.54hPa|slp_cor=1.79hPa|drybulb_temp=12.8C|qc=0|Adjusted=Y|Correction=+3.54hPa
1782	5	16	9	0	0	1002.7	orig=29.5inHg|ATB=12.2C|PTC=Y|PGC=Y|temp_cor=-2.22hPa|grav_cor=0.54hPa|slp_cor=1.79hPa|drybulb_temp=12.2C|qc=0|Adjusted=Y|Correction=+3.63hPa
