SEF	1.0.0
ID	14
Name	Thomas Hoy - Muswell Hill
Lat	51.59
Lon	-0.14
Alt	101.5
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1781	9	1	8	0	0	1019.4	orig=29.8inHg|ATB=17.5C|PTC=Y|PGC=Y|temp_cor=-3.22hPa|grav_cor=0.53hPa|slp_cor=11.96hPa|drybulb_temp=20C|qc=0|Adjusted=Y|Correction=+1.01hPa
1781	9	2	8	0	0	1016	orig=29.7inHg|ATB=17.4C|PTC=Y|PGC=Y|temp_cor=-3.18hPa|grav_cor=0.53hPa|slp_cor=12.02hPa|drybulb_temp=17.8C|qc=0|Adjusted=Y|Correction=+0.91hPa
1781	9	3	8	0	0	1016.1	orig=29.7inHg|ATB=17.3C|PTC=Y|PGC=Y|temp_cor=-3.16hPa|grav_cor=0.53hPa|slp_cor=12.02hPa|drybulb_temp=17.8C|qc=0|Adjusted=Y|Correction=+0.99hPa
1781	9	4	8	0	0	1005.7	orig=29.4inHg|ATB=17.2C|PTC=Y|PGC=Y|temp_cor=-3.11hPa|grav_cor=0.52hPa|slp_cor=11.9hPa|drybulb_temp=17.8C|qc=0|Adjusted=Y|Correction=+0.82hPa
1781	9	5	8	0	0	1004.1	orig=29.35inHg|ATB=17.1C|PTC=Y|PGC=Y|temp_cor=-3.09hPa|grav_cor=0.52hPa|slp_cor=12.01hPa|drybulb_temp=14.4C|qc=0|Adjusted=Y|Correction=+0.77hPa
1781	9	6	8	0	0	1012.7	orig=29.6inHg|ATB=16.9C|PTC=Y|PGC=Y|temp_cor=-3.09hPa|grav_cor=0.52hPa|slp_cor=12.07hPa|drybulb_temp=15.6C|qc=0|Adjusted=Y|Correction=+0.85hPa
1781	9	7	8	0	0	1016.1	orig=29.7inHg|ATB=16.8C|PTC=Y|PGC=Y|temp_cor=-3.08hPa|grav_cor=0.53hPa|slp_cor=12.06hPa|drybulb_temp=16.7C|qc=0|Adjusted=Y|Correction=+0.86hPa
1781	9	8	8	0	0	1023	orig=29.9inHg|ATB=16.7C|PTC=Y|PGC=Y|temp_cor=-3.08hPa|grav_cor=0.53hPa|slp_cor=12.1hPa|drybulb_temp=17.8C|qc=0|Adjusted=Y|Correction=+0.95hPa
1781	9	9	8	0	0	1026.5	orig=30inHg|ATB=16.6C|PTC=Y|PGC=Y|temp_cor=-3.07hPa|grav_cor=0.53hPa|slp_cor=12.14hPa|drybulb_temp=17.8C|qc=0|Adjusted=Y|Correction=+1.01hPa
1781	9	10	8	0	0	1023	orig=29.9inHg|ATB=16.5C|PTC=Y|PGC=Y|temp_cor=-3.04hPa|grav_cor=0.53hPa|slp_cor=12.1hPa|drybulb_temp=17.8C|qc=0|Adjusted=Y|Correction=+0.91hPa
1781	9	11	8	0	0	1023.1	orig=29.9inHg|ATB=16.4C|PTC=Y|PGC=Y|temp_cor=-3.02hPa|grav_cor=0.53hPa|slp_cor=12.12hPa|drybulb_temp=17.2C|qc=0|Adjusted=Y|Correction=+0.97hPa
1781	9	12	8	0	0	1023.1	orig=29.9inHg|ATB=16.3C|PTC=Y|PGC=Y|temp_cor=-3hPa|grav_cor=0.53hPa|slp_cor=12.15hPa|drybulb_temp=16.7C|qc=0|Adjusted=Y|Correction=+0.92hPa
1781	9	13	8	0	0	1019.8	orig=29.8inHg|ATB=16.2C|PTC=Y|PGC=Y|temp_cor=-2.97hPa|grav_cor=0.53hPa|slp_cor=12.2hPa|drybulb_temp=14.4C|qc=0|Adjusted=Y|Correction=+0.93hPa
1781	9	14	8	0	0	1021.5	orig=29.85inHg|ATB=16.1C|PTC=Y|PGC=Y|temp_cor=-2.95hPa|grav_cor=0.53hPa|slp_cor=12.22hPa|drybulb_temp=14.4C|qc=0|Adjusted=Y|Correction=+0.9hPa
1781	9	15	8	0	0	1009.3	orig=29.5inHg|ATB=16C|PTC=Y|PGC=Y|temp_cor=-2.9hPa|grav_cor=0.52hPa|slp_cor=11.98hPa|drybulb_temp=16.7C|qc=0|Adjusted=Y|Correction=+0.74hPa
1781	9	16	8	0	0	1002.4	orig=29.3inHg|ATB=15.8C|PTC=Y|PGC=Y|temp_cor=-2.86hPa|grav_cor=0.52hPa|slp_cor=11.86hPa|drybulb_temp=17.8C|qc=0|Adjusted=Y|Correction=+0.7hPa
1781	9	17	8	0	0	1007.6	orig=29.45inHg|ATB=15.7C|PTC=Y|PGC=Y|temp_cor=-2.86hPa|grav_cor=0.52hPa|slp_cor=11.92hPa|drybulb_temp=17.8C|qc=0|Adjusted=Y|Correction=+0.75hPa
1781	9	18	8	0	0	1014.6	orig=29.65inHg|ATB=15.6C|PTC=Y|PGC=Y|temp_cor=-2.86hPa|grav_cor=0.53hPa|slp_cor=12.16hPa|drybulb_temp=13.9C|qc=0|Adjusted=Y|Correction=+0.73hPa
1781	9	19	8	0	0	1019.8	orig=29.8inHg|ATB=15.5C|PTC=Y|PGC=Y|temp_cor=-2.85hPa|grav_cor=0.53hPa|slp_cor=12.18hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+0.83hPa
1781	9	20	8	0	0	1016.3	orig=29.7inHg|ATB=15.4C|PTC=Y|PGC=Y|temp_cor=-2.82hPa|grav_cor=0.53hPa|slp_cor=12.16hPa|drybulb_temp=14.4C|qc=0|Adjusted=Y|Correction=+0.71hPa
1781	9	21	8	0	0	1009.5	orig=29.5inHg|ATB=15.3C|PTC=Y|PGC=Y|temp_cor=-2.78hPa|grav_cor=0.52hPa|slp_cor=12.1hPa|drybulb_temp=13.9C|qc=0|Adjusted=Y|Correction=+0.7hPa
1781	9	22	8	0	0	1012.9	orig=29.6inHg|ATB=15.2C|PTC=Y|PGC=Y|temp_cor=-2.77hPa|grav_cor=0.53hPa|slp_cor=12.1hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+0.71hPa
1781	9	23	8	0	0	1006.1	orig=29.4inHg|ATB=15.1C|PTC=Y|PGC=Y|temp_cor=-2.73hPa|grav_cor=0.52hPa|slp_cor=12.2hPa|drybulb_temp=10.6C|qc=0|Adjusted=Y|Correction=+0.54hPa
1781	9	24	8	0	0	1002.7	orig=29.3inHg|ATB=15C|PTC=Y|PGC=Y|temp_cor=-2.71hPa|grav_cor=0.52hPa|slp_cor=12.19hPa|drybulb_temp=10C|qc=0|Adjusted=Y|Correction=+0.52hPa
1781	9	25	8	0	0	1009.7	orig=29.5inHg|ATB=14.9C|PTC=Y|PGC=Y|temp_cor=-2.7hPa|grav_cor=0.52hPa|slp_cor=12.32hPa|drybulb_temp=8.9C|qc=0|Adjusted=Y|Correction=+0.61hPa
1781	9	26	8	0	0	1002.8	orig=29.3inHg|ATB=14.8C|PTC=Y|PGC=Y|temp_cor=-2.67hPa|grav_cor=0.52hPa|slp_cor=12.24hPa|drybulb_temp=8.9C|qc=0|Adjusted=Y|Correction=+0.53hPa
1781	9	27	8	0	0	1006.2	orig=29.4inHg|ATB=14.7C|PTC=Y|PGC=Y|temp_cor=-2.65hPa|grav_cor=0.52hPa|slp_cor=12.25hPa|drybulb_temp=9.4C|qc=0|Adjusted=Y|Correction=+0.51hPa
1781	9	28	8	0	0	1013.1	orig=29.6inHg|ATB=14.5C|PTC=Y|PGC=Y|temp_cor=-2.65hPa|grav_cor=0.53hPa|slp_cor=12.26hPa|drybulb_temp=11.1C|qc=0|Adjusted=Y|Correction=+0.62hPa
1781	9	29	8	0	0	1023.5	orig=29.9inHg|ATB=14.4C|PTC=Y|PGC=Y|temp_cor=-2.66hPa|grav_cor=0.53hPa|slp_cor=12.41hPa|drybulb_temp=10.6C|qc=0|Adjusted=Y|Correction=+0.71hPa
1781	9	30	8	0	0	1021.6	orig=29.85inHg|ATB=14.3C|PTC=Y|PGC=Y|temp_cor=-2.63hPa|grav_cor=0.53hPa|slp_cor=12.3hPa|drybulb_temp=12.8C|qc=0|Adjusted=Y|Correction=+0.6hPa
1781	10	1	8	0	0	1023.1	orig=29.9inHg|ATB=14.2C|PTC=Y|PGC=Y|temp_cor=-2.62hPa|grav_cor=0.53hPa|slp_cor=12.1hPa|drybulb_temp=17.8C|qc=0|Adjusted=Y|Correction=+0.58hPa
1781	10	2	8	0	0	1019.7	orig=29.8inHg|ATB=14.1C|PTC=Y|PGC=Y|temp_cor=-2.59hPa|grav_cor=0.53hPa|slp_cor=12.06hPa|drybulb_temp=17.8C|qc=0|Adjusted=Y|Correction=+0.58hPa
1781	10	3	8	0	0	1019.9	orig=29.8inHg|ATB=14C|PTC=Y|PGC=Y|temp_cor=-2.57hPa|grav_cor=0.53hPa|slp_cor=12.3hPa|drybulb_temp=12.2C|qc=0|Adjusted=Y|Correction=+0.52hPa
1781	10	4	8	0	0	1023.4	orig=29.9inHg|ATB=13.8C|PTC=Y|PGC=Y|temp_cor=-2.55hPa|grav_cor=0.53hPa|slp_cor=12.34hPa|drybulb_temp=12.2C|qc=0|Adjusted=Y|Correction=+0.58hPa
1781	10	5	8	0	0	1023.5	orig=29.9inHg|ATB=13.7C|PTC=Y|PGC=Y|temp_cor=-2.53hPa|grav_cor=0.53hPa|slp_cor=12.42hPa|drybulb_temp=10.6C|qc=0|Adjusted=Y|Correction=+0.58hPa
1781	10	6	8	0	0	1026.9	orig=30inHg|ATB=13.6C|PTC=Y|PGC=Y|temp_cor=-2.52hPa|grav_cor=0.53hPa|slp_cor=12.43hPa|drybulb_temp=11.1C|qc=0|Adjusted=Y|Correction=+0.57hPa
1781	10	7	8	0	0	1030.4	orig=30.1inHg|ATB=13.5C|PTC=Y|PGC=Y|temp_cor=-2.5hPa|grav_cor=0.53hPa|slp_cor=12.5hPa|drybulb_temp=10.6C|qc=0|Adjusted=Y|Correction=+0.6hPa
1781	10	8	8	0	0	1032.1	orig=30.15inHg|ATB=13.4C|PTC=Y|PGC=Y|temp_cor=-2.48hPa|grav_cor=0.54hPa|slp_cor=12.52hPa|drybulb_temp=10.6C|qc=0|Adjusted=Y|Correction=+0.56hPa
1781	10	9	8	0	0	1032.2	orig=30.15inHg|ATB=13.3C|PTC=Y|PGC=Y|temp_cor=-2.46hPa|grav_cor=0.54hPa|slp_cor=12.54hPa|drybulb_temp=10C|qc=0|Adjusted=Y|Correction=+0.62hPa
1781	10	10	8	0	0	1027	orig=30inHg|ATB=13.1C|PTC=Y|PGC=Y|temp_cor=-2.43hPa|grav_cor=0.53hPa|slp_cor=12.53hPa|drybulb_temp=8.9C|qc=0|Adjusted=Y|Correction=+0.48hPa
1781	10	11	8	0	0	1023.5	orig=29.9inHg|ATB=13C|PTC=Y|PGC=Y|temp_cor=-2.4hPa|grav_cor=0.53hPa|slp_cor=12.42hPa|drybulb_temp=10.6C|qc=0|Adjusted=Y|Correction=+0.45hPa
1781	10	12	8	0	0	1023.5	orig=29.9inHg|ATB=12.9C|PTC=Y|PGC=Y|temp_cor=-2.37hPa|grav_cor=0.53hPa|slp_cor=12.42hPa|drybulb_temp=10.6C|qc=0|Adjusted=Y|Correction=+0.43hPa
1781	10	13	8	0	0	1020.1	orig=29.8inHg|ATB=12.8C|PTC=Y|PGC=Y|temp_cor=-2.34hPa|grav_cor=0.53hPa|slp_cor=12.38hPa|drybulb_temp=10.6C|qc=0|Adjusted=Y|Correction=+0.42hPa
1781	10	14	8	0	0	1027	orig=30inHg|ATB=12.6C|PTC=Y|PGC=Y|temp_cor=-2.34hPa|grav_cor=0.53hPa|slp_cor=12.43hPa|drybulb_temp=11.1C|qc=0|Adjusted=Y|Correction=+0.48hPa
1781	10	15	8	0	0	1025.2	orig=29.95inHg|ATB=12.5C|PTC=Y|PGC=Y|temp_cor=-2.31hPa|grav_cor=0.53hPa|slp_cor=12.39hPa|drybulb_temp=11.7C|qc=0|Adjusted=Y|Correction=+0.39hPa
1781	10	16	8	0	0	1030.5	orig=30.1inHg|ATB=12.4C|PTC=Y|PGC=Y|temp_cor=-2.3hPa|grav_cor=0.53hPa|slp_cor=12.5hPa|drybulb_temp=10.6C|qc=0|Adjusted=Y|Correction=+0.49hPa
1781	10	17	8	0	0	1030.5	orig=30.1inHg|ATB=12.3C|PTC=Y|PGC=Y|temp_cor=-2.27hPa|grav_cor=0.53hPa|slp_cor=12.5hPa|drybulb_temp=10.6C|qc=0|Adjusted=Y|Correction=+0.46hPa
1781	10	18	8	0	0	1027.1	orig=30inHg|ATB=12.1C|PTC=Y|PGC=Y|temp_cor=-2.24hPa|grav_cor=0.53hPa|slp_cor=12.48hPa|drybulb_temp=10C|qc=0|Adjusted=Y|Correction=+0.44hPa
1781	10	19	8	0	0	1023.8	orig=29.9inHg|ATB=12C|PTC=Y|PGC=Y|temp_cor=-2.21hPa|grav_cor=0.53hPa|slp_cor=12.52hPa|drybulb_temp=8.3C|qc=0|Adjusted=Y|Correction=+0.46hPa
1781	10	20	8	0	0	1020.3	orig=29.8inHg|ATB=11.9C|PTC=Y|PGC=Y|temp_cor=-2.18hPa|grav_cor=0.53hPa|slp_cor=12.43hPa|drybulb_temp=9.4C|qc=0|Adjusted=Y|Correction=+0.41hPa
1781	10	21	8	0	0	1020.3	orig=29.8inHg|ATB=11.8C|PTC=Y|PGC=Y|temp_cor=-2.16hPa|grav_cor=0.53hPa|slp_cor=12.4hPa|drybulb_temp=10C|qc=0|Adjusted=Y|Correction=+0.41hPa
1781	10	22	8	0	0	1027.3	orig=30inHg|ATB=11.6C|PTC=Y|PGC=Y|temp_cor=-2.15hPa|grav_cor=0.53hPa|slp_cor=12.54hPa|drybulb_temp=8.9C|qc=0|Adjusted=Y|Correction=+0.49hPa
1781	10	23	8	0	0	1027.5	orig=30inHg|ATB=11.5C|PTC=Y|PGC=Y|temp_cor=-2.13hPa|grav_cor=0.53hPa|slp_cor=12.74hPa|drybulb_temp=4.4C|qc=0|Adjusted=Y|Correction=+0.47hPa
1781	10	24	8	0	0	1024	orig=29.9inHg|ATB=11.4C|PTC=Y|PGC=Y|temp_cor=-2.1hPa|grav_cor=0.53hPa|slp_cor=12.64hPa|drybulb_temp=5.6C|qc=0|Adjusted=Y|Correction=+0.42hPa
1781	10	25	8	0	0	1024	orig=29.9inHg|ATB=11.3C|PTC=Y|PGC=Y|temp_cor=-2.07hPa|grav_cor=0.53hPa|slp_cor=12.54hPa|drybulb_temp=7.8C|qc=0|Adjusted=Y|Correction=+0.5hPa
1781	10	26	8	0	0	1025.6	orig=29.95inHg|ATB=11.1C|PTC=Y|PGC=Y|temp_cor=-2.05hPa|grav_cor=0.53hPa|slp_cor=12.47hPa|drybulb_temp=10C|qc=0|Adjusted=Y|Correction=+0.46hPa
1781	10	27	8	0	0	1027.4	orig=30inHg|ATB=11C|PTC=Y|PGC=Y|temp_cor=-2.03hPa|grav_cor=0.53hPa|slp_cor=12.51hPa|drybulb_temp=9.4C|qc=0|Adjusted=Y|Correction=+0.5hPa
1781	10	28	8	0	0	1013.6	orig=29.6inHg|ATB=10.9C|PTC=Y|PGC=Y|temp_cor=-1.99hPa|grav_cor=0.53hPa|slp_cor=12.32hPa|drybulb_temp=10C|qc=0|Adjusted=Y|Correction=+0.4hPa
1781	10	29	8	0	0	1001.6	orig=29.25inHg|ATB=10.8C|PTC=Y|PGC=Y|temp_cor=-1.94hPa|grav_cor=0.52hPa|slp_cor=12.27hPa|drybulb_temp=7.8C|qc=0|Adjusted=Y|Correction=+0.26hPa
1781	10	30	8	0	0	1001.8	orig=29.25inHg|ATB=10.6C|PTC=Y|PGC=Y|temp_cor=-1.92hPa|grav_cor=0.52hPa|slp_cor=12.45hPa|drybulb_temp=3.9C|qc=0|Adjusted=Y|Correction=+0.26hPa
1781	10	31	8	0	0	1008.8	orig=29.45inHg|ATB=10.5C|PTC=Y|PGC=Y|temp_cor=-1.91hPa|grav_cor=0.52hPa|slp_cor=12.61hPa|drybulb_temp=2.2C|qc=0|Adjusted=Y|Correction=+0.32hPa
1781	11	1	8	0	0	1012	orig=29.55inHg|ATB=10.4C|PTC=Y|PGC=Y|temp_cor=-1.9hPa|grav_cor=0.52hPa|slp_cor=12.35hPa|drybulb_temp=8.9C|qc=0|Adjusted=Y|Correction=+0.37hPa
1781	11	2	8	0	0	1008.5	orig=29.45inHg|ATB=10.3C|PTC=Y|PGC=Y|temp_cor=-1.87hPa|grav_cor=0.52hPa|slp_cor=12.24hPa|drybulb_temp=10.6C|qc=0|Adjusted=Y|Correction=+0.35hPa
1781	11	3	8	0	0	1014	orig=29.6inHg|ATB=10.2C|PTC=Y|PGC=Y|temp_cor=-1.86hPa|grav_cor=0.53hPa|slp_cor=12.57hPa|drybulb_temp=4.4C|qc=0|Adjusted=Y|Correction=+0.42hPa
1781	11	4	8	0	0	1017.6	orig=29.7inHg|ATB=10.1C|PTC=Y|PGC=Y|temp_cor=-1.84hPa|grav_cor=0.53hPa|slp_cor=12.72hPa|drybulb_temp=2.2C|qc=0|Adjusted=Y|Correction=+0.47hPa
1781	11	5	8	0	0	1003.5	orig=29.3inHg|ATB=10C|PTC=Y|PGC=Y|temp_cor=-1.8hPa|grav_cor=0.52hPa|slp_cor=12.25hPa|drybulb_temp=8.9C|qc=0|Adjusted=Y|Correction=+0.35hPa
1781	11	6	8	0	0	1006.9	orig=29.4inHg|ATB=9.9C|PTC=Y|PGC=Y|temp_cor=-1.79hPa|grav_cor=0.52hPa|slp_cor=12.19hPa|drybulb_temp=11.1C|qc=0|Adjusted=Y|Correction=+0.4hPa
1781	11	7	8	0	0	1000.1	orig=29.2inHg|ATB=9.8C|PTC=Y|PGC=Y|temp_cor=-1.76hPa|grav_cor=0.52hPa|slp_cor=12.21hPa|drybulb_temp=8.9C|qc=0|Adjusted=Y|Correction=+0.34hPa
