SEF	1.0.0
ID	15
Name	Thomas Hoy - Syon House
Lat	51.48
Lon	-0.31
Alt	14
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1782	8	1	8	0	0	1007.9	orig=29.8inHg|ATB=20.6C|PTC=Y|PGC=Y|temp_cor=-3.79hPa|grav_cor=0.55hPa|slp_cor=1.65hPa|drybulb_temp=18.9C|qc=0|Adjusted=Y|Correction=+0.38hPa
1782	8	2	8	0	0	1001.1	orig=29.6inHg|ATB=20.6C|PTC=Y|PGC=Y|temp_cor=-3.75hPa|grav_cor=0.54hPa|slp_cor=1.63hPa|drybulb_temp=20C|qc=0|Adjusted=Y|Correction=+0.34hPa
1782	8	3	8	0	0	1001.2	orig=29.6inHg|ATB=20.5C|PTC=Y|PGC=Y|temp_cor=-3.74hPa|grav_cor=0.54hPa|slp_cor=1.64hPa|drybulb_temp=17.8C|qc=0|Adjusted=Y|Correction=+0.41hPa
1782	8	4	8	0	0	1011.3	orig=29.9inHg|ATB=20.4C|PTC=Y|PGC=Y|temp_cor=-3.76hPa|grav_cor=0.55hPa|slp_cor=1.66hPa|drybulb_temp=17.8C|qc=0|Adjusted=Y|Correction=+0.35hPa
1782	8	5	8	0	0	1011.3	orig=29.9inHg|ATB=20.3C|PTC=Y|PGC=Y|temp_cor=-3.75hPa|grav_cor=0.55hPa|slp_cor=1.65hPa|drybulb_temp=19.4C|qc=0|Adjusted=Y|Correction=+0.35hPa
1782	8	6	8	0	0	999.2	orig=29.54inHg|ATB=20.2C|PTC=Y|PGC=Y|temp_cor=-3.69hPa|grav_cor=0.54hPa|slp_cor=1.65hPa|drybulb_temp=16.7C|qc=0|Adjusted=Y|Correction=+0.39hPa
1782	8	7	8	0	0	994.5	orig=29.4inHg|ATB=20.2C|PTC=Y|PGC=Y|temp_cor=-3.65hPa|grav_cor=0.54hPa|slp_cor=1.63hPa|drybulb_temp=18.9C|qc=0|Adjusted=Y|Correction=+0.42hPa
1782	8	8	8	0	0	992.8	orig=29.35inHg|ATB=20.1C|PTC=Y|PGC=Y|temp_cor=-3.63hPa|grav_cor=0.54hPa|slp_cor=1.63hPa|drybulb_temp=17.8C|qc=0|Adjusted=Y|Correction=+0.39hPa
1782	8	9	8	0	0	1004.6	orig=29.7inHg|ATB=20C|PTC=Y|PGC=Y|temp_cor=-3.66hPa|grav_cor=0.54hPa|slp_cor=1.65hPa|drybulb_temp=17.2C|qc=0|Adjusted=Y|Correction=+0.33hPa
1782	8	10	8	0	0	1008	orig=29.8inHg|ATB=19.9C|PTC=Y|PGC=Y|temp_cor=-3.65hPa|grav_cor=0.55hPa|slp_cor=1.66hPa|drybulb_temp=16.7C|qc=0|Adjusted=Y|Correction=+0.33hPa
1782	8	11	8	0	0	1011.4	orig=29.9inHg|ATB=19.8C|PTC=Y|PGC=Y|temp_cor=-3.65hPa|grav_cor=0.55hPa|slp_cor=1.67hPa|drybulb_temp=15.6C|qc=0|Adjusted=Y|Correction=+0.33hPa
1782	8	12	8	0	0	1012.2	orig=29.92inHg|ATB=19.7C|PTC=Y|PGC=Y|temp_cor=-3.63hPa|grav_cor=0.55hPa|slp_cor=1.69hPa|drybulb_temp=12.2C|qc=0|Adjusted=Y|Correction=+0.41hPa
1782	8	13	8	0	0	1004.7	orig=29.7inHg|ATB=19.6C|PTC=Y|PGC=Y|temp_cor=-3.59hPa|grav_cor=0.54hPa|slp_cor=1.68hPa|drybulb_temp=13.3C|qc=0|Adjusted=Y|Correction=+0.34hPa
1782	8	14	8	0	0	994.6	orig=29.4inHg|ATB=19.5C|PTC=Y|PGC=Y|temp_cor=-3.53hPa|grav_cor=0.54hPa|slp_cor=1.66hPa|drybulb_temp=13.9C|qc=0|Adjusted=Y|Correction=+0.37hPa
