SEF	1.0.0
ID	16
Name	William Bent
Lat	51.51
Lon	-0.09
Alt	25
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1784	7	1	9	0	0	1022.2	orig=30.01inHg|qc=0|Adjusted=Y|Correction=+5.97hPa
1784	7	2	9	0	0	1024.3	orig=30.07inHg|qc=0|Adjusted=Y|Correction=+6.04hPa
1784	7	3	9	0	0	1023.9	orig=30.06inHg|qc=0|Adjusted=Y|Correction=+5.98hPa
1784	7	4	9	0	0	1020.8	orig=29.97inHg|qc=0|Adjusted=Y|Correction=+5.93hPa
1784	7	5	9	0	0	1019.4	orig=29.93inHg|qc=0|Adjusted=Y|Correction=+5.88hPa
1784	7	6	9	0	0	1020.8	orig=29.97inHg|qc=0|Adjusted=Y|Correction=+5.93hPa
1784	7	7	9	0	0	1014.6	orig=29.79inHg|qc=0|Adjusted=Y|Correction=+5.82hPa
1784	7	8	9	0	0	1006.9	orig=29.57inHg|qc=0|Adjusted=Y|Correction=+5.57hPa
1784	7	9	9	0	0	1016.3	orig=29.84inHg|qc=0|Adjusted=Y|Correction=+5.83hPa
1784	7	10	9	0	0	1021.5	orig=29.99inHg|qc=0|Adjusted=Y|Correction=+5.95hPa
1784	7	11	9	0	0	1023.9	orig=30.06inHg|qc=0|Adjusted=Y|Correction=+5.98hPa
1784	7	12	9	0	0	1014.5	orig=29.79inHg|qc=0|Adjusted=Y|Correction=+5.72hPa
1784	7	13	9	0	0	1022.5	orig=30.02inHg|qc=0|Adjusted=Y|Correction=+5.94hPa
1784	7	14	9	0	0	1024.5	orig=30.08inHg|qc=0|Adjusted=Y|Correction=+5.9hPa
1784	7	15	9	0	0	1027.3	orig=30.16inHg|qc=0|Adjusted=Y|Correction=+5.99hPa
1784	7	16	9	0	0	1024.5	orig=30.08inHg|qc=0|Adjusted=Y|Correction=+5.9hPa
1784	7	17	9	0	0	1015.9	orig=29.83inHg|qc=0|Adjusted=Y|Correction=+5.77hPa
1784	7	18	9	0	0	1014.5	orig=29.79inHg|qc=0|Adjusted=Y|Correction=+5.72hPa
1784	7	19	9	0	0	999.7	orig=29.36inHg|qc=0|Adjusted=Y|Correction=+5.49hPa
1784	7	20	9	0	0	996.9	orig=29.28inHg|qc=0|Adjusted=Y|Correction=+5.39hPa
1784	7	21	9	0	0	1007.3	orig=29.58inHg|qc=0|Adjusted=Y|Correction=+5.64hPa
1784	7	22	9	0	0	1004.2	orig=29.49inHg|qc=0|Adjusted=Y|Correction=+5.58hPa
1784	7	23	9	0	0	1013.5	orig=29.76inHg|qc=0|Adjusted=Y|Correction=+5.74hPa
1784	7	24	9	0	0	1019.1	orig=29.92inHg|qc=0|Adjusted=Y|Correction=+5.92hPa
1784	7	25	9	0	0	1017	orig=29.86inHg|qc=0|Adjusted=Y|Correction=+5.85hPa
1784	7	26	9	0	0	1014.6	orig=29.79inHg|qc=0|Adjusted=Y|Correction=+5.82hPa
1784	7	27	9	0	0	1004.6	orig=29.5inHg|qc=0|Adjusted=Y|Correction=+5.64hPa
1784	7	28	9	0	0	1015.7	orig=29.82inHg|qc=0|Adjusted=Y|Correction=+5.91hPa
1784	7	29	9	0	0	1003.9	orig=29.48inHg|qc=0|Adjusted=Y|Correction=+5.62hPa
1784	7	30	9	0	0	1010.9	orig=29.68inHg|qc=0|Adjusted=Y|Correction=+5.85hPa
1784	7	31	9	0	0	1016.1	orig=29.83inHg|qc=0|Adjusted=Y|Correction=+5.97hPa
1784	8	1	9	0	0	1026.1	orig=30.12inHg|qc=0|Adjusted=Y|Correction=+6.15hPa
1784	8	2	9	0	0	1029.6	orig=30.22inHg|qc=0|Adjusted=Y|Correction=+6.26hPa
1784	8	3	9	0	0	1025.4	orig=30.1inHg|qc=0|Adjusted=Y|Correction=+6.13hPa
1784	8	4	9	0	0	1019.2	orig=29.92inHg|qc=0|Adjusted=Y|Correction=+6.02hPa
1784	8	5	9	0	0	1017.8	orig=29.88inHg|qc=0|Adjusted=Y|Correction=+5.98hPa
1784	8	6	9	0	0	1013.7	orig=29.76inHg|qc=0|Adjusted=Y|Correction=+5.94hPa
1784	8	7	9	0	0	1011.3	orig=29.69inHg|qc=0|Adjusted=Y|Correction=+5.91hPa
1784	8	8	9	0	0	1020.3	orig=29.95inHg|qc=0|Adjusted=Y|Correction=+6.11hPa
1784	8	9	9	0	0	1022.4	orig=30.01inHg|qc=0|Adjusted=Y|Correction=+6.17hPa
1784	8	10	9	0	0	1022.7	orig=30.02inHg|qc=0|Adjusted=Y|Correction=+6.14hPa
1784	8	11	9	0	0	1023.1	orig=30.03inHg|qc=0|Adjusted=Y|Correction=+6.2hPa
1784	8	12	9	0	0	1025.5	orig=30.1inHg|qc=0|Adjusted=Y|Correction=+6.23hPa
1784	8	13	9	0	0	1025.2	orig=30.09inHg|qc=0|Adjusted=Y|Correction=+6.27hPa
1784	8	14	9	0	0	1026.6	orig=30.13inHg|qc=0|Adjusted=Y|Correction=+6.31hPa
1784	8	15	9	0	0	1029.4	orig=30.21inHg|qc=0|Adjusted=Y|Correction=+6.4hPa
1784	8	16	9	0	0	1024.5	orig=30.07inHg|qc=0|Adjusted=Y|Correction=+6.24hPa
1784	8	17	9	0	0	1017.2	orig=29.86inHg|qc=0|Adjusted=Y|Correction=+6.05hPa
1784	8	18	9	0	0	1020	orig=29.94inHg|qc=0|Adjusted=Y|Correction=+6.14hPa
1784	8	19	9	0	0	1019.3	orig=29.92inHg|qc=0|Adjusted=Y|Correction=+6.12hPa
1784	8	20	9	0	0	1015.5	orig=29.81inHg|qc=0|Adjusted=Y|Correction=+6.05hPa
1784	8	21	9	0	0	1018.3	orig=29.89inHg|qc=0|Adjusted=Y|Correction=+6.14hPa
1784	8	22	9	0	0	1012.4	orig=29.72inHg|qc=0|Adjusted=Y|Correction=+5.99hPa
1784	8	23	9	0	0	1007.2	orig=29.57inHg|qc=0|Adjusted=Y|Correction=+5.87hPa
1784	8	24	9	0	0	1011	orig=29.68inHg|qc=0|Adjusted=Y|Correction=+5.95hPa
1784	8	25	9	0	0	1008.9	orig=29.62inHg|qc=0|Adjusted=Y|Correction=+5.88hPa
1784	8	26	9	0	0	1014.4	orig=29.78inHg|qc=0|Adjusted=Y|Correction=+5.96hPa
1784	8	27	9	0	0	1022	orig=30inHg|qc=0|Adjusted=Y|Correction=+6.11hPa
1784	8	28	9	0	0	1010.9	orig=29.68inHg|qc=0|Adjusted=Y|Correction=+5.85hPa
1784	8	29	9	0	0	1005.7	orig=29.53inHg|qc=0|Adjusted=Y|Correction=+5.73hPa
1784	8	30	9	0	0	1012.3	orig=29.72inHg|qc=0|Adjusted=Y|Correction=+5.89hPa
1784	8	31	9	0	0	1008.2	orig=29.6inHg|qc=0|Adjusted=Y|Correction=+5.86hPa
1784	9	1	9	0	0	1010.2	orig=29.66inHg|qc=0|Adjusted=Y|Correction=+5.83hPa
1784	9	2	9	0	0	1020.9	orig=29.97inHg|qc=0|Adjusted=Y|Correction=+6.03hPa
1784	9	3	9	0	0	1027.5	orig=30.16inHg|qc=0|Adjusted=Y|Correction=+6.19hPa
1784	9	4	9	0	0	1027.8	orig=30.17inHg|qc=0|Adjusted=Y|Correction=+6.16hPa
1784	9	5	9	0	0	1026.5	orig=30.13inHg|qc=0|Adjusted=Y|Correction=+6.21hPa
1784	9	6	9	0	0	1023.3	orig=30.04inHg|qc=0|Adjusted=Y|Correction=+6.06hPa
1784	9	7	9	0	0	1025.4	orig=30.1inHg|qc=0|Adjusted=Y|Correction=+6.13hPa
1784	9	8	9	0	0	1028.2	orig=30.18inHg|qc=0|Adjusted=Y|Correction=+6.22hPa
1784	9	9	9	0	0	1027.5	orig=30.16inHg|qc=0|Adjusted=Y|Correction=+6.19hPa
1784	9	10	9	0	0	1026.4	orig=30.13inHg|qc=0|Adjusted=Y|Correction=+6.11hPa
1784	9	11	9	0	0	1027.8	orig=30.17inHg|qc=0|Adjusted=Y|Correction=+6.16hPa
1784	9	12	9	0	0	1025	orig=30.09inHg|qc=0|Adjusted=Y|Correction=+6.07hPa
1784	9	13	9	0	0	1019.1	orig=29.92inHg|qc=0|Adjusted=Y|Correction=+5.92hPa
1784	9	14	9	0	0	1017.7	orig=29.88inHg|qc=0|Adjusted=Y|Correction=+5.88hPa
1784	9	15	9	0	0	1020.9	orig=29.97inHg|qc=0|Adjusted=Y|Correction=+6.03hPa
1784	9	16	9	0	0	1021.2	orig=29.98inHg|qc=0|Adjusted=Y|Correction=+5.99hPa
1784	9	17	9	0	0	1020.9	orig=29.97inHg|qc=0|Adjusted=Y|Correction=+6.03hPa
1784	9	18	9	0	0	1019.5	orig=29.93inHg|qc=0|Adjusted=Y|Correction=+5.98hPa
1784	9	19	9	0	0	1008.1	orig=29.6inHg|qc=0|Adjusted=Y|Correction=+5.76hPa
1784	9	20	9	0	0	1000.1	orig=29.37inHg|qc=0|Adjusted=Y|Correction=+5.55hPa
1784	9	21	9	0	0	1014.3	orig=29.78inHg|qc=0|Adjusted=Y|Correction=+5.86hPa
1784	9	22	9	0	0	1009.8	orig=29.65inHg|qc=0|Adjusted=Y|Correction=+5.77hPa
1784	9	23	9	0	0	1003.9	orig=29.48inHg|qc=0|Adjusted=Y|Correction=+5.62hPa
1784	9	24	9	0	0	1016.4	orig=29.84inHg|qc=0|Adjusted=Y|Correction=+5.93hPa
1784	9	25	9	0	0	1010.5	orig=29.67inHg|qc=0|Adjusted=Y|Correction=+5.79hPa
1784	9	26	9	0	0	1003.6	orig=29.47inHg|qc=0|Adjusted=Y|Correction=+5.66hPa
1784	9	27	9	0	0	1007.4	orig=29.58inHg|qc=0|Adjusted=Y|Correction=+5.74hPa
1784	9	28	9	0	0	1008.1	orig=29.6inHg|qc=0|Adjusted=Y|Correction=+5.76hPa
1784	9	29	9	0	0	1013.6	orig=29.76inHg|qc=0|Adjusted=Y|Correction=+5.84hPa
1784	9	30	9	0	0	1019.2	orig=29.92inHg|qc=0|Adjusted=Y|Correction=+6.02hPa
1784	10	1	9	0	0	1023.7	orig=30.05inHg|qc=0|Adjusted=Y|Correction=+6.12hPa
1784	10	2	9	0	0	1030.6	orig=30.25inHg|qc=0|Adjusted=Y|Correction=+6.25hPa
1784	10	4	9	0	0	1026.5	orig=30.13inHg|qc=0|Adjusted=Y|Correction=+6.21hPa
1784	10	5	9	0	0	1015.4	orig=29.81inHg|qc=0|Adjusted=Y|Correction=+5.95hPa
1784	10	6	9	0	0	1022.3	orig=30.01inHg|qc=0|Adjusted=Y|Correction=+6.07hPa
1784	10	7	9	0	0	1023.4	orig=30.04inHg|qc=0|Adjusted=Y|Correction=+6.16hPa
1784	10	8	9	0	0	1016.1	orig=29.83inHg|qc=0|Adjusted=Y|Correction=+5.97hPa
1784	10	9	9	0	0	1016.8	orig=29.85inHg|qc=0|Adjusted=Y|Correction=+5.99hPa
1784	10	10	9	0	0	1017.8	orig=29.88inHg|qc=0|Adjusted=Y|Correction=+5.98hPa
1784	10	11	9	0	0	1021.3	orig=29.98inHg|qc=0|Adjusted=Y|Correction=+6.09hPa
1784	10	12	9	0	0	1027.5	orig=30.16inHg|qc=0|Adjusted=Y|Correction=+6.19hPa
1784	10	13	9	0	0	1026.5	orig=30.13inHg|qc=0|Adjusted=Y|Correction=+6.21hPa
1784	10	14	9	0	0	1024.8	orig=30.08inHg|qc=0|Adjusted=Y|Correction=+6.2hPa
1784	10	15	9	0	0	1022.7	orig=30.02inHg|qc=0|Adjusted=Y|Correction=+6.14hPa
1784	10	16	9	0	0	1023.4	orig=30.04inHg|qc=0|Adjusted=Y|Correction=+6.16hPa
1784	10	17	9	0	0	1023.7	orig=30.05inHg|qc=0|Adjusted=Y|Correction=+6.12hPa
1784	10	18	9	0	0	1019.5	orig=29.93inHg|qc=0|Adjusted=Y|Correction=+5.98hPa
1784	10	19	9	0	0	1012.9	orig=29.74inHg|qc=0|Adjusted=Y|Correction=+5.82hPa
1784	10	20	9	0	0	1015.6	orig=29.82inHg|qc=0|Adjusted=Y|Correction=+5.81hPa
1784	10	21	9	0	0	1024.2	orig=30.07inHg|qc=0|Adjusted=Y|Correction=+5.94hPa
1784	10	22	9	0	0	1022.1	orig=30.01inHg|qc=0|Adjusted=Y|Correction=+5.87hPa
1784	10	23	9	0	0	1012.7	orig=29.74inHg|qc=0|Adjusted=Y|Correction=+5.62hPa
1784	10	24	9	0	0	1003.6	orig=29.48inHg|qc=0|Adjusted=Y|Correction=+5.32hPa
1784	10	25	9	0	0	1012.2	orig=29.73inHg|qc=0|Adjusted=Y|Correction=+5.46hPa
1784	10	26	9	0	0	1019.1	orig=29.93inHg|qc=0|Adjusted=Y|Correction=+5.58hPa
1784	10	27	9	0	0	1021.5	orig=30inHg|qc=0|Adjusted=Y|Correction=+5.61hPa
1784	10	28	9	0	0	1022.5	orig=30.03inHg|qc=0|Adjusted=Y|Correction=+5.6hPa
1784	10	29	9	0	0	1023.1	orig=30.05inHg|qc=0|Adjusted=Y|Correction=+5.52hPa
1784	10	30	9	0	0	1020.7	orig=29.98inHg|qc=0|Adjusted=Y|Correction=+5.49hPa
1784	10	31	9	0	0	1016.1	orig=29.85inHg|qc=0|Adjusted=Y|Correction=+5.29hPa
1784	11	1	9	0	0	1009.5	orig=29.66inHg|qc=0|Adjusted=Y|Correction=+5.13hPa
1784	11	2	9	0	0	1010.5	orig=29.69inHg|qc=0|Adjusted=Y|Correction=+5.11hPa
1784	11	3	9	0	0	1016.7	orig=29.87inHg|qc=0|Adjusted=Y|Correction=+5.22hPa
1784	11	4	9	0	0	1013.2	orig=29.77inHg|qc=0|Adjusted=Y|Correction=+5.1hPa
1784	11	5	9	0	0	1007.2	orig=29.6inHg|qc=0|Adjusted=Y|Correction=+4.86hPa
1784	11	6	9	0	0	1004.4	orig=29.52inHg|qc=0|Adjusted=Y|Correction=+4.77hPa
1784	11	7	9	0	0	1011.7	orig=29.73inHg|qc=0|Adjusted=Y|Correction=+4.96hPa
1784	11	8	9	0	0	1020.6	orig=29.99inHg|qc=0|Adjusted=Y|Correction=+5.05hPa
1784	11	9	9	0	0	1012.9	orig=29.77inHg|qc=0|Adjusted=Y|Correction=+4.8hPa
1784	11	10	9	0	0	1006.3	orig=29.58inHg|qc=0|Adjusted=Y|Correction=+4.64hPa
1784	11	11	9	0	0	995.6	orig=29.27inHg|qc=0|Adjusted=Y|Correction=+4.43hPa
1784	11	12	9	0	0	997.9	orig=29.34inHg|qc=0|Adjusted=Y|Correction=+4.36hPa
1784	11	13	9	0	0	1009	orig=29.66inHg|qc=0|Adjusted=Y|Correction=+4.63hPa
1784	11	14	9	0	0	1011.7	orig=29.74inHg|qc=0|Adjusted=Y|Correction=+4.62hPa
1784	11	15	9	0	0	1006.8	orig=29.6inHg|qc=0|Adjusted=Y|Correction=+4.46hPa
1784	11	16	9	0	0	1011.6	orig=29.74inHg|qc=0|Adjusted=Y|Correction=+4.52hPa
1784	11	17	9	0	0	1009.9	orig=29.69inHg|qc=0|Adjusted=Y|Correction=+4.51hPa
1784	11	18	9	0	0	1013	orig=29.78inHg|qc=0|Adjusted=Y|Correction=+4.56hPa
1784	11	19	9	0	0	1011.7	orig=29.74inHg|qc=0|Adjusted=Y|Correction=+4.62hPa
1784	11	20	9	0	0	1016.9	orig=29.89inHg|qc=0|Adjusted=Y|Correction=+4.74hPa
1784	11	21	9	0	0	1026.2	orig=30.16inHg|qc=0|Adjusted=Y|Correction=+4.89hPa
1784	11	22	9	0	0	1024.8	orig=30.12inHg|qc=0|Adjusted=Y|Correction=+4.85hPa
1784	11	23	9	0	0	1020.3	orig=29.99inHg|qc=0|Adjusted=Y|Correction=+4.75hPa
1784	11	24	9	0	0	1020.7	orig=30inHg|qc=0|Adjusted=Y|Correction=+4.81hPa
1784	11	25	9	0	0	1009.3	orig=29.67inHg|qc=0|Adjusted=Y|Correction=+4.59hPa
1784	11	26	9	0	0	1019	orig=29.95inHg|qc=0|Adjusted=Y|Correction=+4.81hPa
1784	11	27	9	0	0	1027.6	orig=30.2inHg|qc=0|Adjusted=Y|Correction=+4.94hPa
1784	11	28	9	0	0	1024.2	orig=30.1inHg|qc=0|Adjusted=Y|Correction=+4.93hPa
1784	11	29	9	0	0	1012.1	orig=29.75inHg|qc=0|Adjusted=Y|Correction=+4.68hPa
1784	11	30	9	0	0	1025.2	orig=30.13inHg|qc=0|Adjusted=Y|Correction=+4.91hPa
1784	12	1	9	0	0	1015.2	orig=29.84inHg|qc=0|Adjusted=Y|Correction=+4.73hPa
1784	12	2	9	0	0	1023.5	orig=30.08inHg|qc=0|Adjusted=Y|Correction=+4.9hPa
1784	12	3	9	0	0	1015.2	orig=29.84inHg|qc=0|Adjusted=Y|Correction=+4.73hPa
1784	12	4	9	0	0	1005.2	orig=29.55inHg|qc=0|Adjusted=Y|Correction=+4.55hPa
1784	12	5	9	0	0	996.9	orig=29.31inHg|qc=0|Adjusted=Y|Correction=+4.38hPa
1784	12	6	9	0	0	986.2	orig=29inHg|qc=0|Adjusted=Y|Correction=+4.18hPa
1784	12	7	9	0	0	985.9	orig=28.99inHg|qc=0|Adjusted=Y|Correction=+4.21hPa
1784	12	8	9	0	0	987.2	orig=29.03inHg|qc=0|Adjusted=Y|Correction=+4.16hPa
1784	12	9	9	0	0	995.2	orig=29.26inHg|qc=0|Adjusted=Y|Correction=+4.37hPa
1784	12	10	9	0	0	1005.3	orig=29.55inHg|qc=0|Adjusted=Y|Correction=+4.65hPa
1784	12	11	9	0	0	1008.7	orig=29.65inHg|qc=0|Adjusted=Y|Correction=+4.67hPa
1784	12	12	9	0	0	1006	orig=29.57inHg|qc=0|Adjusted=Y|Correction=+4.67hPa
1784	12	13	9	0	0	1004.6	orig=29.53inHg|qc=0|Adjusted=Y|Correction=+4.63hPa
1784	12	14	9	0	0	1003.9	orig=29.51inHg|qc=0|Adjusted=Y|Correction=+4.61hPa
1784	12	15	9	0	0	1010.1	orig=29.69inHg|qc=0|Adjusted=Y|Correction=+4.71hPa
1784	12	16	9	0	0	1015.7	orig=29.85inHg|qc=0|Adjusted=Y|Correction=+4.89hPa
1784	12	17	9	0	0	1017.1	orig=29.89inHg|qc=0|Adjusted=Y|Correction=+4.94hPa
1784	12	18	9	0	0	1013.2	orig=29.78inHg|qc=0|Adjusted=Y|Correction=+4.76hPa
1784	12	19	9	0	0	1011.2	orig=29.72inHg|qc=0|Adjusted=Y|Correction=+4.79hPa
1784	12	20	9	0	0	1016.4	orig=29.87inHg|qc=0|Adjusted=Y|Correction=+4.92hPa
1784	12	21	9	0	0	1017.4	orig=29.9inHg|qc=0|Adjusted=Y|Correction=+4.9hPa
1784	12	22	9	0	0	1010.5	orig=29.7inHg|qc=0|Adjusted=Y|Correction=+4.77hPa
1784	12	23	9	0	0	1016	orig=29.86inHg|qc=0|Adjusted=Y|Correction=+4.85hPa
1784	12	24	9	0	0	1020.9	orig=30inHg|qc=0|Adjusted=Y|Correction=+5.01hPa
1784	12	25	9	0	0	1025.7	orig=30.14inHg|qc=0|Adjusted=Y|Correction=+5.07hPa
1784	12	26	9	0	0	1026.4	orig=30.16inHg|qc=0|Adjusted=Y|Correction=+5.09hPa
1784	12	27	9	0	0	1024	orig=30.09inHg|qc=0|Adjusted=Y|Correction=+5.07hPa
1784	12	28	9	0	0	1016.7	orig=29.88inHg|qc=0|Adjusted=Y|Correction=+4.88hPa
1784	12	29	9	0	0	1014.3	orig=29.81inHg|qc=0|Adjusted=Y|Correction=+4.85hPa
1784	12	30	9	0	0	1007.7	orig=29.62inHg|qc=0|Adjusted=Y|Correction=+4.68hPa
1784	12	31	9	0	0	1001.8	orig=29.45inHg|qc=0|Adjusted=Y|Correction=+4.54hPa
1785	1	1	9	0	0	996.6	orig=29.32inHg|qc=0|Adjusted=Y|Correction=+3.74hPa
1785	1	2	9	0	0	991.4	orig=29.17inHg|qc=0|Adjusted=Y|Correction=+3.62hPa
1785	1	3	9	0	0	991.4	orig=29.17inHg|qc=0|Adjusted=Y|Correction=+3.62hPa
1785	1	4	9	0	0	996.6	orig=29.32inHg|qc=0|Adjusted=Y|Correction=+3.74hPa
1785	1	5	9	0	0	993.8	orig=29.24inHg|qc=0|Adjusted=Y|Correction=+3.65hPa
1785	1	6	9	0	0	999.7	orig=29.41inHg|qc=0|Adjusted=Y|Correction=+3.79hPa
1785	1	7	9	0	0	1014.9	orig=29.85inHg|qc=0|Adjusted=Y|Correction=+4.09hPa
