SEF	1.0.0
ID	17
Name	LWD - William Stukeley (estimated to be Gloucester Street)
Lat	51.49
Lon	-0.14
Alt	11
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1723	1	3	9	0	0	1018.1	orig=29.9994979904854inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	4	9	0	0	1025.6	orig=30.2209727763193inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	5	9	0	0	1025.6	orig=30.2209727763193inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	6	9	0	0	1024.9	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	7	9	0	0	1023.2	orig=30.1501008448525inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	8	9	0	0	1021.5	orig=30.0998998933968inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	9	9	0	0	1020.5	orig=30.0703699219523inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	10	9	0	0	1021.8	orig=30.1087588848302inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	11	9	0	0	1025.6	orig=30.2209727763193inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	12	9	0	0	1033.4	orig=30.4513065535866inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	13	9	0	0	1037.1	orig=30.5605674479313inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	14	9	0	0	1031.7	orig=30.4011056021309inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	15	9	0	0	1029	orig=30.3213746792307inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	16	9	0	0	1027.9	orig=30.2888917106417inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	17	9	0	0	1024.6	orig=30.1914428048748inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	18	9	0	0	1021.8	orig=30.1087588848302inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	19	9	0	0	1022.2	orig=30.120570873408inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	20	9	0	0	1019.5	orig=30.0408399505078inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	21	9	0	0	1018.5	orig=30.0113099790632inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	22	9	0	0	1018.1	orig=29.9994979904854inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	23	9	0	0	1022.2	orig=30.120570873408inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	24	9	0	0	1019.8	orig=30.0496989419411inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	25	9	0	0	1017.1	orig=29.9699680190409inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	26	9	0	0	1010.3	orig=29.7691642132182inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	27	9	0	0	1010.3	orig=29.7691642132182inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	28	9	0	0	1014.7	orig=29.8990960875741inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	29	9	0	0	1018.5	orig=30.0113099790632inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	30	9	0	0	1017.8	orig=29.9906389990521inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	1	31	9	0	0	1017.1	orig=29.9699680190409inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1723	2	1	9	0	0	1024.1	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1723	2	2	9	0	0	1023.1	orig=30.1707718248636inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1723	2	3	9	0	0	1016.3	orig=29.9699680190409inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1723	2	4	9	0	0	1015.6	orig=29.9492970390298inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1723	2	5	9	0	0	1012.2	orig=29.8488951361184inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1723	2	6	9	0	0	1008.9	orig=29.7514462303515inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
