SEF	1.0.0
ID	18
Name	LWD - Francis Hauskbee
Lat	51.51
Lon	-0.11
Alt	31
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1723	8	1	9	0	0	1012.6	orig=29.7986941846627inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	2	9	0	0	1004.5	orig=29.5595014159621inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	3	9	0	0	1015	orig=29.8695661161296inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	4	9	0	0	1007.6	orig=29.6510443274401inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	5	9	0	0	1004.5	orig=29.5595014159621inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	6	9	0	0	1007.6	orig=29.6510443274401inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	7	9	0	0	999.4	orig=29.4088985615951inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	8	9	0	0	1007.9	orig=29.6599033188735inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	9	9	0	0	1011.6	orig=29.7691642132182inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	10	9	0	0	1002.8	orig=29.5093004645064inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	11	9	0	0	997.7	orig=29.3586976101394inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	12	9	0	0	1011.3	orig=29.7603052217848inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	13	9	0	0	1016.4	orig=29.9109080761519inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	14	9	0	0	1014.3	orig=29.8488951361184inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	15	9	0	0	1021.1	orig=30.0496989419411inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	16	9	0	0	1021.1	orig=30.0496989419411inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	17	9	0	0	1024.5	orig=30.1501008448525inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	18	9	0	0	1028.2	orig=30.2593617391972inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	19	9	0	0	1024.8	orig=30.1589598362858inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	20	9	0	0	1014.7	orig=29.8607071246962inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	21	9	0	0	1009.3	orig=29.7012452788958inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	22	9	0	0	1021.1	orig=30.0496989419411inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	23	9	0	0	1023.1	orig=30.1087588848302inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	24	9	0	0	1014.7	orig=29.8607071246962inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	25	9	0	0	1009.3	orig=29.7012452788958inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	26	9	0	0	1011	orig=29.7514462303515inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	27	9	0	0	1005.9	orig=29.6008433759845inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	28	9	0	0	1009.3	orig=29.7012452788958inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	29	9	0	0	1018.1	orig=29.9611090276076inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	30	9	0	0	1021.4	orig=30.0585579333745inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	8	31	9	0	0	1028.9	orig=30.2800327192084inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	1	9	0	0	1033.3	orig=30.4099645935642inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	2	9	0	0	1029.6	orig=30.3007036992195inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	3	9	0	0	1024.5	orig=30.1501008448525inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	4	9	0	0	1019.1	orig=29.9906389990521inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	5	9	0	0	1012.3	orig=29.7898351932294inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	6	9	0	0	1020.8	orig=30.0408399505078inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	7	9	0	0	1029.2	orig=30.2888917106417inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	8	9	0	0	1029.2	orig=30.2888917106417inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	9	9	0	0	1027.9	orig=30.2505027477638inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	10	9	0	0	1027.9	orig=30.2505027477638inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	11	9	0	0	1026.2	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	12	9	0	0	1033	orig=30.4011056021309inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	13	9	0	0	1024.5	orig=30.1501008448525inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	14	9	0	0	1026.2	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	15	9	0	0	1022.8	orig=30.0998998933968inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	16	9	0	0	1017.4	orig=29.9404380475964inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	17	9	0	0	1019.1	orig=29.9906389990521inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	18	9	0	0	1019.4	orig=29.9994979904854inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	19	9	0	0	1023.1	orig=30.1087588848302inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	20	9	0	0	1021.1	orig=30.0496989419411inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	21	9	0	0	1017.7	orig=29.9492970390298inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	22	9	0	0	1012.6	orig=29.7986941846627inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	23	9	0	0	1022.8	orig=30.0998998933968inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	24	9	0	0	1026.2	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	25	9	0	0	1026.2	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	26	9	0	0	1017.4	orig=29.9404380475964inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	27	9	0	0	1026.2	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	28	9	0	0	1026.2	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	29	9	0	0	1022.8	orig=30.0998998933968inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	9	30	9	0	0	1019.4	orig=29.9994979904854inHg|qc=0|Adjusted=Y|Correction=+3.53hPa
1723	10	1	9	0	0	1026.6	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1723	10	2	9	0	0	1019.8	orig=29.9994979904854inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1723	10	3	9	0	0	1018.5	orig=29.9611090276076inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
