SEF	1.0.0
ID	19
Name	LWD - James Jurin (Garlick Hill)
Lat	51.51
Lon	-0.09
Alt	25
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1728	1	1	9	0	0	1024.9	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	2	9	0	0	1028.3	orig=30.3007036992195inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	3	9	0	0	1026.6	orig=30.2505027477638inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	4	9	0	0	1023.2	orig=30.1501008448525inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	5	9	0	0	1018.1	orig=29.9994979904854inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	6	9	0	0	1002.9	orig=29.5506424245288inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	7	9	0	0	991	orig=29.199235764339inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	8	9	0	0	996.1	orig=29.3498386187061inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	9	9	0	0	1001.2	orig=29.5004414730731inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	10	9	0	0	1018.1	orig=29.9994979904854inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	11	9	0	0	1011.3	orig=29.7986941846627inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	12	9	0	0	1000.2	orig=29.4709115016286inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	13	9	0	0	981.2	orig=28.9098420441827inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	14	9	0	0	979.5	orig=28.8596410927271inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	15	9	0	0	990.7	orig=29.1903767729057inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	16	9	0	0	1006.6	orig=29.6599033188735inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	17	9	0	0	1003.6	orig=29.5713134045399inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	18	9	0	0	991.7	orig=29.2199067443502inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	19	9	0	0	990.3	orig=29.1785647843279inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	20	9	0	0	990.7	orig=29.1903767729057inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	21	9	0	0	994.8	orig=29.3114496558282inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	22	9	0	0	1001.5	orig=29.5093004645064inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	23	9	0	0	1004.2	orig=29.5890313874066inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	24	9	0	0	985.6	orig=29.0397739185386inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	25	9	0	0	995.1	orig=29.3203086472615inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	26	9	0	0	985.9	orig=29.048632909972inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	27	9	0	0	984.9	orig=29.0191029385275inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	28	9	0	0	989.3	orig=29.1490348128833inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	29	9	0	0	992.7	orig=29.2494367157947inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	30	9	0	0	978.8	orig=28.8389701127159inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	1	31	9	0	0	997.1	orig=29.3793685901506inHg|qc=0|Adjusted=Y|Correction=+2.23hPa
1728	2	1	9	0	0	1003.4	orig=29.5890313874066inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1728	2	2	9	0	0	1004.1	orig=29.6097023674178inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1728	2	3	9	0	0	1005.5	orig=29.6510443274401inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1728	2	4	9	0	0	1011.6	orig=29.8311771532517inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1728	2	5	9	0	0	1014.9	orig=29.9286260590186inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1728	2	6	9	0	0	1020	orig=30.0792289133856inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1728	2	7	9	0	0	1028.5	orig=30.330233670664inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1728	2	8	9	0	0	1025.8	orig=30.2505027477638inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1728	2	9	9	0	0	1025.1	orig=30.2298317677527inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1728	2	10	9	0	0	1030.2	orig=30.3804346221197inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1728	2	11	9	0	0	1030.9	orig=30.4011056021309inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1728	2	12	9	0	0	1029.8	orig=30.3686226335419inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1728	2	13	9	0	0	1031.9	orig=30.4306355735754inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1728	2	14	9	0	0	1029.2	orig=30.3509046506752inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1728	2	15	9	0	0	1025.1	orig=30.2298317677527inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1728	2	16	9	0	0	1023.4	orig=30.179630816297inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1728	2	17	9	0	0	1028.5	orig=30.330233670664inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1728	2	18	9	0	0	1027.1	orig=30.2888917106417inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
1728	2	19	9	0	0	1020.4	orig=30.0910409019634inHg|qc=0|Adjusted=Y|Correction=+1.43hPa
