SEF	1.0.0
ID	20
Name	LWD - James Jurin (Lincoln's Inn Fields)
Lat	51.51
Lon	-0.12
Alt	30
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1745	5	1	9	0	0	999	orig=29.5004414730731inHg|qc=0|Adjusted=N
1745	5	2	9	0	0	991.5	orig=29.2789666872392inHg|qc=0|Adjusted=N
1745	5	3	9	0	0	994.6	orig=29.3705095987172inHg|qc=0|Adjusted=N
1745	5	4	9	0	0	993.9	orig=29.3498386187061inHg|qc=0|Adjusted=N
1745	5	5	9	0	0	999.7	orig=29.5211124530843inHg|qc=0|Adjusted=N
1745	5	6	9	0	0	1001.7	orig=29.5801723959733inHg|qc=0|Adjusted=N
1745	5	7	9	0	0	1008.1	orig=29.7691642132182inHg|qc=0|Adjusted=N
1745	5	8	9	0	0	1012.9	orig=29.9109080761519inHg|qc=0|Adjusted=N
1745	5	9	9	0	0	1020	orig=30.120570873408inHg|qc=0|Adjusted=N
1745	5	10	9	0	0	1012.9	orig=29.9109080761519inHg|qc=0|Adjusted=N
1745	5	11	9	0	0	1015.6	orig=29.9906389990521inHg|qc=0|Adjusted=N
1745	5	12	9	0	0	1019	orig=30.0910409019634inHg|qc=0|Adjusted=N
1745	5	13	9	0	0	1022.4	orig=30.1914428048748inHg|qc=0|Adjusted=N
1745	5	14	9	0	0	1021.7	orig=30.1707718248636inHg|qc=0|Adjusted=N
1745	5	15	9	0	0	1022.4	orig=30.1914428048748inHg|qc=0|Adjusted=N
1745	5	16	9	0	0	1024	orig=30.238690759186inHg|qc=0|Adjusted=N
1745	5	17	9	0	0	1024.4	orig=30.2505027477638inHg|qc=0|Adjusted=N
1745	5	18	9	0	0	1017.6	orig=30.0496989419411inHg|qc=0|Adjusted=N
1745	5	19	9	0	0	1014.9	orig=29.9699680190409inHg|qc=0|Adjusted=N
1745	5	20	9	0	0	1015.2	orig=29.9788270104743inHg|qc=0|Adjusted=N
1745	5	21	9	0	0	1015.6	orig=29.9906389990521inHg|qc=0|Adjusted=N
1745	5	22	9	0	0	1013.2	orig=29.9197670675852inHg|qc=0|Adjusted=N
1745	5	23	9	0	0	1014.2	orig=29.9492970390298inHg|qc=0|Adjusted=N
1745	5	24	9	0	0	1022	orig=30.179630816297inHg|qc=0|Adjusted=N
1745	5	25	9	0	0	1016.9	orig=30.02902796193inHg|qc=0|Adjusted=N
1745	5	26	9	0	0	1013.2	orig=29.9197670675852inHg|qc=0|Adjusted=N
1745	5	27	9	0	0	1009.1	orig=29.7986941846627inHg|qc=0|Adjusted=N
1745	5	28	9	0	0	999.3	orig=29.5093004645064inHg|qc=0|Adjusted=N
1745	5	29	9	0	0	989.5	orig=29.2199067443502inHg|qc=0|Adjusted=N
1745	5	30	9	0	0	999.7	orig=29.5211124530843inHg|qc=0|Adjusted=N
1745	5	31	9	0	0	996.3	orig=29.4207105501729inHg|qc=0|Adjusted=N
1745	6	1	9	0	0	1006.1	orig=29.7101042703292inHg|qc=0|Adjusted=N
1745	6	2	9	0	0	1014.6	orig=29.9611090276076inHg|qc=0|Adjusted=N
1745	6	3	9	0	0	1009.5	orig=29.8105061732405inHg|qc=0|Adjusted=N
1745	6	4	9	0	0	1014.6	orig=29.9611090276076inHg|qc=0|Adjusted=N
1745	6	5	9	0	0	1019	orig=30.0910409019634inHg|qc=0|Adjusted=N
1745	6	6	9	0	0	1014.2	orig=29.9492970390298inHg|qc=0|Adjusted=N
1745	6	7	9	0	0	1014.9	orig=29.9699680190409inHg|qc=0|Adjusted=N
1745	6	8	9	0	0	1021.7	orig=30.1707718248636inHg|qc=0|Adjusted=N
1745	6	9	9	0	0	1018.6	orig=30.0792289133856inHg|qc=0|Adjusted=N
1745	6	10	9	0	0	1017.3	orig=30.0408399505078inHg|qc=0|Adjusted=N
1745	6	11	9	0	0	1013.2	orig=29.9197670675852inHg|qc=0|Adjusted=N
1745	6	12	9	0	0	1008.8	orig=29.7898351932294inHg|qc=0|Adjusted=N
1745	6	13	9	0	0	1010.2	orig=29.8311771532517inHg|qc=0|Adjusted=N
1745	6	14	9	0	0	1010.8	orig=29.8488951361184inHg|qc=0|Adjusted=N
1745	6	15	9	0	0	1010.8	orig=29.8488951361184inHg|qc=0|Adjusted=N
1745	6	16	9	0	0	1007.5	orig=29.7514462303515inHg|qc=0|Adjusted=N
1745	6	17	9	0	0	1003	orig=29.6185613588512inHg|qc=0|Adjusted=N
1745	6	18	9	0	0	1005.1	orig=29.6805742988847inHg|qc=0|Adjusted=N
1745	6	19	9	0	0	1006.4	orig=29.7189632617625inHg|qc=0|Adjusted=N
1745	6	20	9	0	0	1004.1	orig=29.6510443274401inHg|qc=0|Adjusted=N
1745	6	21	9	0	0	1001	orig=29.5595014159621inHg|qc=0|Adjusted=N
1745	6	22	9	0	0	1006.8	orig=29.7307752503403inHg|qc=0|Adjusted=N
1745	6	23	9	0	0	1001.4	orig=29.5713134045399inHg|qc=0|Adjusted=N
1745	6	24	9	0	0	1003	orig=29.6185613588512inHg|qc=0|Adjusted=N
1745	6	25	9	0	0	1009.8	orig=29.8193651646739inHg|qc=0|Adjusted=N
1745	6	26	9	0	0	1011.2	orig=29.8607071246962inHg|qc=0|Adjusted=N
1745	6	27	9	0	0	1015.9	orig=29.9994979904854inHg|qc=0|Adjusted=N
1745	6	28	9	0	0	1017.9	orig=30.0585579333745inHg|qc=0|Adjusted=N
1745	6	29	9	0	0	1016.9	orig=30.02902796193inHg|qc=0|Adjusted=N
1745	6	30	9	0	0	1020	orig=30.120570873408inHg|qc=0|Adjusted=N
1745	7	1	9	0	0	1024	orig=30.238690759186inHg|qc=0|Adjusted=N
1745	7	2	9	0	0	1021	orig=30.1501008448525inHg|qc=0|Adjusted=N
1745	7	3	9	0	0	1013.9	orig=29.9404380475964inHg|qc=0|Adjusted=N
1745	7	4	9	0	0	1010.5	orig=29.840036144685inHg|qc=0|Adjusted=N
1745	7	5	9	0	0	1007.5	orig=29.7514462303515inHg|qc=0|Adjusted=N
1745	7	6	9	0	0	1010.5	orig=29.840036144685inHg|qc=0|Adjusted=N
1745	7	7	9	0	0	1013.2	orig=29.9197670675852inHg|qc=0|Adjusted=N
1745	7	8	9	0	0	1013.2	orig=29.9197670675852inHg|qc=0|Adjusted=N
1745	7	9	9	0	0	1004.4	orig=29.6599033188735inHg|qc=0|Adjusted=N
1745	7	10	9	0	0	1007.8	orig=29.7603052217848inHg|qc=0|Adjusted=N
1745	7	11	9	0	0	1011.9	orig=29.8813781047074inHg|qc=0|Adjusted=N
1745	7	12	9	0	0	1012.9	orig=29.9109080761519inHg|qc=0|Adjusted=N
1745	7	13	9	0	0	1006.8	orig=29.7307752503403inHg|qc=0|Adjusted=N
1745	7	14	9	0	0	1010.2	orig=29.8311771532517inHg|qc=0|Adjusted=N
1745	7	15	9	0	0	1015.9	orig=29.9994979904854inHg|qc=0|Adjusted=N
1745	7	16	9	0	0	1015.2	orig=29.9788270104743inHg|qc=0|Adjusted=N
1745	7	17	9	0	0	1013.9	orig=29.9404380475964inHg|qc=0|Adjusted=N
1745	7	19	9	0	0	1015.6	orig=29.9906389990521inHg|qc=0|Adjusted=N
1745	7	20	9	0	0	1017.9	orig=30.0585579333745inHg|qc=0|Adjusted=N
1745	7	21	9	0	0	1021.3	orig=30.1589598362858inHg|qc=0|Adjusted=N
1745	7	22	9	0	0	1024	orig=30.238690759186inHg|qc=0|Adjusted=N
1745	7	23	9	0	0	1024	orig=30.238690759186inHg|qc=0|Adjusted=N
1745	7	24	9	0	0	1023.7	orig=30.2298317677527inHg|qc=0|Adjusted=N
1745	7	25	9	0	0	1023.7	orig=30.2298317677527inHg|qc=0|Adjusted=N
1745	7	26	9	0	0	1023.7	orig=30.2298317677527inHg|qc=0|Adjusted=N
1745	7	27	9	0	0	1023.4	orig=30.2209727763193inHg|qc=0|Adjusted=N
1745	7	28	9	0	0	1021.7	orig=30.1707718248636inHg|qc=0|Adjusted=N
1745	7	29	9	0	0	1021	orig=30.1501008448525inHg|qc=0|Adjusted=N
1745	7	30	9	0	0	1019	orig=30.0910409019634inHg|qc=0|Adjusted=N
1745	7	31	9	0	0	1015.6	orig=29.9906389990521inHg|qc=0|Adjusted=N
1745	8	1	9	0	0	1020	orig=30.120570873408inHg|qc=0|Adjusted=N
1745	8	2	9	0	0	1024.4	orig=30.2505027477638inHg|qc=0|Adjusted=N
