SEF	1.0.0
ID	21
Name	LWD - John Hooker (Tonbridge)
Lat	51.19
Lon	0.28
Alt	61
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1750	4	1	9	0	0	1015.1	orig=30.0201689704966inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	2	9	0	0	1023.2	orig=30.2593617391972inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	3	9	0	0	1016.8	orig=30.0703699219523inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	4	9	0	0	1009.7	orig=29.8607071246962inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	5	9	0	0	1011.4	orig=29.9109080761519inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	6	9	0	0	996.5	orig=29.4709115016286inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	7	9	0	0	996.5	orig=29.4709115016286inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	8	9	0	0	1004.3	orig=29.7012452788958inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	9	9	0	0	987.3	orig=29.199235764339inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	10	9	0	0	987.3	orig=29.199235764339inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	11	9	0	0	1000.9	orig=29.6008433759845inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	12	9	0	0	1007.6	orig=29.7986941846627inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	13	9	0	0	1011	orig=29.8990960875741inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	14	9	0	0	1007.6	orig=29.7986941846627inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	15	9	0	0	1021.5	orig=30.2091607877415inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	16	9	0	0	1023.6	orig=30.271173727775inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	17	9	0	0	1025.6	orig=30.330233670664inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	18	9	0	0	1022.5	orig=30.238690759186inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	19	9	0	0	1013.7	orig=29.9788270104743inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	20	9	0	0	1011	orig=29.8990960875741inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	21	9	0	0	1009	orig=29.840036144685inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	22	9	0	0	1013.1	orig=29.9611090276076inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	23	9	0	0	1007.3	orig=29.7898351932294inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	24	9	0	0	1004.6	orig=29.7101042703292inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	25	9	0	0	997.1	orig=29.4886294844953inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	26	9	0	0	1007.3	orig=29.7898351932294inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	27	9	0	0	1006.6	orig=29.7691642132182inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	28	9	0	0	1017.1	orig=30.0792289133856inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	29	9	0	0	1024.9	orig=30.3095626906529inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	4	30	9	0	0	1020.5	orig=30.179630816297inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	1	9	0	0	1010.4	orig=29.8813781047074inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	2	9	0	0	1010	orig=29.8695661161296inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	3	9	0	0	1010.7	orig=29.8902370961407inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	4	9	0	0	1010.7	orig=29.8902370961407inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	5	9	0	0	1017.5	orig=30.0910409019634inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	6	9	0	0	1016.4	orig=30.0585579333745inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	7	9	0	0	1006.6	orig=29.7691642132182inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	8	9	0	0	1013.4	orig=29.9699680190409inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	9	9	0	0	1006.6	orig=29.7691642132182inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	10	9	0	0	1016.1	orig=30.0496989419411inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	11	9	0	0	1024.6	orig=30.3007036992195inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	12	9	0	0	1025.3	orig=30.3213746792307inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	13	9	0	0	1029	orig=30.4306355735754inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	14	9	0	0	1028.6	orig=30.4188235849976inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	15	9	0	0	1029.3	orig=30.4394945650088inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	16	9	0	0	1030.7	orig=30.4808365250311inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	17	9	0	0	1030	orig=30.4601655450199inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	18	9	0	0	1024.6	orig=30.3007036992195inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	19	9	0	0	1027.3	orig=30.3804346221197inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	20	9	0	0	1026.6	orig=30.3597636421086inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	21	9	0	0	1022.5	orig=30.238690759186inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	22	9	0	0	1017.8	orig=30.0998998933968inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	23	9	0	0	1016.4	orig=30.0585579333745inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	24	9	0	0	1017.1	orig=30.0792289133856inHg|qc=0|Adjusted=Y|Correction=-1.47hPa
1750	5	25	9	0	0	1021.3	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=-1.37hPa
1750	5	26	9	0	0	1019.9	orig=30.1589598362858inHg|qc=0|Adjusted=Y|Correction=-1.37hPa
1750	5	27	9	0	0	1014.9	orig=30.0113099790632inHg|qc=0|Adjusted=Y|Correction=-1.37hPa
1750	5	28	9	0	0	1015.5	orig=30.02902796193inHg|qc=0|Adjusted=Y|Correction=-1.37hPa
1750	6	17	9	0	0	1026.6	orig=30.3509046506752inHg|qc=0|Adjusted=Y|Correction=-1.17hPa
1750	6	18	9	0	0	1024.9	orig=30.3007036992195inHg|qc=0|Adjusted=Y|Correction=-1.17hPa
1750	6	19	9	0	0	1024.9	orig=30.3007036992195inHg|qc=0|Adjusted=Y|Correction=-1.17hPa
1750	6	20	9	0	0	1021.6	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=-1.07hPa
1750	6	21	9	0	0	1011.4	orig=29.8990960875741inHg|qc=0|Adjusted=Y|Correction=-1.07hPa
1750	6	22	9	0	0	1010.8	orig=29.8813781047074inHg|qc=0|Adjusted=Y|Correction=-1.07hPa
1750	6	23	9	0	0	1016.8	orig=30.0585579333745inHg|qc=0|Adjusted=Y|Correction=-1.07hPa
1750	6	24	9	0	0	1017.5	orig=30.0792289133856inHg|qc=0|Adjusted=Y|Correction=-1.07hPa
1750	6	25	9	0	0	1014.5	orig=29.9906389990521inHg|qc=0|Adjusted=Y|Correction=-1.07hPa
1750	6	26	9	0	0	1020.6	orig=30.1707718248636inHg|qc=0|Adjusted=Y|Correction=-1.07hPa
1750	6	27	9	0	0	1026.1	orig=30.330233670664inHg|qc=0|Adjusted=Y|Correction=-0.97hPa
1750	6	28	9	0	0	1029.5	orig=30.4306355735754inHg|qc=0|Adjusted=Y|Correction=-0.97hPa
1750	6	29	9	0	0	1030.5	orig=30.4601655450199inHg|qc=0|Adjusted=Y|Correction=-0.97hPa
1750	6	30	9	0	0	1030.2	orig=30.4513065535866inHg|qc=0|Adjusted=Y|Correction=-0.97hPa
1750	7	1	9	0	0	1026.8	orig=30.3509046506752inHg|qc=0|Adjusted=Y|Correction=-0.97hPa
1750	7	2	9	0	0	1023	orig=30.238690759186inHg|qc=0|Adjusted=Y|Correction=-0.97hPa
1750	7	3	9	0	0	1017.6	orig=30.0792289133856inHg|qc=0|Adjusted=Y|Correction=-0.97hPa
1750	7	4	9	0	0	1011.9	orig=29.9109080761519inHg|qc=0|Adjusted=Y|Correction=-0.97hPa
1750	7	5	9	0	0	1006.2	orig=29.7396342417737inHg|qc=0|Adjusted=Y|Correction=-0.87hPa
1750	7	6	9	0	0	1009.9	orig=29.8488951361184inHg|qc=0|Adjusted=Y|Correction=-0.87hPa
1750	7	7	9	0	0	1006.9	orig=29.7603052217848inHg|qc=0|Adjusted=Y|Correction=-0.87hPa
1750	7	8	9	0	0	1008.9	orig=29.8193651646739inHg|qc=0|Adjusted=Y|Correction=-0.87hPa
1750	7	9	9	0	0	1013.7	orig=29.9611090276076inHg|qc=0|Adjusted=Y|Correction=-0.87hPa
1750	7	10	9	0	0	1015	orig=29.9994979904854inHg|qc=0|Adjusted=Y|Correction=-0.87hPa
1750	7	11	9	0	0	1020.4	orig=30.1589598362858inHg|qc=0|Adjusted=Y|Correction=-0.87hPa
1750	7	12	9	0	0	1021.9	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=-0.77hPa
1750	7	13	9	0	0	1014.8	orig=29.9906389990521inHg|qc=0|Adjusted=Y|Correction=-0.77hPa
1750	7	14	9	0	0	1013.1	orig=29.9404380475964inHg|qc=0|Adjusted=Y|Correction=-0.77hPa
1750	7	15	9	0	0	1018.5	orig=30.0998998933968inHg|qc=0|Adjusted=Y|Correction=-0.77hPa
1750	7	16	9	0	0	1012.4	orig=29.9197670675852inHg|qc=0|Adjusted=Y|Correction=-0.77hPa
1750	7	17	9	0	0	1013.8	orig=29.9611090276076inHg|qc=0|Adjusted=Y|Correction=-0.77hPa
1750	7	18	9	0	0	1019.2	orig=30.120570873408inHg|qc=0|Adjusted=Y|Correction=-0.77hPa
1750	7	19	9	0	0	1023.2	orig=30.238690759186inHg|qc=0|Adjusted=Y|Correction=-0.77hPa
1750	7	20	9	0	0	1024.7	orig=30.2800327192084inHg|qc=0|Adjusted=Y|Correction=-0.67hPa
1750	7	21	9	0	0	1023	orig=30.2298317677527inHg|qc=0|Adjusted=Y|Correction=-0.67hPa
1750	7	22	9	0	0	1021	orig=30.1707718248636inHg|qc=0|Adjusted=Y|Correction=-0.67hPa
1750	7	23	9	0	0	1019.3	orig=30.120570873408inHg|qc=0|Adjusted=Y|Correction=-0.67hPa
1750	7	24	9	0	0	1021	orig=30.1707718248636inHg|qc=0|Adjusted=Y|Correction=-0.67hPa
1750	7	25	9	0	0	1022	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=-0.67hPa
1750	7	26	9	0	0	1016.6	orig=30.0408399505078inHg|qc=0|Adjusted=Y|Correction=-0.67hPa
1750	7	27	9	0	0	1008.8	orig=29.8105061732405inHg|qc=0|Adjusted=Y|Correction=-0.67hPa
1750	7	28	9	0	0	1009.6	orig=29.8311771532517inHg|qc=0|Adjusted=Y|Correction=-0.57hPa
1750	7	29	9	0	0	1012.6	orig=29.9197670675852inHg|qc=0|Adjusted=Y|Correction=-0.57hPa
1750	7	30	9	0	0	1013.3	orig=29.9404380475964inHg|qc=0|Adjusted=Y|Correction=-0.57hPa
1750	7	31	9	0	0	1008.9	orig=29.8105061732405inHg|qc=0|Adjusted=Y|Correction=-0.57hPa
1750	8	1	9	0	0	1013.3	orig=29.9404380475964inHg|qc=0|Adjusted=Y|Correction=-0.57hPa
1750	8	2	9	0	0	1019.4	orig=30.120570873408inHg|qc=0|Adjusted=Y|Correction=-0.57hPa
1750	8	3	9	0	0	1020.1	orig=30.1412418534191inHg|qc=0|Adjusted=Y|Correction=-0.57hPa
1750	8	4	9	0	0	1013	orig=29.9286260590186inHg|qc=0|Adjusted=Y|Correction=-0.47hPa
1750	8	5	9	0	0	1006.3	orig=29.7307752503403inHg|qc=0|Adjusted=Y|Correction=-0.47hPa
1750	8	6	9	0	0	1009.3	orig=29.8193651646739inHg|qc=0|Adjusted=Y|Correction=-0.47hPa
1750	8	7	9	0	0	1010	orig=29.840036144685inHg|qc=0|Adjusted=Y|Correction=-0.47hPa
1750	8	8	9	0	0	1009.3	orig=29.8193651646739inHg|qc=0|Adjusted=Y|Correction=-0.47hPa
1750	8	9	9	0	0	1006.3	orig=29.7307752503403inHg|qc=0|Adjusted=Y|Correction=-0.47hPa
1750	8	10	9	0	0	1013.7	orig=29.9492970390298inHg|qc=0|Adjusted=Y|Correction=-0.47hPa
1750	8	11	9	0	0	1009.3	orig=29.8193651646739inHg|qc=0|Adjusted=Y|Correction=-0.47hPa
1750	8	12	9	0	0	1006.4	orig=29.7307752503403inHg|qc=0|Adjusted=Y|Correction=-0.37hPa
