SEF	1.0.0
ID	22
Name	LWD - Gentleman's Magazine
Lat	51.5
Lon	-0.15
Alt	20
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1765	8	1	9	0	0	1028	orig=30.2505027477638inHg|qc=0|Adjusted=Y|Correction=+3.63hPa
1765	8	2	9	0	0	1023.9	orig=30.1294298648413inHg|qc=0|Adjusted=Y|Correction=+3.63hPa
1765	8	3	9	0	0	1017.8	orig=29.9492970390298inHg|qc=0|Adjusted=Y|Correction=+3.63hPa
1765	8	4	9	0	0	1015.5	orig=29.8813781047074inHg|qc=0|Adjusted=Y|Correction=+3.63hPa
1765	8	5	9	0	0	1013.9	orig=29.8311771532517inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1765	8	6	9	0	0	1014.5	orig=29.8488951361184inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1765	8	7	9	0	0	1014.5	orig=29.8488951361184inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1765	8	8	9	0	0	1007.8	orig=29.6510443274401inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1765	8	9	9	0	0	1011.2	orig=29.7514462303515inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1765	8	10	9	0	0	1009.5	orig=29.7012452788958inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1765	8	11	9	0	0	1012.2	orig=29.780976201796inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1765	8	12	9	0	0	1012.8	orig=29.7986941846627inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1765	8	13	9	0	0	1002.7	orig=29.5004414730731inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1765	8	14	9	0	0	1010.5	orig=29.7307752503403inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1765	8	15	9	0	0	1014.5	orig=29.8488951361184inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1765	8	16	9	0	0	1019.6	orig=29.9994979904854inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1765	8	17	9	0	0	1024	orig=30.1294298648413inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1765	8	18	9	0	0	1026.4	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1765	8	19	9	0	0	1030.8	orig=30.330233670664inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1765	8	20	9	0	0	1024.7	orig=30.1501008448525inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1765	8	21	9	0	0	1024.7	orig=30.1501008448525inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1765	8	22	9	0	0	1019.6	orig=29.9994979904854inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1765	8	23	9	0	0	1019.6	orig=29.9994979904854inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1765	8	24	9	0	0	1019.6	orig=29.9994979904854inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1765	8	25	9	0	0	1017.9	orig=29.9492970390298inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1765	8	26	9	0	0	1018	orig=29.9492970390298inHg|qc=0|Adjusted=Y|Correction=+3.83hPa
1765	8	27	9	0	0	1017.3	orig=29.9286260590186inHg|qc=0|Adjusted=Y|Correction=+3.83hPa
1765	8	28	9	0	0	1019.7	orig=29.9994979904854inHg|qc=0|Adjusted=Y|Correction=+3.83hPa
1765	8	29	9	0	0	1018	orig=29.9492970390298inHg|qc=0|Adjusted=Y|Correction=+3.83hPa
1765	8	30	9	0	0	1012.3	orig=29.780976201796inHg|qc=0|Adjusted=Y|Correction=+3.83hPa
1765	8	31	9	0	0	1014.6	orig=29.8488951361184inHg|qc=0|Adjusted=Y|Correction=+3.83hPa
1765	9	1	9	0	0	1015.7	orig=29.8813781047074inHg|qc=0|Adjusted=Y|Correction=+3.83hPa
1765	9	2	9	0	0	1016.3	orig=29.8990960875741inHg|qc=0|Adjusted=Y|Correction=+3.83hPa
1765	9	3	9	0	0	1017.3	orig=29.9286260590186inHg|qc=0|Adjusted=Y|Correction=+3.83hPa
1765	9	4	9	0	0	1021.4	orig=30.0496989419411inHg|qc=0|Adjusted=Y|Correction=+3.83hPa
1765	9	7	9	0	0	1022.4	orig=30.0792289133856inHg|qc=0|Adjusted=Y|Correction=+3.83hPa
1765	9	8	9	0	0	1025.8	orig=30.179630816297inHg|qc=0|Adjusted=Y|Correction=+3.83hPa
1765	9	9	9	0	0	1028.2	orig=30.2505027477638inHg|qc=0|Adjusted=Y|Correction=+3.83hPa
1765	9	10	9	0	0	1025.8	orig=30.179630816297inHg|qc=0|Adjusted=Y|Correction=+3.83hPa
1765	9	11	9	0	0	1024.1	orig=30.1294298648413inHg|qc=0|Adjusted=Y|Correction=+3.83hPa
1765	9	12	9	0	0	1024.9	orig=30.1501008448525inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	9	13	9	0	0	1026.6	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	9	14	9	0	0	1028.3	orig=30.2505027477638inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	9	15	9	0	0	1024.9	orig=30.1501008448525inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	9	16	9	0	0	992.7	orig=29.199235764339inHg|qc=3|Adjusted=Y|Correction=+3.93hPa
1765	9	17	9	0	0	1011.4	orig=29.7514462303515inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	9	18	9	0	0	1017.4	orig=29.9286260590186inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	9	19	9	0	0	1016.4	orig=29.8990960875741inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	9	20	9	0	0	1017.4	orig=29.9286260590186inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	9	21	9	0	0	1013.1	orig=29.7986941846627inHg|qc=0|Adjusted=Y|Correction=+4.03hPa
1765	9	22	9	0	0	1018.2	orig=29.9492970390298inHg|qc=0|Adjusted=Y|Correction=+4.03hPa
1765	9	24	9	0	0	1023.3	orig=30.0998998933968inHg|qc=0|Adjusted=Y|Correction=+4.03hPa
1765	9	25	9	0	0	1025	orig=30.1501008448525inHg|qc=0|Adjusted=Y|Correction=+4.03hPa
1765	9	28	9	0	0	1018.2	orig=29.9492970390298inHg|qc=0|Adjusted=Y|Correction=+4.03hPa
1765	9	30	9	0	0	1011.6	orig=29.7514462303515inHg|qc=0|Adjusted=Y|Correction=+4.13hPa
1765	10	1	9	0	0	1006.8	orig=29.6097023674178inHg|qc=0|Adjusted=Y|Correction=+4.13hPa
1765	10	2	9	0	0	992.2	orig=29.1785647843279inHg|qc=0|Adjusted=Y|Correction=+4.13hPa
1765	10	4	9	0	0	997.3	orig=29.3291676386949inHg|qc=0|Adjusted=Y|Correction=+4.13hPa
1765	10	5	9	0	0	1000.7	orig=29.4295695416063inHg|qc=0|Adjusted=Y|Correction=+4.13hPa
1765	10	6	9	0	0	998.3	orig=29.3586976101394inHg|qc=0|Adjusted=Y|Correction=+4.13hPa
1765	10	8	9	0	0	1014.4	orig=29.8311771532517inHg|qc=0|Adjusted=Y|Correction=+4.23hPa
1765	10	9	9	0	0	1012.7	orig=29.780976201796inHg|qc=0|Adjusted=Y|Correction=+4.23hPa
1765	10	10	9	0	0	1014.4	orig=29.8311771532517inHg|qc=0|Adjusted=Y|Correction=+4.23hPa
1765	10	12	9	0	0	1009.3	orig=29.6805742988847inHg|qc=0|Adjusted=Y|Correction=+4.23hPa
1765	10	13	9	0	0	1012.7	orig=29.780976201796inHg|qc=0|Adjusted=Y|Correction=+4.23hPa
1765	10	14	9	0	0	1012.1	orig=29.7603052217848inHg|qc=0|Adjusted=Y|Correction=+4.33hPa
1765	10	15	9	0	0	1014.5	orig=29.8311771532517inHg|qc=0|Adjusted=Y|Correction=+4.33hPa
1765	10	16	9	0	0	1022.9	orig=30.0792289133856inHg|qc=0|Adjusted=Y|Correction=+4.33hPa
1765	10	17	9	0	0	1022.9	orig=30.0792289133856inHg|qc=0|Adjusted=Y|Correction=+4.33hPa
1765	10	18	9	0	0	1021.2	orig=30.02902796193inHg|qc=0|Adjusted=Y|Correction=+4.33hPa
1765	10	19	9	0	0	1019.5	orig=29.9788270104743inHg|qc=0|Adjusted=Y|Correction=+4.33hPa
1765	10	20	9	0	0	1016.1	orig=29.8813781047074inHg|qc=0|Adjusted=Y|Correction=+4.23hPa
1765	10	21	9	0	0	1019.4	orig=29.9788270104743inHg|qc=0|Adjusted=Y|Correction=+4.23hPa
1765	10	22	9	0	0	1016.1	orig=29.8813781047074inHg|qc=0|Adjusted=Y|Correction=+4.23hPa
1765	10	24	9	0	0	1005.9	orig=29.5801723959733inHg|qc=0|Adjusted=Y|Correction=+4.23hPa
1765	10	25	9	0	0	1009.3	orig=29.6805742988847inHg|qc=0|Adjusted=Y|Correction=+4.23hPa
1765	10	26	9	0	0	1016.1	orig=29.8813781047074inHg|qc=0|Adjusted=Y|Correction=+4.23hPa
1765	10	27	9	0	0	1019.4	orig=29.9788270104743inHg|qc=0|Adjusted=Y|Correction=+4.23hPa
1765	10	29	9	0	0	1012.7	orig=29.780976201796inHg|qc=0|Adjusted=Y|Correction=+4.23hPa
1765	10	30	9	0	0	1011	orig=29.7307752503403inHg|qc=0|Adjusted=Y|Correction=+4.23hPa
1765	10	31	9	0	0	1009.3	orig=29.6805742988847inHg|qc=0|Adjusted=Y|Correction=+4.23hPa
1765	11	1	9	0	0	1002.5	orig=29.4797704930619inHg|qc=0|Adjusted=Y|Correction=+4.23hPa
1765	11	2	9	0	0	1004.2	orig=29.5299714445176inHg|qc=0|Adjusted=Y|Correction=+4.23hPa
1765	11	3	9	0	0	1002.5	orig=29.4797704930619inHg|qc=0|Adjusted=Y|Correction=+4.23hPa
1765	11	4	9	0	0	1002.5	orig=29.4797704930619inHg|qc=0|Adjusted=Y|Correction=+4.23hPa
1765	11	5	9	0	0	1005.9	orig=29.5801723959733inHg|qc=0|Adjusted=Y|Correction=+4.23hPa
1765	11	6	9	0	0	1014.4	orig=29.8311771532517inHg|qc=0|Adjusted=Y|Correction=+4.23hPa
1765	11	7	9	0	0	1009.3	orig=29.6805742988847inHg|qc=0|Adjusted=Y|Correction=+4.23hPa
1765	11	8	9	0	0	1012.6	orig=29.780976201796inHg|qc=0|Adjusted=Y|Correction=+4.13hPa
1765	11	9	9	0	0	1007.5	orig=29.630373347429inHg|qc=0|Adjusted=Y|Correction=+4.13hPa
1765	11	10	9	0	0	1007.5	orig=29.630373347429inHg|qc=0|Adjusted=Y|Correction=+4.13hPa
1765	11	11	9	0	0	1019.3	orig=29.9788270104743inHg|qc=0|Adjusted=Y|Correction=+4.13hPa
1765	11	12	9	0	0	1021	orig=30.02902796193inHg|qc=0|Adjusted=Y|Correction=+4.13hPa
1765	11	13	9	0	0	1019.3	orig=29.9788270104743inHg|qc=0|Adjusted=Y|Correction=+4.13hPa
1765	11	14	9	0	0	1026.1	orig=30.179630816297inHg|qc=0|Adjusted=Y|Correction=+4.13hPa
1765	11	15	9	0	0	1026.1	orig=30.179630816297inHg|qc=0|Adjusted=Y|Correction=+4.13hPa
1765	11	16	9	0	0	1027.8	orig=30.2298317677527inHg|qc=0|Adjusted=Y|Correction=+4.13hPa
1765	11	17	9	0	0	1027.8	orig=30.2298317677527inHg|qc=0|Adjusted=Y|Correction=+4.13hPa
1765	11	18	9	0	0	1031.2	orig=30.330233670664inHg|qc=0|Adjusted=Y|Correction=+4.13hPa
1765	11	19	9	0	0	1029.5	orig=30.2800327192084inHg|qc=0|Adjusted=Y|Correction=+4.13hPa
1765	11	20	9	0	0	1029.5	orig=30.2800327192084inHg|qc=0|Adjusted=Y|Correction=+4.13hPa
1765	11	21	9	0	0	1031.2	orig=30.330233670664inHg|qc=0|Adjusted=Y|Correction=+4.13hPa
1765	11	22	9	0	0	1032.9	orig=30.3804346221197inHg|qc=0|Adjusted=Y|Correction=+4.13hPa
1765	11	23	9	0	0	1027.7	orig=30.2298317677527inHg|qc=0|Adjusted=Y|Correction=+4.03hPa
1765	11	24	9	0	0	1020.9	orig=30.02902796193inHg|qc=0|Adjusted=Y|Correction=+4.03hPa
1765	11	25	9	0	0	1020.9	orig=30.02902796193inHg|qc=0|Adjusted=Y|Correction=+4.03hPa
1765	11	26	9	0	0	1012.5	orig=29.780976201796inHg|qc=0|Adjusted=Y|Correction=+4.03hPa
1765	11	27	9	0	0	1010.8	orig=29.7307752503403inHg|qc=0|Adjusted=Y|Correction=+4.03hPa
1765	11	28	9	0	0	1010.8	orig=29.7307752503403inHg|qc=0|Adjusted=Y|Correction=+4.03hPa
1765	11	29	9	0	0	1015.9	orig=29.8813781047074inHg|qc=0|Adjusted=Y|Correction=+4.03hPa
1765	11	30	9	0	0	1021.9	orig=30.0585579333745inHg|qc=0|Adjusted=Y|Correction=+4.03hPa
1765	12	1	9	0	0	1019.9	orig=29.9994979904854inHg|qc=0|Adjusted=Y|Correction=+4.03hPa
1765	12	2	9	0	0	1018.2	orig=29.9492970390298inHg|qc=0|Adjusted=Y|Correction=+4.03hPa
1765	12	3	9	0	0	1026.7	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=+4.03hPa
1765	12	4	9	0	0	1026.7	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=+4.03hPa
1765	12	5	9	0	0	1022.6	orig=30.0792289133856inHg|qc=0|Adjusted=Y|Correction=+4.03hPa
1765	12	6	9	0	0	1019.8	orig=29.9994979904854inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	7	9	0	0	1012.4	orig=29.780976201796inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	8	9	0	0	1009	orig=29.6805742988847inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	9	9	0	0	1006.3	orig=29.6008433759845inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	10	9	0	0	1006.3	orig=29.6008433759845inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	11	9	0	0	987.6	orig=29.048632909972inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	12	9	0	0	1002.9	orig=29.5004414730731inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	13	9	0	0	1018.1	orig=29.9492970390298inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	14	9	0	0	1018.1	orig=29.9492970390298inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	15	9	0	0	1023.2	orig=30.0998998933968inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	16	9	0	0	1030	orig=30.3007036992195inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	17	9	0	0	1030	orig=30.3007036992195inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	18	9	0	0	1030	orig=30.3007036992195inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	19	9	0	0	1030	orig=30.3007036992195inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	20	9	0	0	1023.2	orig=30.0998998933968inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	21	9	0	0	1002.9	orig=29.5004414730731inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	22	9	0	0	1006.3	orig=29.6008433759845inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	23	9	0	0	1021.5	orig=30.0496989419411inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	24	9	0	0	1028.3	orig=30.2505027477638inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	25	9	0	0	1026.6	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	26	9	0	0	1018.1	orig=29.9492970390298inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	27	9	0	0	1019.8	orig=29.9994979904854inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	28	9	0	0	1024.9	orig=30.1501008448525inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	29	9	0	0	1030	orig=30.3007036992195inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	30	9	0	0	1030	orig=30.3007036992195inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1765	12	31	9	0	0	1030	orig=30.3007036992195inHg|qc=0|Adjusted=Y|Correction=+3.93hPa
1766	1	1	9	0	0	1026.4	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1766	1	2	9	0	0	1023	orig=30.0998998933968inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1766	1	3	9	0	0	1021.3	orig=30.0496989419411inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1766	1	5	9	0	0	1024.7	orig=30.1501008448525inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1766	1	6	9	0	0	1026.4	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1766	1	8	9	0	0	1023	orig=30.0998998933968inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1766	1	9	9	0	0	1024.7	orig=30.1501008448525inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1766	1	10	9	0	0	1026.4	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1766	1	11	9	0	0	1029.8	orig=30.3007036992195inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1766	1	12	9	0	0	1033.2	orig=30.4011056021309inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1766	1	14	9	0	0	1031.5	orig=30.3509046506752inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1766	1	15	9	0	0	1029.8	orig=30.3007036992195inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1766	1	16	9	0	0	1029.8	orig=30.3007036992195inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1766	1	18	9	0	0	1026.4	orig=30.2003017963082inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1766	1	19	9	0	0	1028.1	orig=30.2505027477638inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1766	1	20	9	0	0	1029.8	orig=30.3007036992195inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1766	1	22	9	0	0	1033.2	orig=30.4011056021309inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1766	1	23	9	0	0	1031.5	orig=30.3509046506752inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1766	1	24	9	0	0	1029.8	orig=30.3007036992195inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1766	1	25	9	0	0	1031.5	orig=30.3509046506752inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1766	1	27	9	0	0	1029.8	orig=30.3007036992195inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
1766	1	28	9	0	0	1031.5	orig=30.3509046506752inHg|qc=0|Adjusted=Y|Correction=+3.73hPa
