SEF	1.0.0
ID	23
Name	Molyneux - Whitehall
Lat	51.5
Lon	-0.13
Alt	20
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1716	11	18	0	0	0	1025	qc=0|PTC=Y|PGC=Y|Adjusted=N
1716	11	18	9	0	0	1023.7	orig=29.34inHg|orig.date=1716-11-18|ATB=5C|PTC=Y|PGC=Y|temp_cor=-0.51hPa|grav_cor=0.54hPa|slp_cor=2.36hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+27.77hPa
1716	11	18	12	0	0	1023.6	orig=29.34inHg|orig.date=1716-11-18|ATB=5.5C|PTC=Y|PGC=Y|temp_cor=-0.56hPa|grav_cor=0.54hPa|slp_cor=2.36hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+27.73hPa
1716	11	18	15	0	0	1023.6	orig=29.22inHg|orig.date=1716-11-18|ATB=6C|PTC=Y|PGC=Y|temp_cor=-0.61hPa|grav_cor=0.54hPa|slp_cor=2.35hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+31.85hPa
1716	11	18	18	0	0	1024.6	orig=29.15inHg|orig.date=1716-11-18|ATB=6C|PTC=Y|PGC=Y|temp_cor=-0.61hPa|grav_cor=0.54hPa|slp_cor=2.34hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+35.23hPa
1716	11	18	21	0	0	1026.5	orig=29.15inHg|orig.date=1716-11-18|ATB=6C|PTC=Y|PGC=Y|temp_cor=-0.61hPa|grav_cor=0.54hPa|slp_cor=2.34hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+37.13hPa
1716	11	24	0	0	0	1029.3	qc=0|PTC=Y|PGC=Y|Adjusted=N
1716	11	24	9	0	0	1028.4	orig=29.96inHg|orig.date=1716-11-24|ATB=7C|PTC=Y|PGC=Y|temp_cor=-0.73hPa|grav_cor=0.55hPa|slp_cor=2.41hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+11.64hPa
1716	11	24	12	0	0	1028.4	orig=29.96inHg|orig.date=1716-11-24|ATB=6C|PTC=Y|PGC=Y|temp_cor=-0.62hPa|grav_cor=0.55hPa|slp_cor=2.41hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+11.53hPa
1716	11	24	15	0	0	1028.4	orig=29.96inHg|orig.date=1716-11-24|ATB=6.5C|PTC=Y|PGC=Y|temp_cor=-0.68hPa|grav_cor=0.55hPa|slp_cor=2.41hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+11.59hPa
1716	11	24	18	0	0	1028.4	orig=30.6inHg|orig.date=1716-11-24|ATB=7C|PTC=Y|PGC=Y|temp_cor=-0.73hPa|grav_cor=0.55hPa|slp_cor=2.41hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=-10.04hPa
1716	11	24	21	0	0	1028.4	orig=30.7inHg|orig.date=1716-11-24|ATB=7C|PTC=Y|PGC=Y|temp_cor=-0.73hPa|grav_cor=0.55hPa|slp_cor=2.42hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=-13.43hPa
1716	11	26	0	0	0	1000.6	qc=0|PTC=Y|PGC=Y|Adjusted=N
1716	11	26	9	0	0	1015	orig=29.81inHg|orig.date=1716-11-26|ATB=8C|PTC=Y|PGC=Y|temp_cor=-0.83hPa|grav_cor=0.55hPa|slp_cor=2.39hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.43hPa
1716	11	26	12	0	0	1012.3	orig=29.82inHg|orig.date=1716-11-26|ATB=9C|PTC=Y|PGC=Y|temp_cor=-0.93hPa|grav_cor=0.55hPa|slp_cor=2.39hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+0.5hPa
1716	11	26	15	0	0	1012.3	orig=29.85inHg|orig.date=1716-11-26|ATB=12C|PTC=Y|PGC=Y|temp_cor=-1.24hPa|grav_cor=0.55hPa|slp_cor=2.4hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=-0.21hPa
1716	11	26	18	0	0	1012.3	orig=29.87inHg|orig.date=1716-11-26|ATB=10.5C|PTC=Y|PGC=Y|temp_cor=-1.09hPa|grav_cor=0.55hPa|slp_cor=2.4hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=-1.04hPa
1716	11	26	21	0	0	1012.3	orig=29.92inHg|orig.date=1716-11-26|ATB=11.5C|PTC=Y|PGC=Y|temp_cor=-1.19hPa|grav_cor=0.55hPa|slp_cor=2.4hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=-2.64hPa
1716	11	29	0	0	0	1002.5	qc=0|PTC=Y|PGC=Y|Adjusted=N
1716	11	29	9	0	0	996.9	orig=29.63inHg|orig.date=1716-11-29|ATB=11.5C|PTC=Y|PGC=Y|temp_cor=-1.18hPa|grav_cor=0.54hPa|slp_cor=2.38hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=-8.2hPa
1716	11	29	12	0	0	996.8	orig=29.66inHg|orig.date=1716-11-29|ATB=11.5C|PTC=Y|PGC=Y|temp_cor=-1.18hPa|grav_cor=0.54hPa|slp_cor=2.38hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=-9.32hPa
1716	11	29	15	0	0	992.7	orig=29.66inHg|orig.date=1716-11-29|ATB=6C|PTC=Y|PGC=Y|temp_cor=-0.62hPa|grav_cor=0.54hPa|slp_cor=2.38hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=-13.98hPa
