SEF	1.0.0
ID	24
Name	Molyneux - Great George St.
Lat	51.5
Lon	-0.13
Alt	40
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1720	4	3	9	0	0	1029.9	orig=30.11inHg|orig.date=1720-04-03|ATB=5C|PTC=Y|PGC=Y|temp_cor=-0.52hPa|grav_cor=0.55hPa|slp_cor=4.84hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+5.42hPa
1720	4	3	12	0	0	1029.6	orig=30.09inHg|orig.date=1720-04-03|ATB=6C|PTC=Y|PGC=Y|temp_cor=-0.63hPa|grav_cor=0.55hPa|slp_cor=4.84hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+5.91hPa
1720	4	3	21	0	0	1024.3	orig=30.02inHg|orig.date=1720-04-03|ATB=7C|PTC=Y|PGC=Y|temp_cor=-0.73hPa|grav_cor=0.54hPa|slp_cor=4.83hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.09hPa
1720	4	4	0	0	0	1022.9	qc=0|PTC=Y|PGC=Y|Adjusted=N
1720	4	4	9	0	0	1016.8	orig=29.91inHg|orig.date=1720-04-04|ATB=7C|PTC=Y|PGC=Y|temp_cor=-0.73hPa|grav_cor=0.54hPa|slp_cor=4.81hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=-0.67hPa
1720	4	4	12	0	0	1015.2	orig=29.85inHg|orig.date=1720-04-04|ATB=8C|PTC=Y|PGC=Y|temp_cor=-0.83hPa|grav_cor=0.54hPa|slp_cor=4.8hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=-0.12hPa
1720	4	4	15	0	0	1011.3	orig=29.85inHg|orig.date=1720-04-04|ATB=8.5C|PTC=Y|PGC=Y|temp_cor=-0.88hPa|grav_cor=0.54hPa|slp_cor=4.8hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=-3.97hPa
1720	4	4	18	0	0	1008.5	orig=29.82inHg|orig.date=1720-04-04|ATB=9C|PTC=Y|PGC=Y|temp_cor=-0.93hPa|grav_cor=0.54hPa|slp_cor=4.79hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=-5.7hPa
1720	4	4	21	0	0	1006	orig=29.79inHg|orig.date=1720-04-04|ATB=9.5C|PTC=Y|PGC=Y|temp_cor=-0.98hPa|grav_cor=0.54hPa|slp_cor=4.79hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=-7.12hPa
1720	4	5	0	0	0	1003.7	qc=0|PTC=Y|PGC=Y|Adjusted=N
