SEF	1.0.0
ID	25
Name	Holborn
Lat	51.52
Lon	-0.12
Alt	5
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1709	2	3	18	0	0	1025.5	orig=102|orig.date=1709-01-23|ATB=3.7C|PTC=Y|PGC=Y|temp_cor=-0.39hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.46hPa
1709	2	4	18	0	0	1020.1	orig=94|orig.date=1709-01-24|ATB=3.7C|PTC=Y|PGC=Y|temp_cor=-0.39hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.48hPa
1709	2	5	18	0	0	1013.3	orig=84|orig.date=1709-01-25|ATB=3.7C|PTC=Y|PGC=Y|temp_cor=-0.38hPa|grav_cor=0.55hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.45hPa
1709	2	6	18	0	0	1025.5	orig=102|orig.date=1709-01-26|ATB=3.7C|PTC=Y|PGC=Y|temp_cor=-0.39hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.45hPa
1709	2	7	18	0	0	1032.3	orig=112|orig.date=1709-01-27|ATB=3.7C|PTC=Y|PGC=Y|temp_cor=-0.39hPa|grav_cor=0.56hPa|slp_cor=0.61hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.48hPa
1709	2	8	18	0	0	1035	orig=116|orig.date=1709-01-28|ATB=3.7C|PTC=Y|PGC=Y|temp_cor=-0.39hPa|grav_cor=0.56hPa|slp_cor=0.61hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.47hPa
1709	2	9	18	0	0	1026.9	orig=104|orig.date=1709-01-29|ATB=3.7C|PTC=Y|PGC=Y|temp_cor=-0.39hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.5hPa
1709	2	12	9	0	0	1019	orig=92|orig.date=1709-02-01|ATB=2.9C|PTC=Y|PGC=Y|temp_cor=-0.3hPa|grav_cor=0.55hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.64hPa
1709	2	12	18	0	0	1021.5	orig=96|orig.date=1709-02-01|ATB=3.8C|PTC=Y|PGC=Y|temp_cor=-0.4hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.53hPa
1709	2	13	9	0	0	1021.7	orig=96|orig.date=1709-02-02|ATB=2.9C|PTC=Y|PGC=Y|temp_cor=-0.3hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.64hPa
1709	2	13	18	0	0	1031.6	orig=111|orig.date=1709-02-02|ATB=3.9C|PTC=Y|PGC=Y|temp_cor=-0.4hPa|grav_cor=0.56hPa|slp_cor=0.61hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.47hPa
1709	2	14	9	0	0	1024.4	orig=100|orig.date=1709-02-03|ATB=2.9C|PTC=Y|PGC=Y|temp_cor=-0.31hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.63hPa
1709	2	15	9	0	0	1024.4	orig=100|orig.date=1709-02-04|ATB=3C|PTC=Y|PGC=Y|temp_cor=-0.31hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.63hPa
1709	2	16	9	0	0	1031.1	orig=110|orig.date=1709-02-05|ATB=3C|PTC=Y|PGC=Y|temp_cor=-0.32hPa|grav_cor=0.56hPa|slp_cor=0.61hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.56hPa
1709	2	16	18	0	0	1025.5	orig=102|orig.date=1709-02-05|ATB=4C|PTC=Y|PGC=Y|temp_cor=-0.41hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.48hPa
1709	2	17	9	0	0	1018.9	orig=92|orig.date=1709-02-06|ATB=3.1C|PTC=Y|PGC=Y|temp_cor=-0.32hPa|grav_cor=0.55hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.56hPa
1709	2	17	18	0	0	1018.7	orig=92|orig.date=1709-02-06|ATB=4C|PTC=Y|PGC=Y|temp_cor=-0.42hPa|grav_cor=0.55hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.46hPa
1709	2	18	9	0	0	1018.9	orig=92|orig.date=1709-02-07|ATB=3.1C|PTC=Y|PGC=Y|temp_cor=-0.32hPa|grav_cor=0.55hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.57hPa
1709	2	18	18	0	0	1013.3	orig=84|orig.date=1709-02-07|ATB=4.1C|PTC=Y|PGC=Y|temp_cor=-0.42hPa|grav_cor=0.55hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.49hPa
1709	2	19	9	0	0	1010.8	orig=80|orig.date=1709-02-08|ATB=3.2C|PTC=Y|PGC=Y|temp_cor=-0.32hPa|grav_cor=0.55hPa|slp_cor=0.59hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.61hPa
1709	2	19	18	0	0	1007.2	orig=75|orig.date=1709-02-08|ATB=4.1C|PTC=Y|PGC=Y|temp_cor=-0.42hPa|grav_cor=0.55hPa|slp_cor=0.59hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.5hPa
1709	2	20	9	0	0	1006	orig=73|orig.date=1709-02-09|ATB=3.2C|PTC=Y|PGC=Y|temp_cor=-0.33hPa|grav_cor=0.55hPa|slp_cor=0.59hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.56hPa
1709	2	20	18	0	0	1007.9	orig=76|orig.date=1709-02-09|ATB=4.2C|PTC=Y|PGC=Y|temp_cor=-0.43hPa|grav_cor=0.55hPa|slp_cor=0.59hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.53hPa
1709	2	21	9	0	0	1010.8	orig=80|orig.date=1709-02-10|ATB=3.3C|PTC=Y|PGC=Y|temp_cor=-0.33hPa|grav_cor=0.55hPa|slp_cor=0.59hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.62hPa
1709	2	21	18	0	0	1016.7	orig=89|orig.date=1709-02-10|ATB=4.3C|PTC=Y|PGC=Y|temp_cor=-0.44hPa|grav_cor=0.55hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.52hPa
1709	2	22	9	0	0	1021.6	orig=96|orig.date=1709-02-11|ATB=3.3C|PTC=Y|PGC=Y|temp_cor=-0.34hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.58hPa
1709	2	22	18	0	0	1029.5	orig=108|orig.date=1709-02-11|ATB=4.3C|PTC=Y|PGC=Y|temp_cor=-0.45hPa|grav_cor=0.56hPa|slp_cor=0.61hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.45hPa
1709	2	23	9	0	0	1028.3	orig=106|orig.date=1709-02-12|ATB=3.4C|PTC=Y|PGC=Y|temp_cor=-0.35hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.51hPa
1709	2	23	18	0	0	1030.2	orig=109|orig.date=1709-02-12|ATB=4.4C|PTC=Y|PGC=Y|temp_cor=-0.46hPa|grav_cor=0.56hPa|slp_cor=0.61hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.48hPa
1709	2	24	9	0	0	1026.7	orig=104|orig.date=1709-02-13|ATB=5C|PTC=Y|PGC=Y|temp_cor=-0.52hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.44hPa
1709	2	24	18	0	0	1022.4	orig=98|orig.date=1709-02-13|ATB=6.2C|PTC=Y|PGC=Y|temp_cor=-0.64hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.32hPa
1709	2	25	9	0	0	1019.9	orig=94|orig.date=1709-02-14|ATB=5.1C|PTC=Y|PGC=Y|temp_cor=-0.53hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.42hPa
1709	2	25	18	0	0	1019.7	orig=94|orig.date=1709-02-14|ATB=6.2C|PTC=Y|PGC=Y|temp_cor=-0.65hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.34hPa
1709	2	26	9	0	0	1022.6	orig=98|orig.date=1709-02-15|ATB=5.1C|PTC=Y|PGC=Y|temp_cor=-0.53hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.41hPa
1709	2	26	18	0	0	1022.4	orig=98|orig.date=1709-02-15|ATB=6.3C|PTC=Y|PGC=Y|temp_cor=-0.65hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.33hPa
1709	2	27	9	0	0	1019.9	orig=94|orig.date=1709-02-16|ATB=5.2C|PTC=Y|PGC=Y|temp_cor=-0.53hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.43hPa
1709	2	27	18	0	0	1013.6	orig=85|orig.date=1709-02-16|ATB=6.3C|PTC=Y|PGC=Y|temp_cor=-0.65hPa|grav_cor=0.55hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.35hPa
1709	2	28	9	0	0	1009.7	orig=79|orig.date=1709-02-17|ATB=5.2C|PTC=Y|PGC=Y|temp_cor=-0.53hPa|grav_cor=0.55hPa|slp_cor=0.59hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.4hPa
1709	2	28	18	0	0	1010.2	orig=80|orig.date=1709-02-17|ATB=6.4C|PTC=Y|PGC=Y|temp_cor=-0.66hPa|grav_cor=0.55hPa|slp_cor=0.59hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.34hPa
1709	3	1	9	0	0	1015.5	orig=88|orig.date=1709-02-18|ATB=5.3C|PTC=Y|PGC=Y|temp_cor=-0.54hPa|grav_cor=0.55hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.1hPa
1709	3	1	18	0	0	1019.4	orig=94|orig.date=1709-02-18|ATB=6.4C|PTC=Y|PGC=Y|temp_cor=-0.67hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.06hPa
1709	3	2	9	0	0	1017.5	orig=91|orig.date=1709-02-19|ATB=5.3C|PTC=Y|PGC=Y|temp_cor=-0.55hPa|grav_cor=0.55hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.07hPa
1709	3	2	18	0	0	1010.5	orig=81|orig.date=1709-02-19|ATB=6.5C|PTC=Y|PGC=Y|temp_cor=-0.67hPa|grav_cor=0.55hPa|slp_cor=0.59hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+6.97hPa
1709	3	3	9	0	0	1014.1	orig=86|orig.date=1709-02-20|ATB=5.3C|PTC=Y|PGC=Y|temp_cor=-0.55hPa|grav_cor=0.55hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.07hPa
1709	3	3	18	0	0	1019.3	orig=94|orig.date=1709-02-20|ATB=6.5C|PTC=Y|PGC=Y|temp_cor=-0.68hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+6.97hPa
1709	3	4	9	0	0	1019.6	orig=94|orig.date=1709-02-21|ATB=5.4C|PTC=Y|PGC=Y|temp_cor=-0.56hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.15hPa
1709	3	4	18	0	0	1019.3	orig=94|orig.date=1709-02-21|ATB=6.6C|PTC=Y|PGC=Y|temp_cor=-0.68hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+6.97hPa
1709	3	5	9	0	0	1022.3	orig=98|orig.date=1709-02-22|ATB=5.4C|PTC=Y|PGC=Y|temp_cor=-0.56hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.14hPa
1709	3	5	18	0	0	1018	orig=92|orig.date=1709-02-22|ATB=6.6C|PTC=Y|PGC=Y|temp_cor=-0.68hPa|grav_cor=0.55hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.03hPa
1709	3	6	9	0	0	1025	orig=102|orig.date=1709-02-23|ATB=5.5C|PTC=Y|PGC=Y|temp_cor=-0.57hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.14hPa
1709	3	6	18	0	0	1029.5	orig=109|orig.date=1709-02-23|ATB=6.7C|PTC=Y|PGC=Y|temp_cor=-0.7hPa|grav_cor=0.56hPa|slp_cor=0.61hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.02hPa
1709	3	7	9	0	0	1028.3	orig=107|orig.date=1709-02-24|ATB=5.5C|PTC=Y|PGC=Y|temp_cor=-0.58hPa|grav_cor=0.56hPa|slp_cor=0.61hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.05hPa
1709	3	7	18	0	0	1026.1	orig=104|orig.date=1709-02-24|ATB=6.7C|PTC=Y|PGC=Y|temp_cor=-0.7hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.01hPa
1709	3	8	9	0	0	1019.5	orig=94|orig.date=1709-02-25|ATB=5.6C|PTC=Y|PGC=Y|temp_cor=-0.58hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.07hPa
1709	3	8	18	0	0	1020.7	orig=96|orig.date=1709-02-25|ATB=6.7C|PTC=Y|PGC=Y|temp_cor=-0.7hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.03hPa
1709	3	9	9	0	0	1017.2	orig=90|orig.date=1709-02-26|ATB=3.4C|PTC=Y|PGC=Y|temp_cor=-0.35hPa|grav_cor=0.55hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.26hPa
1709	3	9	18	0	0	1016.3	orig=89|orig.date=1709-02-26|ATB=4.5C|PTC=Y|PGC=Y|temp_cor=-0.46hPa|grav_cor=0.55hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.14hPa
1709	3	10	9	0	0	1017.2	orig=90|orig.date=1709-02-27|ATB=3.5C|PTC=Y|PGC=Y|temp_cor=-0.36hPa|grav_cor=0.55hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.26hPa
1709	3	10	18	0	0	1021.7	orig=97|orig.date=1709-02-27|ATB=4.5C|PTC=Y|PGC=Y|temp_cor=-0.47hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.13hPa
1709	3	11	9	0	0	1021.9	orig=97|orig.date=1709-02-28|ATB=3.5C|PTC=Y|PGC=Y|temp_cor=-0.37hPa|grav_cor=0.56hPa|slp_cor=0.6hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.22hPa
