SEF	1.0.0
ID	26
Name	William Derham
Lat	51.56
Lon	0.25
Alt	25
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1697	1	22	8	0	0	1017.3	orig=29.83inHg|orig.date=1697-01-12|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.26hPa|grav_cor=0.55hPa|slp_cor=3hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.88hPa
1697	1	23	21	0	0	1020	orig=29.91inHg|orig.date=1697-01-13|ATB=2.9C|PTC=Y|PGC=Y|temp_cor=-0.3hPa|grav_cor=0.55hPa|slp_cor=3.01hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.91hPa
1697	2	22	7	0	0	1029.6	orig=30.08inHg|orig.date=1697-02-12|ATB=2.4C|PTC=Y|PGC=Y|temp_cor=-0.26hPa|grav_cor=0.56hPa|slp_cor=3.02hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.68hPa
1697	2	22	21	0	0	1029.4	orig=30.08inHg|orig.date=1697-02-12|ATB=3.5C|PTC=Y|PGC=Y|temp_cor=-0.36hPa|grav_cor=0.56hPa|slp_cor=3.02hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.59hPa
1697	2	23	7	0	0	1026.9	orig=30inHg|orig.date=1697-02-13|ATB=2.4C|PTC=Y|PGC=Y|temp_cor=-0.25hPa|grav_cor=0.56hPa|slp_cor=3.02hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.7hPa
1697	2	23	12	0	0	1026	orig=30inHg|orig.date=1697-02-13|ATB=7C|PTC=Y|PGC=Y|temp_cor=-0.73hPa|grav_cor=0.55hPa|slp_cor=3.01hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.28hPa
1697	2	23	21	0	0	1025	orig=29.95inHg|orig.date=1697-02-13|ATB=3.5C|PTC=Y|PGC=Y|temp_cor=-0.36hPa|grav_cor=0.55hPa|slp_cor=3.01hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.61hPa
1697	2	24	7	0	0	1022.8	orig=29.88inHg|orig.date=1697-02-14|ATB=2.4C|PTC=Y|PGC=Y|temp_cor=-0.25hPa|grav_cor=0.55hPa|slp_cor=3hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.67hPa
1697	2	24	12	0	0	987.7	orig=28.87inHg|orig.date=1697-02-14|ATB=7.1C|PTC=Y|PGC=Y|temp_cor=-0.71hPa|grav_cor=0.53hPa|slp_cor=2.9hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.35hPa
1697	2	24	21	0	0	1019.9	orig=29.8inHg|orig.date=1697-02-14|ATB=3.5C|PTC=Y|PGC=Y|temp_cor=-0.36hPa|grav_cor=0.55hPa|slp_cor=3hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.6hPa
1697	2	25	7	0	0	1021.8	orig=29.85inHg|orig.date=1697-02-15|ATB=2.4C|PTC=Y|PGC=Y|temp_cor=-0.25hPa|grav_cor=0.55hPa|slp_cor=3hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.69hPa
1697	2	25	12	0	0	987.3	orig=28.86inHg|orig.date=1697-02-15|ATB=7.1C|PTC=Y|PGC=Y|temp_cor=-0.72hPa|grav_cor=0.53hPa|slp_cor=2.9hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.3hPa
1697	2	25	21	0	0	1019.9	orig=29.8inHg|orig.date=1697-02-15|ATB=3.5C|PTC=Y|PGC=Y|temp_cor=-0.37hPa|grav_cor=0.55hPa|slp_cor=3hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.6hPa
1697	2	26	7	0	0	1011.2	orig=29.54inHg|orig.date=1697-02-16|ATB=2.4C|PTC=Y|PGC=Y|temp_cor=-0.25hPa|grav_cor=0.55hPa|slp_cor=2.97hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.62hPa
1697	2	26	12	0	0	1013.1	orig=29.62inHg|orig.date=1697-02-16|ATB=7.2C|PTC=Y|PGC=Y|temp_cor=-0.74hPa|grav_cor=0.55hPa|slp_cor=2.97hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.3hPa
1697	2	26	21	0	0	1013.1	orig=29.6inHg|orig.date=1697-02-16|ATB=3.6C|PTC=Y|PGC=Y|temp_cor=-0.36hPa|grav_cor=0.55hPa|slp_cor=2.97hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.6hPa
1697	2	27	7	0	0	1009.9	orig=29.5inHg|orig.date=1697-02-17|ATB=2.4C|PTC=Y|PGC=Y|temp_cor=-0.25hPa|grav_cor=0.55hPa|slp_cor=2.97hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.68hPa
1697	2	27	12	0	0	1009.7	orig=29.52inHg|orig.date=1697-02-17|ATB=7.3C|PTC=Y|PGC=Y|temp_cor=-0.74hPa|grav_cor=0.55hPa|slp_cor=2.96hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.3hPa
1697	2	27	21	0	0	1010.4	orig=29.52inHg|orig.date=1697-02-17|ATB=3.6C|PTC=Y|PGC=Y|temp_cor=-0.37hPa|grav_cor=0.55hPa|slp_cor=2.97hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.62hPa
1697	2	28	7	0	0	1003.1	orig=29.3inHg|orig.date=1697-02-18|ATB=2.4C|PTC=Y|PGC=Y|temp_cor=-0.25hPa|grav_cor=0.54hPa|slp_cor=2.95hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.68hPa
1697	2	28	12	0	0	1000.8	orig=29.26inHg|orig.date=1697-02-18|ATB=7.3C|PTC=Y|PGC=Y|temp_cor=-0.74hPa|grav_cor=0.54hPa|slp_cor=2.94hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.24hPa
1697	2	28	21	0	0	1007	orig=29.42inHg|orig.date=1697-02-18|ATB=3.6C|PTC=Y|PGC=Y|temp_cor=-0.37hPa|grav_cor=0.54hPa|slp_cor=2.96hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.62hPa
1697	3	1	7	0	0	1002.8	orig=29.3inHg|orig.date=1697-02-19|ATB=2.4C|PTC=Y|PGC=Y|temp_cor=-0.25hPa|grav_cor=0.54hPa|slp_cor=2.95hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.38hPa
1697	3	1	12	0	0	1002.9	orig=29.33inHg|orig.date=1697-02-19|ATB=7.4C|PTC=Y|PGC=Y|temp_cor=-0.75hPa|grav_cor=0.54hPa|slp_cor=2.95hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+6.96hPa
1697	3	1	21	0	0	1005.6	orig=29.39inHg|orig.date=1697-02-19|ATB=3.6C|PTC=Y|PGC=Y|temp_cor=-0.37hPa|grav_cor=0.54hPa|slp_cor=2.95hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+7.24hPa
1697	5	5	6	0	0	1000.3	orig=29.28inHg|orig.date=1697-04-25|ATB=6.6C|PTC=Y|PGC=Y|temp_cor=-0.67hPa|grav_cor=0.54hPa|slp_cor=2.94hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+5.99hPa
1697	5	5	12	0	0	998.4	orig=29.27inHg|orig.date=1697-04-25|ATB=15.2C|PTC=Y|PGC=Y|temp_cor=-1.55hPa|grav_cor=0.54hPa|slp_cor=2.94hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+5.3hPa
1697	5	5	21	0	0	996.5	orig=29.18inHg|orig.date=1697-04-25|ATB=8.9C|PTC=Y|PGC=Y|temp_cor=-0.9hPa|grav_cor=0.54hPa|slp_cor=2.93hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+5.81hPa
1697	5	6	6	0	0	995.5	orig=29.14inHg|orig.date=1697-04-26|ATB=6.8C|PTC=Y|PGC=Y|temp_cor=-0.68hPa|grav_cor=0.54hPa|slp_cor=2.93hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+5.95hPa
1697	6	8	6	0	0	1017.5	orig=29.79inHg|orig.date=1697-05-29|ATB=10.6C|PTC=Y|PGC=Y|temp_cor=-1.09hPa|grav_cor=0.55hPa|slp_cor=2.99hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+6.28hPa
1697	6	8	12	0	0	1014.5	orig=29.75inHg|orig.date=1697-05-29|ATB=19.6C|PTC=Y|PGC=Y|temp_cor=-2.02hPa|grav_cor=0.55hPa|slp_cor=2.98hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+5.57hPa
1697	6	8	21	0	0	1015.1	orig=29.73inHg|orig.date=1697-05-29|ATB=12.5C|PTC=Y|PGC=Y|temp_cor=-1.29hPa|grav_cor=0.55hPa|slp_cor=2.98hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+6.11hPa
1697	6	29	6	0	0	1021.9	orig=29.93inHg|orig.date=1697-06-19|ATB=12.5C|PTC=Y|PGC=Y|temp_cor=-1.29hPa|grav_cor=0.55hPa|slp_cor=3hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+6.12hPa
1697	6	29	12	0	0	1019.5	orig=29.91inHg|orig.date=1697-06-19|ATB=21.7C|PTC=Y|PGC=Y|temp_cor=-2.25hPa|grav_cor=0.55hPa|slp_cor=3hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+5.37hPa
1697	6	29	21	0	0	1021.5	orig=29.93inHg|orig.date=1697-06-19|ATB=14.5C|PTC=Y|PGC=Y|temp_cor=-1.51hPa|grav_cor=0.55hPa|slp_cor=3hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+5.94hPa
1697	6	30	6	0	0	1021.5	orig=29.92inHg|orig.date=1697-06-20|ATB=12.5C|PTC=Y|PGC=Y|temp_cor=-1.3hPa|grav_cor=0.55hPa|slp_cor=3hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+6.07hPa
1697	6	30	12	0	0	1019.8	orig=29.92inHg|orig.date=1697-06-20|ATB=21.8C|PTC=Y|PGC=Y|temp_cor=-2.26hPa|grav_cor=0.55hPa|slp_cor=3hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+5.34hPa
1697	6	30	21	0	0	1022.2	orig=29.95inHg|orig.date=1697-06-20|ATB=14.6C|PTC=Y|PGC=Y|temp_cor=-1.52hPa|grav_cor=0.55hPa|slp_cor=3hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+5.97hPa
1697	7	1	6	0	0	1021.6	orig=30inHg|orig.date=1697-06-21|ATB=12.6C|PTC=Y|PGC=Y|temp_cor=-1.31hPa|grav_cor=0.55hPa|slp_cor=3.01hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.46hPa
1697	7	1	21	0	0	1021.8	orig=30.02inHg|orig.date=1697-06-21|ATB=14.7C|PTC=Y|PGC=Y|temp_cor=-1.53hPa|grav_cor=0.55hPa|slp_cor=3.01hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.2hPa
1697	7	2	6	0	0	1021.9	orig=30.01inHg|orig.date=1697-06-22|ATB=12.6C|PTC=Y|PGC=Y|temp_cor=-1.32hPa|grav_cor=0.55hPa|slp_cor=3.01hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.42hPa
1697	7	2	21	0	0	1017.8	orig=29.9inHg|orig.date=1697-06-22|ATB=14.8C|PTC=Y|PGC=Y|temp_cor=-1.53hPa|grav_cor=0.55hPa|slp_cor=3hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.28hPa
1697	7	3	6	0	0	1014.7	orig=29.8inHg|orig.date=1697-06-23|ATB=12.7C|PTC=Y|PGC=Y|temp_cor=-1.31hPa|grav_cor=0.55hPa|slp_cor=2.99hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.36hPa
1697	7	3	12	0	0	1012.7	orig=29.79inHg|orig.date=1697-06-23|ATB=22.1C|PTC=Y|PGC=Y|temp_cor=-2.28hPa|grav_cor=0.55hPa|slp_cor=2.98hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+2.67hPa
1697	7	3	21	0	0	1014	orig=29.79inHg|orig.date=1697-06-23|ATB=14.8C|PTC=Y|PGC=Y|temp_cor=-1.53hPa|grav_cor=0.55hPa|slp_cor=2.99hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.22hPa
1697	7	4	6	0	0	1013.7	orig=29.77inHg|orig.date=1697-06-24|ATB=12.8C|PTC=Y|PGC=Y|temp_cor=-1.32hPa|grav_cor=0.55hPa|slp_cor=2.99hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.38hPa
1697	7	4	12	0	0	1012.3	orig=29.78inHg|orig.date=1697-06-24|ATB=22.1C|PTC=Y|PGC=Y|temp_cor=-2.29hPa|grav_cor=0.55hPa|slp_cor=2.98hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+2.62hPa
1697	7	4	21	0	0	1013.7	orig=29.78inHg|orig.date=1697-06-24|ATB=14.9C|PTC=Y|PGC=Y|temp_cor=-1.54hPa|grav_cor=0.55hPa|slp_cor=2.99hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.27hPa
1697	7	5	6	0	0	1012.7	orig=29.74inHg|orig.date=1697-06-25|ATB=12.8C|PTC=Y|PGC=Y|temp_cor=-1.32hPa|grav_cor=0.55hPa|slp_cor=2.98hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.4hPa
1697	7	5	12	0	0	1010.6	orig=29.73inHg|orig.date=1697-06-25|ATB=22.2C|PTC=Y|PGC=Y|temp_cor=-2.29hPa|grav_cor=0.55hPa|slp_cor=2.98hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+2.62hPa
1697	7	5	21	0	0	1011.3	orig=29.71inHg|orig.date=1697-06-25|ATB=15C|PTC=Y|PGC=Y|temp_cor=-1.54hPa|grav_cor=0.55hPa|slp_cor=2.98hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.25hPa
1697	7	6	6	0	0	1011.7	orig=29.71inHg|orig.date=1697-06-26|ATB=12.8C|PTC=Y|PGC=Y|temp_cor=-1.32hPa|grav_cor=0.55hPa|slp_cor=2.98hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.43hPa
1697	7	6	12	0	0	1009.9	orig=29.71inHg|orig.date=1697-06-26|ATB=22.3C|PTC=Y|PGC=Y|temp_cor=-2.3hPa|grav_cor=0.55hPa|slp_cor=2.98hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+2.61hPa
1697	7	6	21	0	0	1011.9	orig=29.73inHg|orig.date=1697-06-26|ATB=15.1C|PTC=Y|PGC=Y|temp_cor=-1.55hPa|grav_cor=0.55hPa|slp_cor=2.98hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.18hPa
1697	7	7	6	0	0	1012.7	orig=29.74inHg|orig.date=1697-06-27|ATB=12.9C|PTC=Y|PGC=Y|temp_cor=-1.33hPa|grav_cor=0.55hPa|slp_cor=2.98hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.41hPa
1697	7	7	12	0	0	1010.6	orig=29.73inHg|orig.date=1697-06-27|ATB=22.4C|PTC=Y|PGC=Y|temp_cor=-2.31hPa|grav_cor=0.55hPa|slp_cor=2.98hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+2.64hPa
1697	7	7	21	0	0	1012.3	orig=29.74inHg|orig.date=1697-06-27|ATB=15.1C|PTC=Y|PGC=Y|temp_cor=-1.56hPa|grav_cor=0.55hPa|slp_cor=2.98hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.24hPa
1697	7	8	6	0	0	1015	orig=29.81inHg|orig.date=1697-06-28|ATB=12.9C|PTC=Y|PGC=Y|temp_cor=-1.34hPa|grav_cor=0.55hPa|slp_cor=2.99hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.34hPa
1697	7	8	12	0	0	1014	orig=29.83inHg|orig.date=1697-06-28|ATB=22.4C|PTC=Y|PGC=Y|temp_cor=-2.32hPa|grav_cor=0.55hPa|slp_cor=2.99hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+2.65hPa
1697	7	8	21	0	0	1016.3	orig=29.86inHg|orig.date=1697-06-28|ATB=15.2C|PTC=Y|PGC=Y|temp_cor=-1.57hPa|grav_cor=0.55hPa|slp_cor=2.99hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.18hPa
1697	7	9	6	0	0	1016.4	orig=29.85inHg|orig.date=1697-06-29|ATB=13C|PTC=Y|PGC=Y|temp_cor=-1.34hPa|grav_cor=0.55hPa|slp_cor=2.99hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.39hPa
1697	7	9	12	0	0	1014.6	orig=29.85inHg|orig.date=1697-06-29|ATB=22.5C|PTC=Y|PGC=Y|temp_cor=-2.33hPa|grav_cor=0.55hPa|slp_cor=2.99hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+2.58hPa
1697	7	9	21	0	0	1016.7	orig=29.87inHg|orig.date=1697-06-29|ATB=15.3C|PTC=Y|PGC=Y|temp_cor=-1.58hPa|grav_cor=0.55hPa|slp_cor=3hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.25hPa
1697	7	10	6	0	0	1017.4	orig=29.88inHg|orig.date=1697-06-30|ATB=13C|PTC=Y|PGC=Y|temp_cor=-1.35hPa|grav_cor=0.55hPa|slp_cor=3hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.37hPa
1697	7	10	12	0	0	1015.6	orig=29.88inHg|orig.date=1697-06-30|ATB=22.6C|PTC=Y|PGC=Y|temp_cor=-2.34hPa|grav_cor=0.55hPa|slp_cor=2.99hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+2.57hPa
