SEF	1.0.0
ID	27
Name	John Locke
Lat	51.76
Lon	0.21
Alt	55
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1691	12	21	10	0	0	1037.8	orig=30.04inHg|orig.date=1691-12-11|ATB=3.5C|PTC=Y|PGC=Y|temp_cor=-0.36hPa|grav_cor=0.57hPa|slp_cor=6.69hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+13.67hPa
1691	12	22	9	0	0	1036.1	orig=30.03inHg|orig.date=1691-12-12|ATB=3.4C|PTC=Y|PGC=Y|temp_cor=-0.36hPa|grav_cor=0.57hPa|slp_cor=6.68hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+12.31hPa
1691	12	23	9	0	0	1031	orig=30inHg|orig.date=1691-12-13|ATB=3.4C|PTC=Y|PGC=Y|temp_cor=-0.35hPa|grav_cor=0.56hPa|slp_cor=6.64hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+8.26hPa
1691	12	24	9	0	0	1025.9	orig=29.17inHg|orig.date=1691-12-14|ATB=3.3C|PTC=Y|PGC=Y|temp_cor=-0.35hPa|grav_cor=0.56hPa|slp_cor=6.61hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+31.29hPa
1691	12	25	9	0	0	1031	orig=30inHg|orig.date=1691-12-15|ATB=3.3C|PTC=Y|PGC=Y|temp_cor=-0.34hPa|grav_cor=0.56hPa|slp_cor=6.64hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+8.25hPa
1691	12	26	9	0	0	1037.8	orig=30.04inHg|orig.date=1691-12-16|ATB=3.2C|PTC=Y|PGC=Y|temp_cor=-0.34hPa|grav_cor=0.57hPa|slp_cor=6.69hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+13.64hPa
1691	12	27	9	0	0	1041.2	orig=30.06inHg|orig.date=1691-12-17|ATB=3.2C|PTC=Y|PGC=Y|temp_cor=-0.34hPa|grav_cor=0.57hPa|slp_cor=6.71hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+16.34hPa
1691	12	28	9	0	0	1039.5	orig=30.05inHg|orig.date=1691-12-18|ATB=3.1C|PTC=Y|PGC=Y|temp_cor=-0.33hPa|grav_cor=0.57hPa|slp_cor=6.7hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+14.98hPa
1691	12	29	9	0	0	1036.1	orig=30.03inHg|orig.date=1691-12-19|ATB=3.1C|PTC=Y|PGC=Y|temp_cor=-0.32hPa|grav_cor=0.57hPa|slp_cor=6.68hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+12.28hPa
1691	12	30	0	0	0	1029.2	orig=29.19inHg|orig.date=1691-12-20|ATB=3.7C|PTC=Y|PGC=Y|temp_cor=-0.38hPa|grav_cor=0.56hPa|slp_cor=6.63hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+33.93hPa
1691	12	30	10	0	0	1027.6	orig=29.18inHg|orig.date=1691-12-20|ATB=3.1C|PTC=Y|PGC=Y|temp_cor=-0.32hPa|grav_cor=0.56hPa|slp_cor=6.62hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+32.61hPa
1691	12	31	9	0	0	1029.3	orig=29.19inHg|orig.date=1691-12-21|ATB=3C|PTC=Y|PGC=Y|temp_cor=-0.31hPa|grav_cor=0.56hPa|slp_cor=6.63hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+33.96hPa
1692	1	1	9	0	0	1023.3	orig=29.18inHg|orig.date=1691-12-22|ATB=3C|PTC=Y|PGC=Y|temp_cor=-0.31hPa|grav_cor=0.56hPa|slp_cor=6.62hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+28.3hPa
1692	1	3	21	0	0	1016.4	orig=29.14inHg|orig.date=1691-12-24|ATB=3.4C|PTC=Y|PGC=Y|temp_cor=-0.35hPa|grav_cor=0.56hPa|slp_cor=6.58hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+22.85hPa
1692	1	4	21	0	0	1018.1	orig=29.15inHg|orig.date=1691-12-25|ATB=3.3C|PTC=Y|PGC=Y|temp_cor=-0.34hPa|grav_cor=0.56hPa|slp_cor=6.59hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+24.19hPa
1692	1	5	21	0	0	1014.7	orig=29.13inHg|orig.date=1691-12-26|ATB=3.3C|PTC=Y|PGC=Y|temp_cor=-0.34hPa|grav_cor=0.56hPa|slp_cor=6.57hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+21.49hPa
1692	1	6	0	0	0	1013	orig=29.12inHg|orig.date=1691-12-27|ATB=3.3C|PTC=Y|PGC=Y|temp_cor=-0.33hPa|grav_cor=0.56hPa|slp_cor=6.55hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+20.14hPa
1692	1	6	18	0	0	1002.8	orig=29.06inHg|orig.date=1691-12-27|ATB=3.2C|PTC=Y|PGC=Y|temp_cor=-0.33hPa|grav_cor=0.55hPa|slp_cor=6.49hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+12.03hPa
1692	1	7	16	0	0	1007.6	orig=29.09inHg|orig.date=1691-12-28|ATB=4.8C|PTC=Y|PGC=Y|temp_cor=-0.49hPa|grav_cor=0.55hPa|slp_cor=6.52hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+15.95hPa
1692	1	7	22	0	0	1006.2	orig=29.08inHg|orig.date=1691-12-28|ATB=3.1C|PTC=Y|PGC=Y|temp_cor=-0.32hPa|grav_cor=0.55hPa|slp_cor=6.51hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+14.72hPa
1692	1	8	0	0	0	1004.5	orig=29.07inHg|orig.date=1691-12-29|ATB=3.1C|PTC=Y|PGC=Y|temp_cor=-0.32hPa|grav_cor=0.55hPa|slp_cor=6.5hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+13.37hPa
1692	1	8	9	0	0	999.5	orig=29.04inHg|orig.date=1691-12-29|ATB=2.6C|PTC=Y|PGC=Y|temp_cor=-0.27hPa|grav_cor=0.55hPa|slp_cor=6.47hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+9.37hPa
1692	1	8	13	0	0	999.1	orig=29.04inHg|orig.date=1691-12-29|ATB=4.8C|PTC=Y|PGC=Y|temp_cor=-0.48hPa|grav_cor=0.55hPa|slp_cor=6.46hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+9.19hPa
1692	1	9	8	0	0	1009.7	orig=29.1inHg|orig.date=1691-12-30|ATB=2.6C|PTC=Y|PGC=Y|temp_cor=-0.26hPa|grav_cor=0.55hPa|slp_cor=6.53hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+17.47hPa
1692	1	10	9	0	0	1013.1	orig=29.12inHg|orig.date=1691-12-31|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.26hPa|grav_cor=0.56hPa|slp_cor=6.56hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+20.16hPa
1692	1	10	17	0	0	1009.6	orig=29.1inHg|orig.date=1691-12-31|ATB=3C|PTC=Y|PGC=Y|temp_cor=-0.3hPa|grav_cor=0.55hPa|slp_cor=6.53hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+17.41hPa
1692	1	11	9	0	0	1011.4	orig=29.11inHg|orig.date=1692-01-01|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.25hPa|grav_cor=0.56hPa|slp_cor=6.54hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+18.8hPa
1692	1	12	9	0	0	1016.5	orig=29.14inHg|orig.date=1692-01-02|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.25hPa|grav_cor=0.56hPa|slp_cor=6.58hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+22.85hPa
1692	1	13	9	0	0	1006.3	orig=29.08inHg|orig.date=1692-01-03|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.25hPa|grav_cor=0.55hPa|slp_cor=6.51hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+14.75hPa
1692	1	14	8	0	0	1011.4	orig=29.11inHg|orig.date=1692-01-04|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.25hPa|grav_cor=0.56hPa|slp_cor=6.54hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+18.8hPa
1692	1	15	9	0	0	1014.8	orig=29.13inHg|orig.date=1692-01-05|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.25hPa|grav_cor=0.56hPa|slp_cor=6.57hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+21.5hPa
1692	1	16	8	0	0	1011.4	orig=29.11inHg|orig.date=1692-01-06|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.25hPa|grav_cor=0.56hPa|slp_cor=6.54hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+18.81hPa
1692	1	16	16	0	0	1005.9	orig=29.08inHg|orig.date=1692-01-06|ATB=4.8C|PTC=Y|PGC=Y|temp_cor=-0.49hPa|grav_cor=0.55hPa|slp_cor=6.51hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+14.6hPa
1692	1	16	20	0	0	1002.8	orig=29.06inHg|orig.date=1692-01-06|ATB=2.8C|PTC=Y|PGC=Y|temp_cor=-0.28hPa|grav_cor=0.55hPa|slp_cor=6.49hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+11.98hPa
1692	1	17	10	0	0	1004.6	orig=29.07inHg|orig.date=1692-01-07|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.25hPa|grav_cor=0.55hPa|slp_cor=6.5hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+13.41hPa
1692	1	18	0	0	0	1021.6	orig=29.17inHg|orig.date=1692-01-08|ATB=2.8C|PTC=Y|PGC=Y|temp_cor=-0.29hPa|grav_cor=0.56hPa|slp_cor=6.61hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+26.94hPa
1692	1	18	9	0	0	1026.7	orig=30inHg|orig.date=1692-01-08|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.26hPa|grav_cor=0.56hPa|slp_cor=6.64hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+3.86hPa
1692	1	19	9	0	0	1023.3	orig=29.18inHg|orig.date=1692-01-09|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.26hPa|grav_cor=0.56hPa|slp_cor=6.62hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+28.26hPa
1692	1	19	20	0	0	1018.2	orig=29.15inHg|orig.date=1692-01-09|ATB=2.8C|PTC=Y|PGC=Y|temp_cor=-0.29hPa|grav_cor=0.56hPa|slp_cor=6.59hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+24.24hPa
1692	1	20	9	0	0	1023.3	orig=29.18inHg|orig.date=1692-01-10|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.26hPa|grav_cor=0.56hPa|slp_cor=6.62hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+28.26hPa
1692	1	21	9	0	0	1033.6	orig=30.04inHg|orig.date=1692-01-11|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.26hPa|grav_cor=0.57hPa|slp_cor=6.69hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+9.37hPa
1692	1	22	9	0	0	1042.1	orig=30.09inHg|orig.date=1692-01-12|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.27hPa|grav_cor=0.57hPa|slp_cor=6.74hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+16.11hPa
1692	1	23	9	0	0	1042.1	orig=30.09inHg|orig.date=1692-01-13|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.27hPa|grav_cor=0.57hPa|slp_cor=6.74hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+16.12hPa
1692	1	24	9	0	0	1038.7	orig=30.07inHg|orig.date=1692-01-14|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.27hPa|grav_cor=0.57hPa|slp_cor=6.72hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+13.42hPa
1692	1	25	9	0	0	1037	orig=30.06inHg|orig.date=1692-01-15|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.27hPa|grav_cor=0.57hPa|slp_cor=6.71hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+12.07hPa
1692	1	26	9	0	0	1030.1	orig=30.02inHg|orig.date=1692-01-16|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.26hPa|grav_cor=0.57hPa|slp_cor=6.67hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+6.57hPa
1692	1	27	10	0	0	1023.3	orig=29.18inHg|orig.date=1692-01-17|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.26hPa|grav_cor=0.56hPa|slp_cor=6.62hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+28.26hPa
1692	1	28	8	0	0	1013.1	orig=29.12inHg|orig.date=1692-01-18|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.26hPa|grav_cor=0.56hPa|slp_cor=6.56hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+20.16hPa
1692	1	29	9	0	0	1008	orig=29.09inHg|orig.date=1692-01-19|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.26hPa|grav_cor=0.55hPa|slp_cor=6.52hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+16.11hPa
1692	1	30	8	0	0	1001.2	orig=29.05inHg|orig.date=1692-01-20|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.26hPa|grav_cor=0.55hPa|slp_cor=6.48hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+10.71hPa
1692	1	31	9	0	0	1002.9	orig=29.06inHg|orig.date=1692-01-21|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.26hPa|grav_cor=0.55hPa|slp_cor=6.49hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+12.06hPa
1692	2	1	9	0	0	1011.7	orig=29.09inHg|orig.date=1692-01-22|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.26hPa|grav_cor=0.55hPa|slp_cor=6.52hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+19.81hPa
1692	2	2	9	0	0	1015.1	orig=29.11inHg|orig.date=1692-01-23|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.26hPa|grav_cor=0.56hPa|slp_cor=6.54hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+22.51hPa
1692	2	3	9	0	0	1015.1	orig=29.11inHg|orig.date=1692-01-24|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.26hPa|grav_cor=0.56hPa|slp_cor=6.54hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+22.51hPa
1692	2	4	9	0	0	1013.4	orig=29.1inHg|orig.date=1692-01-25|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.26hPa|grav_cor=0.55hPa|slp_cor=6.53hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+21.16hPa
1692	2	5	9	0	0	1011.7	orig=29.09inHg|orig.date=1692-01-26|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.26hPa|grav_cor=0.55hPa|slp_cor=6.52hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+19.81hPa
