SEF	1.0.0
ID	28
Name	Gresham College
Lat	51.52
Lon	0.11
Alt	55
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1693	1	11	8	0	0	1012.8	orig=29.07inHg|orig.date=1693-01-01|ATB=1.2C|PTC=Y|PGC=Y|temp_cor=-0.12hPa|grav_cor=0.53hPa|slp_cor=6.55hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+21.44hPa
1693	1	12	8	0	0	1012.4	orig=29.07inHg|orig.date=1693-01-02|ATB=3.4C|PTC=Y|PGC=Y|temp_cor=-0.34hPa|grav_cor=0.53hPa|slp_cor=6.55hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+21.27hPa
1693	1	13	8	0	0	1012.5	orig=29.07inHg|orig.date=1693-01-03|ATB=2.9C|PTC=Y|PGC=Y|temp_cor=-0.3hPa|grav_cor=0.53hPa|slp_cor=6.55hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+21.32hPa
1693	1	14	8	0	0	1012.6	orig=29.07inHg|orig.date=1693-01-04|ATB=1.9C|PTC=Y|PGC=Y|temp_cor=-0.2hPa|grav_cor=0.53hPa|slp_cor=6.55hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+21.32hPa
1693	1	15	8	0	0	1029.7	orig=30.01inHg|orig.date=1693-01-05|ATB=1.9C|PTC=Y|PGC=Y|temp_cor=-0.2hPa|grav_cor=0.54hPa|slp_cor=6.66hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+6.47hPa
1693	1	16	8	0	0	1041.4	orig=30.05inHg|orig.date=1693-01-06|ATB=0.2C|PTC=Y|PGC=Y|temp_cor=-0.03hPa|grav_cor=0.55hPa|slp_cor=6.74hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+16.56hPa
1693	1	17	8	0	0	1041.5	orig=30.05inHg|orig.date=1693-01-07|ATB=-0.7C|PTC=Y|PGC=Y|temp_cor=0.08hPa|grav_cor=0.55hPa|slp_cor=6.74hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+16.55hPa
1693	1	18	8	0	0	1038.8	orig=30.04inHg|orig.date=1693-01-08|ATB=-1.2C|PTC=Y|PGC=Y|temp_cor=0.13hPa|grav_cor=0.55hPa|slp_cor=6.72hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+14.16hPa
1693	1	19	8	0	0	1038.7	orig=30.04inHg|orig.date=1693-01-09|ATB=-0.7C|PTC=Y|PGC=Y|temp_cor=0.08hPa|grav_cor=0.55hPa|slp_cor=6.72hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+14.11hPa
1693	1	20	8	0	0	1038.6	orig=30.04inHg|orig.date=1693-01-10|ATB=0C|PGC=Y|grav_cor=0.55hPa|slp_cor=6.72hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+14.09hPa
1693	1	21	8	0	0	1038.6	orig=30.04inHg|orig.date=1693-01-11|ATB=0C|PGC=Y|grav_cor=0.55hPa|slp_cor=6.72hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+14.09hPa
1693	1	22	8	0	0	1038.6	orig=30.04inHg|orig.date=1693-01-12|ATB=0C|PGC=Y|grav_cor=0.55hPa|slp_cor=6.72hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+14.09hPa
1693	1	23	8	0	0	1036	orig=30.03inHg|orig.date=1693-01-13|ATB=-1.4C|PTC=Y|PGC=Y|temp_cor=0.15hPa|grav_cor=0.55hPa|slp_cor=6.7hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+11.69hPa
1693	1	24	8	0	0	1036	orig=30.03inHg|orig.date=1693-01-14|ATB=-1.7C|PTC=Y|PGC=Y|temp_cor=0.18hPa|grav_cor=0.55hPa|slp_cor=6.7hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+11.67hPa
1693	1	25	8	0	0	1036.2	orig=30.03inHg|orig.date=1693-01-15|ATB=-2.4C|PTC=Y|PGC=Y|temp_cor=0.25hPa|grav_cor=0.55hPa|slp_cor=6.71hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+11.79hPa
1693	1	26	8	0	0	1039.2	orig=30.04inHg|orig.date=1693-01-16|ATB=-3.6C|PTC=Y|PGC=Y|temp_cor=0.38hPa|grav_cor=0.55hPa|slp_cor=6.73hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+14.31hPa
1693	1	27	8	0	0	1039.1	orig=30.04inHg|orig.date=1693-01-17|ATB=-3.1C|PTC=Y|PGC=Y|temp_cor=0.33hPa|grav_cor=0.55hPa|slp_cor=6.72hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+14.26hPa
1693	1	28	8	0	0	1033.4	orig=30.02inHg|orig.date=1693-01-18|ATB=-2.6C|PTC=Y|PGC=Y|temp_cor=0.28hPa|grav_cor=0.55hPa|slp_cor=6.69hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+9.33hPa
1693	1	29	8	0	0	1030.5	orig=30.01inHg|orig.date=1693-01-19|ATB=-2.4C|PTC=Y|PGC=Y|temp_cor=0.25hPa|grav_cor=0.54hPa|slp_cor=6.67hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+6.81hPa
1693	1	30	8	0	0	1010.3	orig=29.06inHg|orig.date=1693-01-20|ATB=-0.7C|PTC=Y|PGC=Y|temp_cor=0.07hPa|grav_cor=0.53hPa|slp_cor=6.54hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+19.1hPa
1693	1	31	8	0	0	1018.7	orig=29.09inHg|orig.date=1693-01-21|ATB=0C|PGC=Y|grav_cor=0.54hPa|slp_cor=6.59hPa|drybulb_temp=15C|qc=0|Adjusted=Y|Correction=+26.5hPa
