SEF	1.0.0
ID	29
Name	DWR
Lat	51.502
Lon	-0.126
Alt	5
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1861	7	20	9	0	0	1006.4	qc=0|PTC=Y|PGC=Y|Adjusted=N
1861	7	22	9	0	0	1009.8	qc=0|PTC=Y|PGC=Y|Adjusted=N
1861	8	12	9	0	0	1009.8	qc=0|PTC=Y|PGC=Y|Adjusted=N
1861	8	13	9	0	0	1011.9	qc=0|PTC=Y|PGC=Y|Adjusted=N
1861	8	19	9	0	0	1014.6	qc=0|PTC=Y|PGC=Y|Adjusted=N
1861	8	26	9	0	0	1023	qc=0|PTC=Y|PGC=Y|Adjusted=N
1861	9	11	9	0	0	1015.9	qc=0|PTC=Y|PGC=Y|Adjusted=N
1861	9	12	9	0	0	1019.6	qc=0|PTC=Y|PGC=Y|Adjusted=N
1861	10	4	9	0	0	1022.4	qc=0|PTC=Y|PGC=Y|Adjusted=N
1861	10	8	9	0	0	1012.9	qc=0|PTC=Y|PGC=Y|Adjusted=N
1861	10	9	9	0	0	1013.2	qc=0|PTC=Y|PGC=Y|Adjusted=N
1861	10	10	8	0	0	1016.3	qc=0|PTC=Y|PGC=Y|Adjusted=N
1861	10	11	8	0	0	998	qc=0|PTC=Y|PGC=Y|Adjusted=N
1861	11	9	8	0	0	997.6	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	3	20	8	0	0	998.6	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	3	21	8	0	0	995.6	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	3	22	8	0	0	1014.6	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	3	24	8	0	0	1001.7	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	3	25	8	0	0	998.6	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	3	26	8	0	0	1001.4	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	3	28	8	0	0	990.2	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	3	31	8	0	0	1000	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	5	7	8	0	0	1011.9	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	5	8	8	0	0	1013.9	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	5	9	8	0	0	1002.4	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	5	10	8	0	0	1003	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	5	12	8	0	0	1003.4	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	5	31	8	0	0	1010.8	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	6	13	8	0	0	999.3	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	6	16	8	0	0	1014.2	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	7	6	8	0	0	998.3	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	10	4	8	0	0	1031.5	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	10	8	8	0	0	1026.8	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	10	9	8	0	0	1027.1	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	10	20	8	0	0	990.5	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	10	21	8	0	0	1007.1	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	12	29	8	0	0	1002.7	qc=0|PTC=Y|PGC=Y|Adjusted=N
1862	12	30	8	0	0	998	qc=0|PTC=Y|PGC=Y|Adjusted=N
1863	1	26	8	0	0	1027.4	qc=0|PTC=Y|PGC=Y|Adjusted=N
1863	4	15	8	0	0	1016.9	qc=0|PTC=Y|PGC=Y|Adjusted=N
1863	8	20	8	0	0	1014.2	qc=0|PTC=Y|PGC=Y|Adjusted=N
1864	1	2	8	0	0	1031.8	qc=0|PTC=Y|PGC=Y|Adjusted=N
