SEF	1.0.0
ID	31
Name	The Gentleman's Magazine (Cary et al.)
Lat	51.51
Lon	-0.11
Alt	15
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1824	3	15	9	0	0	1019.6	orig=30.04inHg|PGC=Y|grav_cor=0.55hPa|slp_cor=1.81hPa|drybulb_temp=15C|qc=0|Adjusted=N
1825	3	18	9	0	0	1038	orig=30.58inHg|PGC=Y|grav_cor=0.56hPa|slp_cor=1.84hPa|drybulb_temp=15C|qc=0|Adjusted=N
1825	7	21	9	0	0	1027.1	orig=30.26inHg|PGC=Y|grav_cor=0.56hPa|slp_cor=1.83hPa|drybulb_temp=15C|qc=0|Adjusted=N
1825	7	25	9	0	0	1028.8	orig=30.31inHg|PGC=Y|grav_cor=0.56hPa|slp_cor=1.83hPa|drybulb_temp=15C|qc=0|Adjusted=N
1825	7	31	9	0	0	1017.9	orig=29.99inHg|PGC=Y|grav_cor=0.55hPa|slp_cor=1.81hPa|drybulb_temp=15C|qc=0|Adjusted=N
1825	8	13	9	0	0	1001.3	orig=29.5inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=1.78hPa|drybulb_temp=15C|qc=0|Adjusted=N
1825	8	15	9	0	0	1004.7	orig=29.6inHg|PGC=Y|grav_cor=0.55hPa|slp_cor=1.79hPa|drybulb_temp=15C|qc=0|Adjusted=N
1825	8	22	9	0	0	1028.8	orig=30.31inHg|PGC=Y|grav_cor=0.56hPa|slp_cor=1.83hPa|drybulb_temp=15C|qc=0|Adjusted=N
1825	9	5	9	0	0	1021.3	orig=30.09inHg|PGC=Y|grav_cor=0.56hPa|slp_cor=1.81hPa|drybulb_temp=15C|qc=0|Adjusted=N
1825	9	13	9	0	0	1010.1	orig=29.76inHg|PGC=Y|grav_cor=0.55hPa|slp_cor=1.79hPa|drybulb_temp=15C|qc=0|Adjusted=N
1825	10	3	9	0	0	1007.1	orig=29.67inHg|PGC=Y|grav_cor=0.55hPa|slp_cor=1.79hPa|drybulb_temp=15C|qc=0|Adjusted=N
1825	10	15	9	0	0	1036.9	orig=30.55inHg|PGC=Y|grav_cor=0.56hPa|slp_cor=1.84hPa|drybulb_temp=15C|qc=0|Adjusted=N
1826	1	14	9	0	0	1021.7	orig=30.1inHg|PGC=Y|grav_cor=0.56hPa|slp_cor=1.82hPa|drybulb_temp=15C|qc=0|Adjusted=N
1826	2	16	9	0	0	1009.8	orig=29.75inHg|PGC=Y|grav_cor=0.55hPa|slp_cor=1.79hPa|drybulb_temp=15C|qc=0|Adjusted=N
