SEF	1.0.0
ID	32
Name	Royal Observatory Greenwich - Upper magnet room (Missing Fill)
Lat	51.48
Lon	0
Alt	48.5
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1857	2	4	9	0	0	1023.7	orig=30.028inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=6.23hPa|drybulb_temp=-1.7C|capil_cor=0.002inHg|qc=0|Adjusted=N
1857	2	4	12	0	0	1025.2	orig=30.072inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=6.24hPa|drybulb_temp=-1.7C|capil_cor=0.002inHg|qc=0|Adjusted=N
1857	2	4	15	0	0	1025.4	orig=30.079inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=6.24hPa|drybulb_temp=-1.7C|capil_cor=0.002inHg|qc=0|Adjusted=N
1857	2	5	9	0	0	1024.1	orig=30.041inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=6.21hPa|drybulb_temp=-0.7C|capil_cor=0.002inHg|qc=0|Adjusted=N
1857	2	5	12	0	0	1022.6	orig=29.996inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=6.2hPa|drybulb_temp=-0.7C|capil_cor=0.002inHg|qc=0|Adjusted=N
1857	2	5	15	0	0	1020.5	orig=29.934inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=6.18hPa|drybulb_temp=-0.7C|capil_cor=0.002inHg|qc=0|Adjusted=N
1861	7	13	9	0	0	1002.6	orig=29.421inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.7hPa|drybulb_temp=17.4C|capil_cor=0.002inHg|qc=0|Adjusted=N
1861	7	13	15	0	0	1000.9	orig=29.372inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.69hPa|drybulb_temp=17.4C|capil_cor=0.002inHg|qc=0|Adjusted=N
1861	7	14	12	0	0	1003.7	orig=29.452inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.72hPa|drybulb_temp=16.5C|capil_cor=0.002inHg|qc=0|Adjusted=N
1861	7	15	9	0	0	1005.9	orig=29.516inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.74hPa|drybulb_temp=16.2C|capil_cor=0.002inHg|qc=0|Adjusted=N
1861	7	16	9	0	0	1005.7	orig=29.51inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.73hPa|drybulb_temp=16.7C|capil_cor=0.002inHg|qc=0|Adjusted=N
1861	7	17	9	0	0	1015.1	orig=29.788inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.8hPa|drybulb_temp=15.9C|capil_cor=0.002inHg|qc=0|Adjusted=N
1861	7	18	9	0	0	1009.4	orig=29.619inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.76hPa|drybulb_temp=16.1C|capil_cor=0.002inHg|qc=0|Adjusted=N
1861	7	19	9	0	0	1008.2	orig=29.583inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.77hPa|drybulb_temp=15.3C|capil_cor=0.002inHg|qc=0|Adjusted=N
1861	7	19	12	0	0	1008.3	orig=29.586inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.77hPa|drybulb_temp=15.3C|capil_cor=0.002inHg|qc=0|Adjusted=N
1861	7	19	15	0	0	1008	orig=29.577inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.77hPa|drybulb_temp=15.3C|capil_cor=0.002inHg|qc=0|Adjusted=N
1861	9	19	9	0	0	1023.2	orig=30.022inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.88hPa|drybulb_temp=14.1C|capil_cor=0.002inHg|qc=0|Adjusted=N
1861	9	20	9	0	0	1012.1	orig=29.696inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.85hPa|drybulb_temp=12.6C|capil_cor=0.002inHg|qc=0|Adjusted=N
1862	4	11	9	0	0	1021.6	orig=29.969inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=6.08hPa|drybulb_temp=4.2C|capil_cor=0.002inHg|qc=0|Adjusted=N
1862	4	11	12	0	0	1022.4	orig=29.994inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=6.09hPa|drybulb_temp=4.2C|capil_cor=0.002inHg|qc=0|Adjusted=N
1862	4	17	9	0	0	1012.6	orig=29.71inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.92hPa|drybulb_temp=9.2C|capil_cor=0.002inHg|qc=0|Adjusted=N
1862	4	18	9	0	0	1014.2	orig=29.755inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.93hPa|drybulb_temp=9.3C|capil_cor=0.002inHg|qc=0|Adjusted=N
1862	4	24	9	0	0	1018.9	orig=29.896inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.9hPa|drybulb_temp=12.2C|capil_cor=0.002inHg|qc=0|Adjusted=N
1862	4	24	12	0	0	1017.7	orig=29.861inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.89hPa|drybulb_temp=12.2C|capil_cor=0.002inHg|qc=0|Adjusted=N
1862	4	24	15	0	0	1016.1	orig=29.814inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.88hPa|drybulb_temp=12.2C|capil_cor=0.002inHg|qc=0|Adjusted=N
1862	4	25	9	0	0	1012.7	orig=29.716inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.79hPa|drybulb_temp=15.7C|capil_cor=0.002inHg|qc=0|Adjusted=N
1862	4	25	15	0	0	1012.1	orig=29.698inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.79hPa|drybulb_temp=15.7C|capil_cor=0.002inHg|qc=0|Adjusted=N
1862	5	13	9	0	0	1014.3	orig=29.759inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.91hPa|drybulb_temp=10.3C|capil_cor=0.002inHg|qc=0|Adjusted=N
1862	5	14	9	0	0	1013.8	orig=29.745inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.91hPa|drybulb_temp=10C|capil_cor=0.002inHg|qc=0|Adjusted=N
1862	5	15	9	0	0	1014.3	orig=29.759inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.95hPa|drybulb_temp=8.3C|capil_cor=0.002inHg|qc=0|Adjusted=N
1862	7	14	9	0	0	1013	orig=29.727inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.76hPa|drybulb_temp=17.3C|capil_cor=0.002inHg|qc=0|Adjusted=N
1862	7	14	12	0	0	1012.5	orig=29.711inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.76hPa|drybulb_temp=17.3C|capil_cor=0.002inHg|qc=0|Adjusted=N
1862	7	14	15	0	0	1012	orig=29.698inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.76hPa|drybulb_temp=17.3C|capil_cor=0.002inHg|qc=0|Adjusted=N
1862	9	5	9	0	0	1011.1	orig=29.667inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.85hPa|drybulb_temp=12.4C|capil_cor=0.002inHg|qc=0|Adjusted=N
1862	9	6	9	0	0	1015.6	orig=29.801inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.84hPa|drybulb_temp=14C|capil_cor=0.002inHg|qc=0|Adjusted=N
1862	9	6	15	0	0	1015.4	orig=29.793inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.84hPa|drybulb_temp=14C|capil_cor=0.002inHg|qc=0|Adjusted=N
