SEF	1.0.0
ID	36
Name	MO Kingsway (DWR)
Lat	51.52
Lon	-0.12
Alt	8
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1919	4	5	22	0	0	1017.6	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	6	1	0	0	1017.6	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	6	22	0	0	1016.2	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	7	1	0	0	1015.2	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	7	22	0	0	1008.5	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	8	1	0	0	1006.5	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	8	22	0	0	1004.5	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	9	1	0	0	1005.5	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	9	22	0	0	1009.2	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	10	1	0	0	1013.2	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	10	22	0	0	1014.8	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	11	1	0	0	1016.8	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	11	22	0	0	1018.2	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	12	1	0	0	1017.2	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	12	22	0	0	1013.6	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	13	1	0	0	1012.6	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	13	22	0	0	1007.5	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	14	1	0	0	1002.5	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	14	22	0	0	980	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	15	1	0	0	977	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	15	22	0	0	991.3	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	16	1	0	0	994.3	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	16	22	0	0	1018.4	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	17	1	0	0	1020.4	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	17	22	0	0	1027.1	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	18	1	0	0	1027.1	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	18	22	0	0	1029.9	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	19	1	0	0	1029.9	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	19	22	0	0	1030.8	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	20	1	0	0	1030.8	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	20	22	0	0	1038.7	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	21	1	0	0	1038.7	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	21	22	0	0	1037.2	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	22	1	0	0	1037.2	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	22	22	0	0	1029.1	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	23	1	0	0	1026.1	qc=0|PTC=Y|PGC=Y|Adjusted=N
1919	4	23	22	0	0	1019.1	qc=0|PTC=Y|PGC=Y|Adjusted=N
