SEF	1.0.0
ID	7
Name	Royal Observatory Greenwich - New manetograph house
Lat	51.48
Lon	0
Alt	46.3
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1917	4	3	9	0	0	996	orig=29.226inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.71hPa|drybulb_temp=1.9C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	3	12	0	0	997	orig=29.254inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.71hPa|drybulb_temp=1.9C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	3	15	0	0	996.9	orig=29.253inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.71hPa|drybulb_temp=1.9C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	4	9	0	0	1001.3	orig=29.381inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.73hPa|drybulb_temp=2.2C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	4	12	0	0	1002.3	orig=29.412inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.74hPa|drybulb_temp=2.2C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	4	15	0	0	1003	orig=29.432inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.74hPa|drybulb_temp=2.2C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	5	9	0	0	1009.7	orig=29.628inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.73hPa|drybulb_temp=4.5C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	5	12	0	0	1009.7	orig=29.63inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.73hPa|drybulb_temp=4.5C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	5	15	0	0	1009.5	orig=29.622inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.73hPa|drybulb_temp=4.5C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	6	9	0	0	1010.6	orig=29.654inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.76hPa|drybulb_temp=3.4C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	6	12	0	0	1011.1	orig=29.669inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.76hPa|drybulb_temp=3.4C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	6	15	0	0	1010.4	orig=29.649inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.76hPa|drybulb_temp=3.4C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	7	9	0	0	1014.6	orig=29.771inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.8hPa|drybulb_temp=2.5C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	7	12	0	0	1014.5	orig=29.769inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.8hPa|drybulb_temp=2.5C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	7	15	0	0	1014.7	orig=29.776inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.8hPa|drybulb_temp=2.5C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	8	9	0	0	1014	orig=29.756inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.75hPa|drybulb_temp=4.8C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	8	12	0	0	1011.5	orig=29.682inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.74hPa|drybulb_temp=4.8C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	8	15	0	0	1008.4	orig=29.591inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.72hPa|drybulb_temp=4.8C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	9	9	0	0	998.9	orig=29.311inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.7hPa|drybulb_temp=3.3C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	9	12	0	0	999	orig=29.316inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.7hPa|drybulb_temp=3.3C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	9	15	0	0	999.4	orig=29.325inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.7hPa|drybulb_temp=3.3C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	10	9	0	0	1004.9	orig=29.486inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.78hPa|drybulb_temp=1.2C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	10	12	0	0	1007.4	orig=29.561inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.79hPa|drybulb_temp=1.2C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	10	15	0	0	1009.5	orig=29.622inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.8hPa|drybulb_temp=1.2C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	11	9	0	0	998	orig=29.286inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.7hPa|drybulb_temp=2.9C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	11	12	0	0	998.2	orig=29.292inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.7hPa|drybulb_temp=2.9C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	11	15	0	0	995.6	orig=29.215inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.69hPa|drybulb_temp=2.9C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	12	9	0	0	1000.1	orig=29.345inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.72hPa|drybulb_temp=2.6C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	12	12	0	0	1002.2	orig=29.407inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.73hPa|drybulb_temp=2.6C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	12	15	0	0	1003.1	orig=29.434inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.74hPa|drybulb_temp=2.6C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	13	9	0	0	1010	orig=29.637inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.76hPa|drybulb_temp=3.4C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	13	12	0	0	1009	orig=29.608inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.75hPa|drybulb_temp=3.4C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	13	15	0	0	1007.4	orig=29.561inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.74hPa|drybulb_temp=3.4C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	14	9	0	0	997.9	orig=29.283inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.65hPa|drybulb_temp=5.5C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	14	12	0	0	996.1	orig=29.23inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.64hPa|drybulb_temp=5.5C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	14	15	0	0	994.5	orig=29.185inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.63hPa|drybulb_temp=5.5C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	15	9	0	0	1001.7	orig=29.395inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.67hPa|drybulb_temp=5.3C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	15	12	0	0	1002.7	orig=29.424inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.68hPa|drybulb_temp=5.3C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	15	15	0	0	1004	orig=29.463inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.69hPa|drybulb_temp=5.3C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	16	9	0	0	1013.4	orig=29.739inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.75hPa|drybulb_temp=4.6C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	16	12	0	0	1011.1	orig=29.67inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.74hPa|drybulb_temp=4.6C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	16	15	0	0	1006	orig=29.52inHg|PGC=Y|grav_cor=0.53hPa|slp_cor=5.71hPa|drybulb_temp=4.6C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	17	9	0	0	1019.8	orig=29.926inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.79hPa|drybulb_temp=4.8C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	17	12	0	0	1021.8	orig=29.985inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.8hPa|drybulb_temp=4.8C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	17	15	0	0	1022	orig=29.989inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.8hPa|drybulb_temp=4.8C|capil_cor=0.002inHg|qc=0|Adjusted=N
1917	4	18	9	0	0	1014	orig=29.757inHg|PGC=Y|grav_cor=0.54hPa|slp_cor=5.72hPa|drybulb_temp=6.3C|capil_cor=0.002inHg|qc=0|Adjusted=N
