SEF	1.0.0
ID	8
Name	Henry Belville - Prior Street
Lat	51.48
Lon	-0.01
Alt	21
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1842	1	1	9	0	0	1026.1	orig=30.252inHg|ATB=8.3C|PTC=Y|PGC=Y|temp_cor=-1.55hPa|grav_cor=0.55hPa|slp_cor=2.69hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	1	15	0	0	1026.2	orig=30.249inHg|ATB=7.2C|PTC=Y|PGC=Y|temp_cor=-1.35hPa|grav_cor=0.55hPa|slp_cor=2.69hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	2	9	0	0	1025.7	orig=30.23inHg|ATB=6.7C|PTC=Y|PGC=Y|temp_cor=-1.24hPa|grav_cor=0.55hPa|slp_cor=2.69hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	2	15	0	0	1023.1	orig=30.15inHg|ATB=6.1C|PTC=Y|PGC=Y|temp_cor=-1.14hPa|grav_cor=0.55hPa|slp_cor=2.68hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	3	9	0	0	1020.7	orig=30.08inHg|ATB=6.1C|PTC=Y|PGC=Y|temp_cor=-1.13hPa|grav_cor=0.55hPa|slp_cor=2.67hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	3	15	0	0	1020	orig=30.051inHg|ATB=4.4C|PTC=Y|PGC=Y|temp_cor=-0.82hPa|grav_cor=0.55hPa|slp_cor=2.67hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	4	9	0	0	1017.5	orig=29.982inHg|ATB=5.6C|PTC=Y|PGC=Y|temp_cor=-1.03hPa|grav_cor=0.55hPa|slp_cor=2.66hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	4	15	0	0	1018.6	orig=30.01inHg|ATB=4.4C|PTC=Y|PGC=Y|temp_cor=-0.82hPa|grav_cor=0.55hPa|slp_cor=2.67hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	5	9	0	0	1021.5	orig=30.1inHg|ATB=5.6C|PTC=Y|PGC=Y|temp_cor=-1.03hPa|grav_cor=0.55hPa|slp_cor=2.67hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	5	15	0	0	1021.5	orig=30.101inHg|ATB=5.6C|PTC=Y|PGC=Y|temp_cor=-1.03hPa|grav_cor=0.55hPa|slp_cor=2.67hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	6	9	0	0	1025.1	orig=30.208inHg|ATB=6.1C|PTC=Y|PGC=Y|temp_cor=-1.14hPa|grav_cor=0.55hPa|slp_cor=2.68hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	6	15	0	0	1026.2	orig=30.249inHg|ATB=7.2C|PTC=Y|PGC=Y|temp_cor=-1.35hPa|grav_cor=0.55hPa|slp_cor=2.69hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	7	9	0	0	1036.2	orig=30.532inHg|ATB=5.6C|PTC=Y|PGC=Y|temp_cor=-1.05hPa|grav_cor=0.56hPa|slp_cor=2.71hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	7	15	0	0	1035.3	orig=30.5inHg|ATB=4.4C|PTC=Y|PGC=Y|temp_cor=-0.84hPa|grav_cor=0.56hPa|slp_cor=2.71hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	8	9	0	0	1036.5	orig=30.535inHg|ATB=4.4C|PTC=Y|PGC=Y|temp_cor=-0.84hPa|grav_cor=0.56hPa|slp_cor=2.71hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	8	15	0	0	1033.6	orig=30.448inHg|ATB=3.9C|PTC=Y|PGC=Y|temp_cor=-0.73hPa|grav_cor=0.56hPa|slp_cor=2.71hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	9	9	0	0	1028.1	orig=30.285inHg|ATB=3.9C|PTC=Y|PGC=Y|temp_cor=-0.73hPa|grav_cor=0.55hPa|slp_cor=2.69hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	9	15	0	0	1025.6	orig=30.205inHg|ATB=2.8C|PTC=Y|PGC=Y|temp_cor=-0.52hPa|grav_cor=0.55hPa|slp_cor=2.69hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	10	9	0	0	1024.6	orig=30.178inHg|ATB=3.3C|PTC=Y|PGC=Y|temp_cor=-0.62hPa|grav_cor=0.55hPa|slp_cor=2.68hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	10	15	0	0	1022.2	orig=30.105inHg|ATB=2.8C|PTC=Y|PGC=Y|temp_cor=-0.52hPa|grav_cor=0.55hPa|slp_cor=2.68hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	11	9	0	0	1019.8	orig=30.042inHg|ATB=3.9C|PTC=Y|PGC=Y|temp_cor=-0.72hPa|grav_cor=0.55hPa|slp_cor=2.67hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	11	15	0	0	1020.3	orig=30.052inHg|ATB=3.3C|PTC=Y|PGC=Y|temp_cor=-0.62hPa|grav_cor=0.55hPa|slp_cor=2.67hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	12	9	0	0	1021.8	orig=30.103inHg|ATB=4.4C|PTC=Y|PGC=Y|temp_cor=-0.82hPa|grav_cor=0.55hPa|slp_cor=2.68hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	12	15	0	0	1020	orig=30.05inHg|ATB=4.4C|PTC=Y|PGC=Y|temp_cor=-0.82hPa|grav_cor=0.55hPa|slp_cor=2.67hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	13	9	0	0	1015.7	orig=29.926inHg|ATB=5C|PTC=Y|PGC=Y|temp_cor=-0.92hPa|grav_cor=0.55hPa|slp_cor=2.66hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	13	15	0	0	1013.1	orig=29.85inHg|ATB=5C|PTC=Y|PGC=Y|temp_cor=-0.92hPa|grav_cor=0.55hPa|slp_cor=2.65hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	14	9	0	0	1002.8	orig=29.55inHg|ATB=5.6C|PTC=Y|PGC=Y|temp_cor=-1.01hPa|grav_cor=0.54hPa|slp_cor=2.63hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	14	15	0	0	1005.6	orig=29.632inHg|ATB=5.6C|PTC=Y|PGC=Y|temp_cor=-1.01hPa|grav_cor=0.54hPa|slp_cor=2.63hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	15	9	0	0	1017.9	orig=29.996inHg|ATB=6.1C|PTC=Y|PGC=Y|temp_cor=-1.13hPa|grav_cor=0.55hPa|slp_cor=2.66hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	15	15	0	0	1018.2	orig=30.004inHg|ATB=5.6C|PTC=Y|PGC=Y|temp_cor=-1.03hPa|grav_cor=0.55hPa|slp_cor=2.67hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	16	9	0	0	1011.6	orig=29.81inHg|ATB=6.1C|PTC=Y|PGC=Y|temp_cor=-1.12hPa|grav_cor=0.55hPa|slp_cor=2.65hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	16	15	0	0	1011.3	orig=29.802inHg|ATB=6.1C|PTC=Y|PGC=Y|temp_cor=-1.12hPa|grav_cor=0.55hPa|slp_cor=2.65hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	17	9	0	0	1022.3	orig=30.132inHg|ATB=7.2C|PTC=Y|PGC=Y|temp_cor=-1.34hPa|grav_cor=0.55hPa|slp_cor=2.68hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	17	15	0	0	1024.6	orig=30.2inHg|ATB=7.2C|PTC=Y|PGC=Y|temp_cor=-1.34hPa|grav_cor=0.55hPa|slp_cor=2.68hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	18	9	0	0	1032.7	orig=30.438inHg|ATB=7.2C|PTC=Y|PGC=Y|temp_cor=-1.35hPa|grav_cor=0.56hPa|slp_cor=2.7hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	18	15	0	0	1033.4	orig=30.452inHg|ATB=5.6C|PTC=Y|PGC=Y|temp_cor=-1.04hPa|grav_cor=0.56hPa|slp_cor=2.71hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	19	9	0	0	1035.6	orig=30.52inHg|ATB=6.1C|PTC=Y|PGC=Y|temp_cor=-1.15hPa|grav_cor=0.56hPa|slp_cor=2.71hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	19	15	0	0	1032.3	orig=30.417inHg|ATB=5.6C|PTC=Y|PGC=Y|temp_cor=-1.04hPa|grav_cor=0.56hPa|slp_cor=2.7hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	20	9	0	0	1025.8	orig=30.228inHg|ATB=5.6C|PTC=Y|PGC=Y|temp_cor=-1.04hPa|grav_cor=0.55hPa|slp_cor=2.69hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	20	15	0	0	1021.8	orig=30.11inHg|ATB=5.6C|PTC=Y|PGC=Y|temp_cor=-1.03hPa|grav_cor=0.55hPa|slp_cor=2.68hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	21	9	0	0	1021.3	orig=30.096inHg|ATB=6.1C|PTC=Y|PGC=Y|temp_cor=-1.13hPa|grav_cor=0.55hPa|slp_cor=2.67hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	21	15	0	0	1021.1	orig=30.09inHg|ATB=6.1C|PTC=Y|PGC=Y|temp_cor=-1.13hPa|grav_cor=0.55hPa|slp_cor=2.67hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	22	9	0	0	1015.5	orig=29.925inHg|ATB=6.1C|PTC=Y|PGC=Y|temp_cor=-1.13hPa|grav_cor=0.55hPa|slp_cor=2.66hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	22	15	0	0	1005.6	orig=29.632inHg|ATB=5.6C|PTC=Y|PGC=Y|temp_cor=-1.01hPa|grav_cor=0.54hPa|slp_cor=2.63hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	23	9	0	0	993.6	orig=29.28inHg|ATB=6.1C|PTC=Y|PGC=Y|temp_cor=-1.1hPa|grav_cor=0.54hPa|slp_cor=2.6hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	23	15	0	0	997	orig=29.381inHg|ATB=6.1C|PTC=Y|PGC=Y|temp_cor=-1.11hPa|grav_cor=0.54hPa|slp_cor=2.61hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	24	9	0	0	1014.5	orig=29.894inHg|ATB=5.6C|PTC=Y|PGC=Y|temp_cor=-1.02hPa|grav_cor=0.55hPa|slp_cor=2.66hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	24	15	0	0	1014.2	orig=29.877inHg|ATB=3.9C|PTC=Y|PGC=Y|temp_cor=-0.72hPa|grav_cor=0.55hPa|slp_cor=2.66hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	25	9	0	0	996.9	orig=29.378inHg|ATB=6.1C|PTC=Y|PGC=Y|temp_cor=-1.11hPa|grav_cor=0.54hPa|slp_cor=2.61hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	25	15	0	0	1003.7	orig=29.58inHg|ATB=6.1C|PTC=Y|PGC=Y|temp_cor=-1.11hPa|grav_cor=0.54hPa|slp_cor=2.63hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	26	9	0	0	1001.8	orig=29.524inHg|ATB=6.1C|PTC=Y|PGC=Y|temp_cor=-1.11hPa|grav_cor=0.54hPa|slp_cor=2.62hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	26	15	0	0	989.1	orig=29.151inHg|ATB=6.7C|PTC=Y|PGC=Y|temp_cor=-1.2hPa|grav_cor=0.53hPa|slp_cor=2.59hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
1842	1	27	9	0	0	1007.9	orig=29.708inHg|ATB=7.2C|PTC=Y|PGC=Y|temp_cor=-1.32hPa|grav_cor=0.54hPa|slp_cor=2.64hPa|drybulb_temp=0.5C|qc=0|Adjusted=N
