SEF	1.0.0
ID	9
Name	Henry Belville - Hyde Vale
Lat	51.48
Lon	-0.01
Alt	29.9
Source	London
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1844	2	1	9	0	0	1019.4	orig=29.995inHg|ATB=3.9C|PTC=Y|PGC=Y|temp_cor=-0.72hPa|grav_cor=0.55hPa|slp_cor=3.78hPa|drybulb_temp=1.8C|qc=0|Adjusted=N
1844	2	1	15	0	0	1020.1	orig=30.03inHg|ATB=6.1C|PTC=Y|PGC=Y|temp_cor=-1.13hPa|grav_cor=0.55hPa|slp_cor=3.78hPa|drybulb_temp=1.8C|qc=0|Adjusted=N
1844	2	2	9	0	0	1002.5	orig=29.5inHg|ATB=3.9C|PTC=Y|PGC=Y|temp_cor=-0.71hPa|grav_cor=0.54hPa|slp_cor=3.72hPa|drybulb_temp=1.8C|qc=0|Adjusted=N
1844	2	2	15	0	0	1001	orig=29.451inHg|ATB=3.3C|PTC=Y|PGC=Y|temp_cor=-0.61hPa|grav_cor=0.54hPa|slp_cor=3.71hPa|drybulb_temp=1.8C|qc=0|Adjusted=N
1844	2	3	9	0	0	1017.9	orig=29.95inHg|ATB=3.3C|PTC=Y|PGC=Y|temp_cor=-0.62hPa|grav_cor=0.55hPa|slp_cor=3.77hPa|drybulb_temp=1.8C|qc=0|Adjusted=N
1844	2	3	15	0	0	1018.1	orig=29.96inHg|ATB=4.4C|PTC=Y|PGC=Y|temp_cor=-0.82hPa|grav_cor=0.55hPa|slp_cor=3.78hPa|drybulb_temp=1.8C|qc=0|Adjusted=N
1844	2	4	9	0	0	1009.3	orig=29.702inHg|ATB=4.4C|PTC=Y|PGC=Y|temp_cor=-0.81hPa|grav_cor=0.54hPa|slp_cor=3.74hPa|drybulb_temp=1.8C|qc=0|Adjusted=N
1844	2	4	15	0	0	1002.4	orig=29.497inHg|ATB=3.9C|PTC=Y|PGC=Y|temp_cor=-0.71hPa|grav_cor=0.54hPa|slp_cor=3.72hPa|drybulb_temp=1.8C|qc=0|Adjusted=N
1844	2	5	9	0	0	1001.6	orig=29.475inHg|ATB=4.4C|PTC=Y|PGC=Y|temp_cor=-0.81hPa|grav_cor=0.54hPa|slp_cor=3.71hPa|drybulb_temp=1.8C|qc=0|Adjusted=N
1844	2	5	15	0	0	999.1	orig=29.405inHg|ATB=5C|PTC=Y|PGC=Y|temp_cor=-0.91hPa|grav_cor=0.54hPa|slp_cor=3.7hPa|drybulb_temp=1.8C|qc=0|Adjusted=N
1844	2	6	9	0	0	1004.4	orig=29.552inHg|ATB=3.3C|PTC=Y|PGC=Y|temp_cor=-0.61hPa|grav_cor=0.54hPa|slp_cor=3.72hPa|drybulb_temp=1.8C|qc=0|Adjusted=N
1844	2	6	15	0	0	1003.9	orig=29.55inHg|ATB=5.6C|PTC=Y|PGC=Y|temp_cor=-1.01hPa|grav_cor=0.54hPa|slp_cor=3.72hPa|drybulb_temp=1.8C|qc=0|Adjusted=N
1844	2	7	9	0	0	993.9	orig=29.251inHg|ATB=5C|PTC=Y|PGC=Y|temp_cor=-0.9hPa|grav_cor=0.53hPa|slp_cor=3.69hPa|drybulb_temp=1.8C|qc=0|Adjusted=N
1844	2	7	15	0	0	994	orig=29.262inHg|ATB=6.1C|PTC=Y|PGC=Y|temp_cor=-1.1hPa|grav_cor=0.53hPa|slp_cor=3.69hPa|drybulb_temp=1.8C|qc=0|Adjusted=N
1844	2	8	9	0	0	997.3	orig=29.355inHg|ATB=5.6C|PTC=Y|PGC=Y|temp_cor=-1.01hPa|grav_cor=0.53hPa|slp_cor=3.7hPa|drybulb_temp=1.8C|qc=0|Adjusted=N
1844	2	8	15	0	0	997.3	orig=29.36inHg|ATB=6.7C|PTC=Y|PGC=Y|temp_cor=-1.21hPa|grav_cor=0.53hPa|slp_cor=3.7hPa|drybulb_temp=1.8C|qc=0|Adjusted=N
1844	2	9	9	0	0	991.8	orig=29.196inHg|ATB=6.1C|PTC=Y|PGC=Y|temp_cor=-1.1hPa|grav_cor=0.53hPa|slp_cor=3.68hPa|drybulb_temp=1.8C|qc=0|Adjusted=N
1844	2	9	15	0	0	990	orig=29.149inHg|ATB=7.2C|PTC=Y|PGC=Y|temp_cor=-1.3hPa|grav_cor=0.53hPa|slp_cor=3.67hPa|drybulb_temp=1.8C|qc=0|Adjusted=N
1844	2	10	9	0	0	999.7	orig=29.43inHg|ATB=6.1C|PTC=Y|PGC=Y|temp_cor=-1.11hPa|grav_cor=0.54hPa|slp_cor=3.71hPa|drybulb_temp=1.8C|qc=0|Adjusted=N
