SEF	1.0.0
ID	1
Name	Cluny
Lat	48.85
Lon	2.34
Alt	57
Source	Paris
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	Paris Inches, 1PinHg=36.1hPa
Year	Month	Day	Hour	Minute	Period	Value	Meta
1747	12	20	11	50	0	997.2	origtime=12:00|Adjusted=Y|orig=27.46PinHg|ATB=7.4C|PTC=Y|PGC=Y|temp_cor=-1.34hPa|grav_cor=0.29hPa|slp_cor=6.89hPa|drybulb_temp=7.4C|qc=0
1747	12	21	11	50	0	997.4	origtime=12:00|Adjusted=Y|orig=27.49PinHg|ATB=11.6C|PTC=Y|PGC=Y|temp_cor=-2.1hPa|grav_cor=0.29hPa|slp_cor=6.79hPa|drybulb_temp=11.6C|qc=0
1747	12	23	11	50	0	979.4	origtime=12:00|Adjusted=Y|orig=26.97PinHg|ATB=7.4C|PTC=Y|PGC=Y|temp_cor=-1.32hPa|grav_cor=0.28hPa|slp_cor=6.77hPa|drybulb_temp=7.4C|qc=0
1747	12	24	11	50	0	988.5	origtime=12:00|Adjusted=Y|orig=27.21PinHg|ATB=5.3C|PTC=Y|PGC=Y|temp_cor=-0.95hPa|grav_cor=0.29hPa|slp_cor=6.89hPa|drybulb_temp=5.3C|qc=0
1747	12	25	11	50	0	995.9	origtime=12:00|Adjusted=Y|orig=27.42PinHg|ATB=6.4C|PTC=Y|PGC=Y|temp_cor=-1.15hPa|grav_cor=0.29hPa|slp_cor=6.91hPa|drybulb_temp=6.4C|qc=0
1747	12	26	11	50	0	1002.7	origtime=12:00|Adjusted=Y|orig=27.6PinHg|ATB=6.4C|PTC=Y|PGC=Y|temp_cor=-1.16hPa|grav_cor=0.29hPa|slp_cor=6.96hPa|drybulb_temp=6.4C|qc=0
1747	12	27	11	50	0	993.8	origtime=12:00|Adjusted=Y|orig=27.36PinHg|ATB=7.4C|PTC=Y|PGC=Y|temp_cor=-1.34hPa|grav_cor=0.29hPa|slp_cor=6.87hPa|drybulb_temp=7.4C|qc=0
1747	12	28	11	50	0	1012	origtime=12:00|Adjusted=Y|orig=27.85PinHg|ATB=5.3C|PTC=Y|PGC=Y|temp_cor=-0.98hPa|grav_cor=0.29hPa|slp_cor=7.05hPa|drybulb_temp=5.3C|qc=0
1747	12	30	11	50	0	1007	origtime=12:00|Adjusted=Y|orig=27.73PinHg|ATB=7.4C|PTC=Y|PGC=Y|temp_cor=-1.35hPa|grav_cor=0.29hPa|slp_cor=6.96hPa|drybulb_temp=7.4C|qc=0
1747	12	31	11	50	0	1010.5	origtime=12:00|Adjusted=Y|orig=27.83PinHg|ATB=8.5C|PTC=Y|PGC=Y|temp_cor=-1.55hPa|grav_cor=0.29hPa|slp_cor=6.96hPa|drybulb_temp=8.5C|qc=0
1748	1	1	11	50	0	1016.2	origtime=12:00|Adjusted=Y|orig=27.89PinHg|ATB=8.5C|PTC=Y|PGC=Y|temp_cor=-1.55hPa|grav_cor=0.29hPa|slp_cor=6.98hPa|drybulb_temp=8.5C|qc=0
1748	1	2	11	50	0	1015.6	origtime=12:00|Adjusted=Y|orig=27.88PinHg|ATB=9.5C|PTC=Y|PGC=Y|temp_cor=-1.74hPa|grav_cor=0.29hPa|slp_cor=6.95hPa|drybulb_temp=9.5C|qc=0
1748	1	3	11	50	0	1020.6	origtime=12:00|Adjusted=Y|orig=28.02PinHg|ATB=9.5C|PTC=Y|PGC=Y|temp_cor=-1.75hPa|grav_cor=0.29hPa|slp_cor=6.98hPa|drybulb_temp=9.5C|qc=0
1748	1	4	11	50	0	1023.9	origtime=12:00|Adjusted=Y|orig=28.08PinHg|ATB=4.3C|PTC=Y|PGC=Y|temp_cor=-0.79hPa|grav_cor=0.29hPa|slp_cor=7.13hPa|drybulb_temp=4.3C|qc=0
1748	1	5	11	50	0	1021.5	origtime=12:00|Adjusted=Y|orig=28.01PinHg|ATB=3.2C|PTC=Y|PGC=Y|temp_cor=-0.6hPa|grav_cor=0.29hPa|slp_cor=7.14hPa|drybulb_temp=3.2C|qc=0
1748	1	6	11	50	0	1018.5	origtime=12:00|Adjusted=Y|orig=27.92PinHg|ATB=1.1C|PTC=Y|PGC=Y|temp_cor=-0.21hPa|grav_cor=0.29hPa|slp_cor=7.18hPa|drybulb_temp=1.1C|qc=0
1748	1	7	11	50	0	1018.7	origtime=12:00|Adjusted=Y|orig=27.93PinHg|ATB=2.2C|PTC=Y|PGC=Y|temp_cor=-0.4hPa|grav_cor=0.29hPa|slp_cor=7.15hPa|drybulb_temp=2.2C|qc=0
1748	1	8	11	50	0	1008.3	origtime=12:00|Adjusted=Y|orig=27.64PinHg|ATB=3.2C|PTC=Y|PGC=Y|temp_cor=-0.59hPa|grav_cor=0.29hPa|slp_cor=7.05hPa|drybulb_temp=3.2C|qc=0
1748	1	9	11	50	0	1016.5	origtime=12:00|Adjusted=Y|orig=27.85PinHg|ATB=0.1C|PTC=Y|PGC=Y|temp_cor=-0.02hPa|grav_cor=0.29hPa|slp_cor=7.19hPa|drybulb_temp=0.1C|qc=0
1748	1	10	11	50	0	1028.5	origtime=12:00|Adjusted=Y|orig=28.17PinHg|ATB=-3C|PTC=Y|PGC=Y|temp_cor=0.56hPa|grav_cor=0.3hPa|slp_cor=7.36hPa|drybulb_temp=-3C|qc=0
1748	1	11	11	50	0	1035.6	origtime=12:00|Adjusted=Y|orig=28.35PinHg|ATB=-4.1C|PTC=Y|PGC=Y|temp_cor=0.76hPa|grav_cor=0.3hPa|slp_cor=7.44hPa|drybulb_temp=-4.1C|qc=0
1748	1	12	11	50	0	1029.5	origtime=12:00|Adjusted=Y|orig=28.19PinHg|ATB=-4.1C|PTC=Y|PGC=Y|temp_cor=0.76hPa|grav_cor=0.3hPa|slp_cor=7.4hPa|drybulb_temp=-4.1C|qc=0
1748	1	13	11	50	0	1027.7	origtime=12:00|Adjusted=Y|orig=28.11PinHg|ATB=-8.3C|PTC=Y|PGC=Y|temp_cor=1.53hPa|grav_cor=0.3hPa|slp_cor=7.5hPa|drybulb_temp=-8.3C|qc=0
1748	1	14	11	50	0	1022.1	origtime=12:00|Adjusted=Y|orig=27.96PinHg|ATB=-8.3C|PTC=Y|PGC=Y|temp_cor=1.52hPa|grav_cor=0.29hPa|slp_cor=7.46hPa|drybulb_temp=-8.3C|qc=0
1748	1	15	11	50	0	1019.9	origtime=12:00|Adjusted=Y|orig=27.91PinHg|ATB=-7.2C|PTC=Y|PGC=Y|temp_cor=1.33hPa|grav_cor=0.29hPa|slp_cor=7.41hPa|drybulb_temp=-7.2C|qc=0
