SEF	1.0.0
ID	2
Name	Roux
Lat	48.85
Lon	2.34
Alt	57
Source	Paris
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	Paris Inches, 1PinHg=36.1hPa
Year	Month	Day	Hour	Minute	Period	Value	Meta
1760	1	5	11	50	0	1003.6	origtime=12:00|Adjusted=Y|orig=27.75PinHg|ATB=7.5C|PTC=Y|PGC=Y|temp_cor=-1.37hPa|grav_cor=0.29hPa|slp_cor=6.97hPa|drybulb_temp=7.5C|qc=0
1760	1	6	11	50	0	1006.9	origtime=12:00|Adjusted=Y|orig=27.83PinHg|ATB=6.2C|PTC=Y|PGC=Y|temp_cor=-1.14hPa|grav_cor=0.29hPa|slp_cor=7.02hPa|drybulb_temp=6.2C|qc=0
1760	1	7	11	50	0	1020.6	origtime=12:00|Adjusted=Y|orig=28.17PinHg|ATB=-1.2C|PTC=Y|PGC=Y|temp_cor=0.23hPa|grav_cor=0.3hPa|slp_cor=7.31hPa|drybulb_temp=-1.2C|qc=0
1760	1	8	11	50	0	1029.7	origtime=12:00|Adjusted=Y|orig=28.42PinHg|ATB=-1.2C|PTC=Y|PGC=Y|temp_cor=0.23hPa|grav_cor=0.3hPa|slp_cor=7.37hPa|drybulb_temp=-1.2C|qc=0
1760	1	9	11	50	0	1026.9	origtime=12:00|Adjusted=Y|orig=28.33PinHg|ATB=-2.5C|PTC=Y|PGC=Y|temp_cor=0.47hPa|grav_cor=0.3hPa|slp_cor=7.39hPa|drybulb_temp=-2.5C|qc=0
1760	1	10	11	50	0	1021.4	origtime=12:00|Adjusted=Y|orig=28.17PinHg|ATB=-5C|PTC=Y|PGC=Y|temp_cor=0.93hPa|grav_cor=0.3hPa|slp_cor=7.42hPa|drybulb_temp=-5C|qc=0
1760	1	11	11	50	0	1021.1	origtime=12:00|Adjusted=Y|orig=28.17PinHg|ATB=-3.8C|PTC=Y|PGC=Y|temp_cor=0.69hPa|grav_cor=0.3hPa|slp_cor=7.38hPa|drybulb_temp=-3.8C|qc=0
1760	1	12	11	50	0	1020.9	origtime=12:00|Adjusted=Y|orig=28.17PinHg|ATB=-2.5C|PTC=Y|PGC=Y|temp_cor=0.46hPa|grav_cor=0.3hPa|slp_cor=7.35hPa|drybulb_temp=-2.5C|qc=0
1760	1	13	11	50	0	1012.3	origtime=12:00|Adjusted=Y|orig=27.92PinHg|ATB=-5C|PTC=Y|PGC=Y|temp_cor=0.92hPa|grav_cor=0.29hPa|slp_cor=7.35hPa|drybulb_temp=-5C|qc=0
1760	1	14	11	50	0	1012.3	origtime=12:00|Adjusted=Y|orig=27.92PinHg|ATB=-5C|PTC=Y|PGC=Y|temp_cor=0.92hPa|grav_cor=0.29hPa|slp_cor=7.35hPa|drybulb_temp=-5C|qc=0
1760	1	15	11	50	0	1020.6	origtime=12:00|Adjusted=Y|orig=28.17PinHg|ATB=-1.2C|PTC=Y|PGC=Y|temp_cor=0.23hPa|grav_cor=0.3hPa|slp_cor=7.31hPa|drybulb_temp=-1.2C|qc=0
1760	1	16	11	50	0	1027.5	origtime=12:00|Adjusted=Y|orig=28.33PinHg|ATB=-5C|PTC=Y|PGC=Y|temp_cor=0.93hPa|grav_cor=0.3hPa|slp_cor=7.46hPa|drybulb_temp=-5C|qc=0
1760	1	17	11	50	0	1032.7	origtime=12:00|Adjusted=Y|orig=28.5PinHg|ATB=-1.2C|PTC=Y|PGC=Y|temp_cor=0.23hPa|grav_cor=0.3hPa|slp_cor=7.4hPa|drybulb_temp=-1.2C|qc=0
1760	1	18	11	50	0	1035.8	origtime=12:00|Adjusted=Y|orig=28.58PinHg|ATB=-1.2C|PTC=Y|PGC=Y|temp_cor=0.23hPa|grav_cor=0.3hPa|slp_cor=7.42hPa|drybulb_temp=-1.2C|qc=0
1760	1	19	11	50	0	1032.8	origtime=12:00|Adjusted=Y|orig=28.5PinHg|ATB=-1.2C|PTC=Y|PGC=Y|temp_cor=0.23hPa|grav_cor=0.3hPa|slp_cor=7.4hPa|drybulb_temp=-1.2C|qc=0
1760	1	20	11	50	0	1036.1	origtime=12:00|Adjusted=Y|orig=28.58PinHg|ATB=-2.5C|PTC=Y|PGC=Y|temp_cor=0.47hPa|grav_cor=0.3hPa|slp_cor=7.45hPa|drybulb_temp=-2.5C|qc=0
1760	1	21	11	50	0	1033.6	origtime=12:00|Adjusted=Y|orig=28.5PinHg|ATB=-5C|PTC=Y|PGC=Y|temp_cor=0.94hPa|grav_cor=0.3hPa|slp_cor=7.5hPa|drybulb_temp=-5C|qc=0
1760	1	22	11	50	0	1025.2	origtime=12:00|Adjusted=Y|orig=28.33PinHg|ATB=6.2C|PTC=Y|PGC=Y|temp_cor=-1.16hPa|grav_cor=0.3hPa|slp_cor=7.15hPa|drybulb_temp=6.2C|qc=0
1760	1	23	11	50	0	1022.9	origtime=12:00|Adjusted=Y|orig=28.25PinHg|ATB=2.5C|PTC=Y|PGC=Y|temp_cor=-0.46hPa|grav_cor=0.3hPa|slp_cor=7.23hPa|drybulb_temp=2.5C|qc=0
1760	1	24	11	50	0	1006.8	origtime=12:00|Adjusted=Y|orig=27.83PinHg|ATB=7.5C|PTC=Y|PGC=Y|temp_cor=-1.37hPa|grav_cor=0.29hPa|slp_cor=6.99hPa|drybulb_temp=7.5C|qc=0
