SEF	1.0.0
ID	3
Name	Cotte
Lat	48.98
Lon	2.32
Alt	106.5
Source	Paris
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	Paris Inches, 1PinHg=36.1hPa
Year	Month	Day	Hour	Minute	Period	Value	Meta
1776	8	1	11	50	0	1022	origtime=12:00|Adjusted=Y|orig=28.08PinHg|ATB=30.3C|PTC=Y|PGC=Y|temp_cor=-5.01hPa|grav_cor=0.29hPa|slp_cor=12.16hPa|drybulb_temp=30.3C|qc=0
1776	8	2	11	50	0	1021.8	origtime=12:00|Adjusted=Y|orig=28.08PinHg|ATB=31.2C|PTC=Y|PGC=Y|temp_cor=-5.16hPa|grav_cor=0.29hPa|slp_cor=12.12hPa|drybulb_temp=31.2C|qc=0
1776	8	3	11	50	0	1021.7	origtime=12:00|Adjusted=Y|orig=28.08PinHg|ATB=31.9C|PTC=Y|PGC=Y|temp_cor=-5.27hPa|grav_cor=0.29hPa|slp_cor=12.1hPa|drybulb_temp=31.9C|qc=0
1776	8	4	11	50	0	1019.2	origtime=12:00|Adjusted=Y|orig=28PinHg|ATB=29.1C|PTC=Y|PGC=Y|temp_cor=-4.79hPa|grav_cor=0.29hPa|slp_cor=12.18hPa|drybulb_temp=29.1C|qc=0
1776	8	5	11	50	0	1012.4	origtime=12:00|Adjusted=Y|orig=27.83PinHg|ATB=32.5C|PTC=Y|PGC=Y|temp_cor=-5.32hPa|grav_cor=0.29hPa|slp_cor=11.96hPa|drybulb_temp=32.5C|qc=0
1776	8	6	11	50	0	1015.3	origtime=12:00|Adjusted=Y|orig=27.83PinHg|ATB=18.8C|PTC=Y|PGC=Y|temp_cor=-3.07hPa|grav_cor=0.29hPa|slp_cor=12.56hPa|drybulb_temp=18.8C|qc=0
1776	8	7	11	50	0	1017.8	origtime=12:00|Adjusted=Y|orig=27.92PinHg|ATB=20.9C|PTC=Y|PGC=Y|temp_cor=-3.44hPa|grav_cor=0.29hPa|slp_cor=12.5hPa|drybulb_temp=20.9C|qc=0
1776	8	8	11	50	0	1014.2	origtime=12:00|Adjusted=Y|orig=27.83PinHg|ATB=24.1C|PTC=Y|PGC=Y|temp_cor=-3.94hPa|grav_cor=0.29hPa|slp_cor=12.32hPa|drybulb_temp=24.1C|qc=0
1776	8	9	11	50	0	1013.9	origtime=12:00|Adjusted=Y|orig=27.83PinHg|ATB=25.3C|PTC=Y|PGC=Y|temp_cor=-4.15hPa|grav_cor=0.29hPa|slp_cor=12.27hPa|drybulb_temp=25.3C|qc=0
1776	8	10	11	50	0	1011.5	origtime=12:00|Adjusted=Y|orig=27.75PinHg|ATB=22.2C|PTC=Y|PGC=Y|temp_cor=-3.62hPa|grav_cor=0.29hPa|slp_cor=12.37hPa|drybulb_temp=22.2C|qc=0
