SEF	1.0.0
ID	5
Name	Montsouris Observatory
Lat	48.8167
Lon	2.333
Alt	78
Source	Paris
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1872	6	17	6	50	0	1023.6	origtime=07:00|PGC=Y|grav_cor=0.28hPa|qc=0
1872	6	17	8	50	0	1023.1	origtime=09:00|PGC=Y|grav_cor=0.28hPa|qc=0
1872	6	17	11	50	0	1021.7	origtime=12:00|PGC=Y|grav_cor=0.28hPa|qc=0
1872	6	17	14	50	0	1020.5	origtime=15:00|PGC=Y|grav_cor=0.28hPa|qc=0
1872	6	17	17	50	0	1018.9	origtime=18:00|PGC=Y|grav_cor=0.28hPa|qc=0
1872	6	17	20	50	0	1019.5	origtime=21:00|PGC=Y|grav_cor=0.28hPa|qc=0
1872	6	17	23	50	0	1018.4	origtime=00:00|PGC=Y|grav_cor=0.28hPa|qc=0
1872	6	18	6	50	0	1017.1	origtime=07:00|PGC=Y|grav_cor=0.28hPa|qc=0
1872	6	18	8	50	0	1016.7	origtime=09:00|PGC=Y|grav_cor=0.28hPa|qc=0
1872	6	18	11	50	0	1015.1	origtime=12:00|PGC=Y|grav_cor=0.28hPa|qc=0
1872	6	18	14	50	0	1014.1	origtime=15:00|PGC=Y|grav_cor=0.28hPa|qc=0
1872	6	18	17	50	0	1012.8	origtime=18:00|PGC=Y|grav_cor=0.28hPa|qc=0
1872	6	18	20	50	0	1013.3	origtime=21:00|PGC=Y|grav_cor=0.28hPa|qc=0
1872	6	18	23	50	0	1012.5	origtime=00:00|PGC=Y|grav_cor=0.28hPa|qc=0
1872	6	19	6	50	0	1011.9	origtime=07:00|PGC=Y|grav_cor=0.28hPa|qc=0
1872	6	19	8	50	0	1011.6	origtime=09:00|PGC=Y|grav_cor=0.28hPa|qc=0
1872	6	19	11	50	0	1011.4	origtime=12:00|PGC=Y|grav_cor=0.28hPa|qc=0
1872	6	19	14	50	0	1010.2	origtime=15:00|PGC=Y|grav_cor=0.28hPa|qc=0
1872	6	19	17	50	0	1012.4	origtime=18:00|PGC=Y|grav_cor=0.28hPa|qc=0
1872	6	19	20	50	0	1013.8	origtime=21:00|PGC=Y|grav_cor=0.28hPa|qc=0
1872	6	19	23	50	0	1013.9	origtime=00:00|PGC=Y|grav_cor=0.28hPa|qc=0
